Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha Dan Lainnya,Penerimaan Dari Pendapatan Keuangan,Pembayaran Biaya Keuangan,Penerimaan Dari Kegiatan Operasi Lainnya,Pembayaran Pajak,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Utang Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Perolehan Aset Tidak Lancar Lainnya,Arus Kas Bersih Dari Entitas Anak,Perolehan Investasi,Penempatan Deposito,Pembayaran Penyertaan Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal Saham,Penerimaan Dari Hasil Penawaran Umum Perdana Saham,Penerimaan Dari Eksekusi,Pembayaran Utang Lain-Lain,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Penerimaan Dari Eksekusi Waran Seri I,Penerimaan (Pembayaran) Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Piutang Lain-Lain-Pihak Berelasi,Pembayaran Utang Sewa Pembiayaan,Penerimaan Setoran Modal Entitas Anak,Penerimaan Medium Term Notes,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Penyesuaian,Kas Dan Setara Kas Akhir Periode
12M 2018,-19108589342.000000,135337604723.000000,-129807250773.000000,-5506162579.000000,-5888108916.000000,3722827.000000,-11573369363.000000,31468985.000000,-1706494246.000000,,-19108589342.000000,-37424449517.000000,-37444230285.000000,-2695010632.000000,3200000000.000000,-485208600.000000,,,,,,,-37424449517.000000,56645506611.000000,33000000000.000000,,,,,,,24632480377.000000,2500000000.000000,-4041641200.000000,,-800404603.000000,4410117181.000000,-3055045144.000000,,,56645506611.000000,112467752.000000,,147722537.000000,,260190289.000000
12M 2019,-9593332513.000000,180684102276.000000,-158554285457.000000,-10628946183.000000,-5978028608.000000,3908501.000000,-12815460468.000000,316376700.000000,-2620999274.000000,,-9593332513.000000,-34566645013.000000,-1493554104.000000,-33264000000.000000,190909091.000000,,,,,,,,-34566645013.000000,44389483490.000000,,30299500542.000000,,,,,20896842000.000000,-12268739806.000000,13000000000.000000,-5920080816.000000,,-643181073.000000,,-974857357.000000,,,44389483490.000000,229505964.000000,,260190289.000000,,489696253.000000
12M 2020,-32719704184.000000,179615706898.000000,-180995786345.000000,-5722760087.000000,-4843429733.000000,2353044.000000,-12372331538.000000,-6508783227.000000,-1894673196.000000,,-32719704184.000000,-2414704178.000000,-2414704178.000000,,,,,,,,,,-2414704178.000000,34733356694.000000,,,,,,18030000000.000000,17133200.000000,14029438116.000000,3816980330.000000,,,-462503105.000000,,-697691847.000000,,,34733356694.000000,-401051668.000000,,489696253.000000,,88644585.000000
12M 2021,-26118359500.000000,197927464805.000000,-183092457740.000000,-10859596359.000000,-7110274890.000000,19000540.000000,-14142751636.000000,-7295684304.000000,-1564059916.000000,,-26118359500.000000,-1266515796.000000,-1266961890.000000,,446094.000000,,,,,,,,-1266515796.000000,102362175633.000000,,,98123866576.000000,,-18030000000.000000,,279600.000000,27221706764.000000,,-4260094535.000000,,-332559160.000000,,-361023612.000000,,,102362175633.000000,74977300337.000000,,88644585.000000,,75065944922.000000
12M 2022,-77748378471.000000,245132303875.000000,-217604458449.000000,-23105380386.000000,-66906241368.000000,92939980.000000,-11674178841.000000,,-3683363282.000000,,-77748378471.000000,-76769869510.000000,-56932785157.000000,,172509647.000000,,-9602000.000000,,-19999992000.000000,,,,-76769869510.000000,80673413690.000000,,,,,,,,-41622777301.000000,72859587156.000000,,,-213396165.000000,,,,49650000000.000000,80673413690.000000,-73844834291.000000,,75065944922.000000,,1221110631.000000
12M 2023,-8682439283.000000,222291739012.000000,-159777621234.000000,-30744017153.000000,-13218080525.000000,1698865522.000000,-28933324905.000000,,,,-8682439283.000000,-10968879549.000000,-6445279572.000000,-4528104482.000000,4504505.000000,,,,,,,,-10968879549.000000,126586716535.000000,,,,,,,,-23691295794.000000,,,,-71987671.000000,,,,150350000000.000000,126586716535.000000,106935397703.000000,,1221110631.000000,,108156508334.000000
12M 2024,-43772791726.000000,166942627516.000000,-126005496699.000000,-33185207645.000000,-21233157222.000000,953828318.000000,-31245385994.000000,,,,-43772791726.000000,-16320264784.000000,-16320264784.000000,,,,,,,,,,-16320264784.000000,-45524803629.000000,,,,,,,,10000000000.000000,,-55440244970.000000,,-84558659.000000,,,,,-45524803629.000000,-105617860139.000000,,108156508334.000000,,2538648195.000000
