Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Surat Berharga Jangka Menengah,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Surat Berharga Jangka Menengah,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Belum Ditentukan Penggunaannya,Telah Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,260190289.000000,40818469727.000000,40818469727.000000,,40818469727.000000,,,,,33904281544.000000,14481579957.000000,89464521517.000000,,70980880027.000000,675038405.000000,,1629299617.000000,73285218049.000000,162749739566.000000,,,101161992091.000000,79626107436.000000,,12622228610.000000,,12622228610.000000,,,,,2298654753.000000,501356821.000000,,4367567429.000000,967801652.000000,300015041.000000,,,5635384122.000000,478260349.000000,101161992091.000000,11371282045.000000,,9790210863.000000,1065771164.000000,294771989.000000,11150754016.000000,,,220528029.000000,11371282045.000000,112533274136.000000,,34000000000.000000,10684656476.000000,5577207954.000000,5577207954.000000,,5577207954.000000,,-45399000.000000,50216465430.000000,162749739566.000000,340000000.000000
12M 2019,,,489696253.000000,76332173527.000000,76332173527.000000,,76332173527.000000,,,,,57820845432.000000,11270982022.000000,145913697234.000000,,70453472318.000000,811418190.000000,,33264000000.000000,104528890508.000000,250442587742.000000,,,124836918044.000000,67357367630.000000,,46563431929.000000,,46563431929.000000,,,,,2808800626.000000,608862970.000000,,6312193250.000000,690636143.000000,455770467.000000,,,7458599860.000000,39855029.000000,124836918044.000000,16244476505.000000,,14925504226.000000,368079316.000000,676077963.000000,15969661505.000000,,,274815000.000000,16244476505.000000,141081394549.000000,,56024210500.000000,39856788518.000000,13534416175.000000,13433916175.000000,100500000.000000,13534416175.000000,,-54222000.000000,109361193193.000000,250442587742.000000,560242105.000000
12M 2020,,,88644585.000000,67725320270.000000,67725320270.000000,,67725320270.000000,,,,,76910896783.000000,17261310135.000000,161986171773.000000,,67899416744.000000,604825926.000000,,33264000000.000000,101768242670.000000,263754414443.000000,,,135290031399.000000,81386805746.000000,,23888178016.000000,18030000000.000000,41918178016.000000,,,,,1610858246.000000,248894131.000000,,9381160586.000000,,383111062.000000,,361023612.000000,10125295260.000000,,135290031399.000000,16395400483.000000,,15673517220.000000,,286234263.000000,15959751483.000000,,,435649000.000000,16395400483.000000,151685431882.000000,,56028493800.000000,39869638418.000000,16272544823.000000,16172044823.000000,100500000.000000,16272544823.000000,,-101694480.000000,112068982561.000000,263754414443.000000,560284938.000000
12M 2021,,,75065944922.000000,94235811605.000000,94235811605.000000,,94235811605.000000,,,,,79881572808.000000,24664817858.000000,273848147193.000000,,62932946502.000000,639217733.000000,,33264000000.000000,96836164235.000000,370684311428.000000,,,140133633808.000000,111035713637.000000,,19086630725.000000,,19086630725.000000,,,,,2138477653.000000,582066169.000000,,6953959459.000000,,336786165.000000,,,7290745624.000000,,140133633808.000000,11718540685.000000,,11413422685.000000,,,11413422685.000000,,,305118000.000000,11718540685.000000,151852174493.000000,,88986398100.000000,105035880294.000000,24805176531.000000,24704676531.000000,100500000.000000,24805176531.000000,,4682010.000000,218832136935.000000,370684311428.000000,889863981.000000
12M 2022,,,1221110631.000000,138898673053.000000,138898673053.000000,,138898673053.000000,111626000.000000,,,111626000.000000,94138505136.000000,49803961489.000000,284173876309.000000,,113353753899.000000,385139017.000000,116539971.000000,87025103388.000000,200880536275.000000,485054412584.000000,,,146027758905.000000,71406551256.000000,,64213902999.000000,,64213902999.000000,2517509563.000000,,,2517509563.000000,2447917791.000000,426692757.000000,,4960344539.000000,,54840000.000000,,,5015184539.000000,,146027758905.000000,134733565841.000000,,84273009841.000000,,68550000.000000,84341559841.000000,49650000000.000000,,742006000.000000,134733565841.000000,280761324746.000000,,88986398100.000000,105035880294.000000,31425609227.000000,31325109227.000000,100500000.000000,31425609227.000000,803737.000000,-21155603520.000000,204293087838.000000,485054412584.000000,889863981.000000
12M 2023,,,108156508334.000000,88075161275.000000,88075161275.000000,,88075161275.000000,589019552.000000,,,589019552.000000,90338075915.000000,34857485929.000000,322016251005.000000,,174353361970.000000,1541191371.000000,91884437.000000,30957044703.000000,206943482481.000000,528959733486.000000,,,117662360007.000000,74522776508.000000,,23491663990.000000,,23491663990.000000,2564403745.000000,,,2564403745.000000,2117365267.000000,7138949447.000000,,7334444445.000000,,84558659.000000,,,7419003104.000000,408197946.000000,117662360007.000000,260694306559.000000,,55091388889.000000,,98273670.000000,55189662559.000000,200000000000.000000,,5504644000.000000,260694306559.000000,378356666566.000000,,88986398100.000000,84231771204.000000,-19019974858.000000,-19120474858.000000,100500000.000000,-19019974858.000000,6526734.000000,-3601654260.000000,150603066920.000000,528959733486.000000,889863981.000000
12M 2024,,,2538648195.000000,83981068398.000000,83981068398.000000,,83981068398.000000,603432275.000000,,,603432275.000000,105000791484.000000,34934086526.000000,227058026878.000000,,180720052859.000000,1295587731.000000,71456011.000000,30629985358.000000,212717081959.000000,439775108837.000000,,,170878662416.000000,71683642650.000000,,35913952613.000000,,35913952613.000000,2379933735.000000,,,2379933735.000000,330120762.000000,5628023844.000000,,2734444444.000000,,41413945.000000,50000000000.000000,,52775858389.000000,2167130423.000000,170878662416.000000,170823819295.000000,,17090277778.000000,,56859725.000000,17147137503.000000,150000000000.000000,,3676681792.000000,170823819295.000000,341702481711.000000,,88986398100.000000,84231771204.000000,-71581017051.000000,-71681517051.000000,100500000.000000,-71581017051.000000,6344250.000000,-3570869377.000000,98072627126.000000,439775108837.000000,889863981.000000
