Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Pengeluaran Kas Kepada Pemasok Dan Untuk Beban Operasi Lainnya,Pembayaran Untuk Karyawan,Penerimaan (Pembayaran) Jaminan Uang Tunai,Penerimaan Dari Klaim Asuransi,Pembayaran Pajak Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penurunan (Penambahan) Kas Di Bank Yang Dibatasi Penggunannya,Hasil Penjualan Dari Sebagian Kepentingan Pengendali,Akuisisi Kepentingan Non Pengendali,Kas Diperoleh Dari Akuisisi Entitas Anak,Akuisisi Entitas Anak,Perolehan Entitas Asosiasi,Hasil Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Properti Investasi,Penambahan Investasi Pada Entitas Anak,Penambahan Penyertaan Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Kas Di Bank Yang Di Batasi Penggunaannya,Pembayaran Pinjaman Jangka Panjang,Pembayaran Pinjaman Jangka Pendek,Penerimaan Dari Pinjaman Jangka Panjang,Penerimaan Dari Pinjaman Jangka Pendek,Pembayaran Terkait Hutang Lain-Lain- Pihak Berelasi,Pembayaran Beban Bunga,Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Penerimaan Dari Lembaga Keuangan,Pembayaran Lembaga Keuangan,Hasil Setoran Modal Saham,Peningkatan Modal Saham Kepentingan Non Pengendali,Pembayaran Biaya Emisi Saham,Pembayaran Dividen,Pembayaran Dividen Entitas Anak Kepada Kepentingan Non Pengendali,Hasil Penjualan Dari Sebagian Kepentingan Pengendali Pada Entitas Anak,Utang Pembiayaan Konsumen,Penerimaan (Pembayaran) Uang Muka Dari Pihak Berelasi - Neto,Pembayaran Utang Sewa,Pembayaran Biaya Transaksi Pinjaman,Penambahan Penyertaan Pada Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Dari Kombinasi Bisnis,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-3225383.000000,10868286.000000,4461.000000,-13770389.000000,-447634.000000,119893.000000,,,-3225383.000000,-462191.000000,,,,,,,,-4802.000000,,-457389.000000,,-462191.000000,2530475.000000,-457653.000000,-3653000.000000,,9238372.000000,,,-3731983.000000,,,,,,,449736.000000,,,,,,,685003.000000,,,,2530475.000000,-1157099.000000,,1307854.000000,150755.000000
12M 2019,-5642757.000000,9552845.000000,112091.000000,-14627210.000000,-784792.000000,104309.000000,,,-5642757.000000,-5059088.000000,,,-4543933.000000,,-276666.000000,,,-133288.000000,-105201.000000,,,-5059088.000000,12627676.000000,-925166.000000,-6110302.000000,,1909005.000000,,,-4444011.000000,1077261.000000,,-444213.000000,,,,19793625.000000,,,-4251685.000000,,14500000.000000,,-8476838.000000,,,,12627676.000000,1925831.000000,101797.000000,150755.000000,2178383.000000
12M 2020,3542488.000000,13738857.000000,215949.000000,-9643024.000000,-1256709.000000,487415.000000,,,3542488.000000,-301475.000000,,,,,,,,-17561.000000,-283914.000000,,,-301475.000000,-2680512.000000,318584.000000,-29181448.000000,,37111742.000000,,,-3860175.000000,8636430.000000,,-8622420.000000,,,,,,,-1479651.000000,,,,-5603574.000000,,,,-2680512.000000,560501.000000,,-1418480.000000,-857979.000000
12M 2021,-786775.000000,20881025.000000,107448.000000,-20527323.000000,-1358114.000000,,110189.000000,,-786775.000000,-419253.000000,,,,,,,,-70770.000000,-348483.000000,,,-419253.000000,3387206.000000,-423898.000000,-35423449.000000,,49398960.000000,2102460.000000,,-4768944.000000,,,,,,,745475.000000,,,-4125000.000000,,,,-3918398.000000,,-200000.000000,,3387206.000000,2181178.000000,,-857979.000000,1323199.000000
12M 2022,6878923.000000,23398228.000000,92576.000000,-14729076.000000,-1756573.000000,,134363.000000,-260595.000000,6878923.000000,-2133234.000000,,,,,-1649645.000000,-40885.000000,,-206142.000000,-236562.000000,,,-2133234.000000,-2169605.000000,-1021755.000000,-6520881.000000,-206010.000000,8277464.000000,1348072.000000,,-5349255.000000,,,,,,,290142.000000,,,-1350000.000000,-1125000.000000,,,3698096.000000,,-210478.000000,,-2169605.000000,2576084.000000,,1323199.000000,3899283.000000
12M 2023,9357085.000000,27799075.000000,187317.000000,-15658878.000000,-2197743.000000,,264.000000,-772950.000000,9357085.000000,-547798.000000,,,,4810.000000,,,7026.000000,-559634.000000,,,,-547798.000000,-2957621.000000,-2194564.000000,-59364000.000000,-568145.000000,74207396.000000,2669446.000000,,-5618945.000000,,,,,,,,,,-1600000.000000,-1183291.000000,,,-9087800.000000,,-217718.000000,,-2957621.000000,5851666.000000,,3899283.000000,9750949.000000
12M 2024,5174003.000000,28989063.000000,163823.000000,-21193289.000000,-1899110.000000,,,-886484.000000,5174003.000000,633437.000000,,,,638308.000000,,,,-4871.000000,,,,633437.000000,-13555779.000000,-1011127.000000,-9102023.000000,,8018439.000000,614629.000000,,-7226536.000000,,,,,,,,,,-1700000.000000,-300000.000000,,,-2849161.000000,,,,-13555779.000000,-7748339.000000,,9750949.000000,2002610.000000
