Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Aset Tetap,Properti Investasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Lembaga Keuangan Lain,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,150755.000000,,2278245.000000,2278245.000000,,2278245.000000,102295.000000,,102295.000000,102295.000000,3198936.000000,5730231.000000,,126223.000000,,,126223.000000,139140.000000,,,78574.000000,,227863974.000000,228207911.000000,233938142.000000,,,11010155.000000,,4784525.000000,4784525.000000,,,,,288868.000000,23285.000000,,,4833119.000000,883592.000000,196766.000000,,5913477.000000,,11010155.000000,100123322.000000,,7248453.000000,,7248453.000000,,38871894.000000,18488361.000000,29681.000000,57389936.000000,34897547.000000,587386.000000,100123322.000000,111133477.000000,,23408996.000000,38009094.000000,43446484.000000,,,43446484.000000,12248135.000000,5691956.000000,122804665.000000,233938142.000000,2933050000.000000
12M 2019,,,5042184.000000,,1303729.000000,1303729.000000,,1303729.000000,169524.000000,73075.000000,96449.000000,169524.000000,4324962.000000,10840399.000000,,4742265.000000,,,4742265.000000,192027.000000,969285.000000,,134394.000000,410183.000000,243530925.000000,249979079.000000,260819478.000000,,,20818530.000000,,5827255.000000,5827255.000000,,29096.000000,,29096.000000,1000761.000000,463061.000000,3702859.000000,,5797463.000000,3971449.000000,26586.000000,,9795498.000000,,20818530.000000,88796530.000000,,3779824.000000,,3779824.000000,,33661684.000000,15568413.000000,4332.000000,49234429.000000,34967738.000000,814539.000000,88796530.000000,109615060.000000,,28583019.000000,52628696.000000,41702114.000000,70731.000000,41631383.000000,41702114.000000,20567963.000000,7722626.000000,151204418.000000,260819478.000000,3666312500.000000
12M 2020,,,5495235.000000,,3189351.000000,3189351.000000,,3189351.000000,256262.000000,101074.000000,155188.000000,256262.000000,4693823.000000,13634671.000000,,20195427.000000,,,20195427.000000,212080.000000,919999.000000,,116443.000000,410183.000000,251914285.000000,273768417.000000,287403088.000000,,,36826849.000000,,9373737.000000,9373737.000000,,12161.000000,12287338.000000,12299499.000000,3017956.000000,238481.000000,3638274.000000,,3874883.000000,4312115.000000,4269.000000,67635.000000,8258902.000000,,36826849.000000,94039302.000000,,4160707.000000,,4160707.000000,,40818652.000000,18732182.000000,,59550834.000000,29459011.000000,868750.000000,94039302.000000,130866151.000000,,28583019.000000,52628696.000000,47825710.000000,70731.000000,47754979.000000,47825710.000000,19757720.000000,7741792.000000,156536937.000000,287403088.000000,3666312500.000000
12M 2021,,,1323199.000000,,3155392.000000,3155392.000000,,3155392.000000,16322063.000000,16074947.000000,247116.000000,16322063.000000,8556345.000000,29356999.000000,,1616528.000000,,,1616528.000000,296353.000000,870714.000000,42335.000000,122472.000000,410183.000000,268059860.000000,271418445.000000,300775444.000000,,,17217176.000000,,3323328.000000,3323328.000000,,23734.000000,4167030.000000,4190764.000000,393670.000000,133938.000000,2925192.000000,,5539468.000000,,710816.000000,,6250284.000000,,17217176.000000,120116055.000000,,5757592.000000,,5757592.000000,,59317397.000000,18215395.000000,2352911.000000,79885703.000000,33662997.000000,809763.000000,120116055.000000,137333231.000000,,28583019.000000,52628696.000000,53545732.000000,70731.000000,53475001.000000,53545732.000000,21142076.000000,7542689.000000,163442212.000000,300775443.000000,3666312500.000000
12M 2022,,,3899283.000000,,4937195.000000,4937195.000000,,4937195.000000,11477619.000000,11383369.000000,94250.000000,11477619.000000,12162253.000000,32476350.000000,,1534499.000000,,,1534499.000000,415854.000000,821429.000000,54661.000000,14909.000000,1362996.000000,279438990.000000,283643338.000000,316119688.000000,,,17407166.000000,,4138692.000000,4138692.000000,,25386.000000,1618496.000000,1643882.000000,196080.000000,372777.000000,3737842.000000,,5901503.000000,728127.000000,688263.000000,,7317893.000000,,17407166.000000,123640903.000000,,8367876.000000,,8367876.000000,,53479568.000000,23633396.000000,1560002.000000,78672966.000000,36220114.000000,379947.000000,123640903.000000,141048069.000000,,28583019.000000,52628696.000000,64726474.000000,70731.000000,64655743.000000,64726474.000000,22000336.000000,7133094.000000,175071619.000000,316119688.000000,3666312500.000000
12M 2023,,,9750949.000000,,3157485.000000,3084203.000000,73282.000000,3157485.000000,17405000.000000,17341893.000000,63107.000000,17405000.000000,12520440.000000,42833874.000000,,2695958.000000,2618117.000000,77841.000000,2695958.000000,1712572.000000,772144.000000,204736.000000,20140.000000,1362996.000000,303189034.000000,309957580.000000,352791454.000000,,,30583744.000000,,6385813.000000,6385813.000000,,205811.000000,8295586.000000,8501397.000000,348878.000000,353187.000000,5838089.000000,,8643024.000000,,513356.000000,,9156380.000000,,30583744.000000,134482385.000000,,,,,,74984232.000000,18298874.000000,1630135.000000,94913241.000000,39152779.000000,416365.000000,134482385.000000,165066129.000000,,28583019.000000,52565711.000000,76043111.000000,70731.000000,75972380.000000,76043111.000000,23284778.000000,7248706.000000,187725325.000000,352791454.000000,3666312500.000000
12M 2024,,,2002610.000000,,5131448.000000,5074179.000000,57269.000000,5131448.000000,14433836.000000,13799903.000000,633933.000000,14433836.000000,13557669.000000,35125563.000000,,2979796.000000,2979796.000000,,2979796.000000,1540934.000000,722859.000000,114433.000000,22851.000000,1594747.000000,311475392.000000,318451012.000000,353576575.000000,,,26290333.000000,,6123573.000000,6123573.000000,,278637.000000,3426447.000000,3705084.000000,227049.000000,159451.000000,6187354.000000,,8651044.000000,781846.000000,454932.000000,,9887822.000000,,26290333.000000,133667822.000000,,,,,,71033372.000000,20047192.000000,1077166.000000,92157730.000000,41117710.000000,392382.000000,133667822.000000,159958155.000000,,28583019.000000,52512265.000000,80572399.000000,70731.000000,80501668.000000,80572399.000000,24709710.000000,7241027.000000,193618420.000000,353576575.000000,3666312500.000000
