Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Bunga,Pembayaran Bunga,Penghasilan Operasional Lainnya - Bersih,Pembayaran Beban Umum Dan Administrasi,Pembayaran Beban Tenaga Kerja Dan Tunjangan,Pendapatan Non Operasional - Bersih,Beban Operasional Lainnya,Adjustment,(Kenaikan) Penurunan Aset Operasi:,Penempatan Pada Bank Lain,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek,Surat-Surat Berharga Yang Dibeli Dengan Janji Dijual Kembali,Kredit,Pendapatan Bunga Yang Masih Harus Diterima,Biaya Dibayar Dimuka,Agunan Yang Diambil Alih Dan Aset Iain-Lain,Aset Lain-Lain,Total Agunan Yang Diambil Alih Dan Aset Iain-Lain,Total (Kenaikan) Penurunan Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan Dari Nasabah,Giro,Tabungan,Deposito Berjangka,Total Simpanan Dari Nasabah,Simpanan Dari Bank Lain,Simpanan :,Giro,Tabungan,Deposito Berjangka,Sertifikat Deposito,Total Simpanan :,Liabilitas Atas Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Utang Pajak,Penghasilan Diterima Dimuka,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kemblai Negotiable Certificate Deposit (Ncd),Hasil Penjualan Properti Terbengkalai,Hasil Penjualan Aset Tetap,Penambahan Aset Dalam Penyelesaian,Pembelian Obligasi Pemerintah,Penjualan Obligasi Pemerintah Secara Repo,Pengembalian Uang Muka Ncd,Penjualan Agunan Yang Diambil Alih,Perolehan Aset Sewa Guna Usaha,Perolehan Aset Tetap,Adjusment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Simpanan Dari Bank Lain,Simpanan,Hutang Pemegang Saham,Setoran Modal,Penerbitan Saham Baru - Bersih,Pinjaman Dari Afliasi Dan Pemegang Saham,Biaya Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjusment,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-6762969684.000000,177151580855.000000,-99924705228.000000,6144717955.000000,-61277201934.000000,-21938638833.000000,6184886829.000000,,,,2756431379.000000,,-108772638386.000000,,-47342804672.000000,130778641.000000,-3523038421.000000,,-11678581560.000000,-11678581560.000000,-168429853019.000000,,176624665924.000000,,,,,,,,,,,,,,-1083575157.000000,-584483333.000000,-19630363743.000000,155326243691.000000,-6762969684.000000,-1358730742.000000,,,379188000.000000,,,,,,,-1737918742.000000,,-1358730742.000000,-3258035787.000000,-30174517591.000000,12116481804.000000,14800000000.000000,,,,,-3258035787.000000,-11379736213.000000,105690555097.000000,,105690555097.000000,94310818884.000000
12M 2009,-152663807916.000000,183577733699.000000,-102922908440.000000,7648746661.000000,-66739081886.000000,-21875795279.000000,21259815506.000000,,,,185766982.000000,,-46642231030.000000,,-96783577787.000000,-2428881607.000000,-266875603.000000,,-11610618986.000000,-11610618986.000000,-157546418031.000000,,-13805710168.000000,,,,,,,,,,,,,,-504468450.000000,-547575219.000000,-1208146309.000000,-16065900146.000000,-152663807916.000000,69346758773.000000,72631369863.000000,23500000000.000000,436636200.000000,,,,-11378000000.000000,,,-15843247290.000000,,69346758773.000000,83380190640.000000,-632484309.000000,-14700617540.000000,98713292489.000000,,,,,83380190640.000000,63141497.000000,94310818884.000000,,94310818884.000000,94373960381.000000
12M 2010,-151263000000.000000,115385000000.000000,-76276000000.000000,27029000000.000000,-65869000000.000000,-41738000000.000000,-10119000000.000000,,,,,136000000.000000,-213202000000.000000,,372780000000.000000,,-46652000000.000000,,-43798000000.000000,-43798000000.000000,69264000000.000000,,-289000000.000000,,-148199000000.000000,,,-148199000000.000000,-18883000000.000000,,,,,,,,780000000.000000,-664000000.000000,-1684000000.000000,-168939000000.000000,-151263000000.000000,-30849000000.000000,,,29347000000.000000,,,,,,,-60196000000.000000,,-30849000000.000000,505139000000.000000,,,,,505139000000.000000,,,505139000000.000000,323027000000.000000,269587000000.000000,,269587000000.000000,592614000000.000000
12M 2011,502901000000.000000,476036000000.000000,-257248000000.000000,22941000000.000000,-138740000000.000000,-337981000000.000000,8386000000.000000,,,,,-118895000000.000000,-170512000000.000000,-125394000000.000000,-2950443000000.000000,,-40150000000.000000,,-53418000000.000000,-53418000000.000000,-3458812000000.000000,,-859000000.000000,,4162693000000.000000,,,4162693000000.000000,9747000000.000000,,,,,,,,7867000000.000000,,8871000000.000000,4188319000000.000000,502901000000.000000,-208756000000.000000,,,2055000000.000000,,,,,31864000000.000000,,-242675000000.000000,,-208756000000.000000,324669000000.000000,,,,,328226000000.000000,,-3557000000.000000,324669000000.000000,618814000000.000000,592614000000.000000,,592614000000.000000,1211428000000.000000
12M 2012,64251000000.000000,1428775000000.000000,-493209000000.000000,70441000000.000000,-189679000000.000000,-583375000000.000000,-2548000000.000000,,,,,118895000000.000000,295825000000.000000,125394000000.000000,-2175687000000.000000,,-5683000000.000000,,1534000000.000000,1534000000.000000,-1639722000000.000000,,1324000000.000000,,1434131000000.000000,,,1434131000000.000000,19933000000.000000,,,,,,,,6008000000.000000,,12172000000.000000,1473568000000.000000,64251000000.000000,-27129000000.000000,,,24000000.000000,,,,,4123000000.000000,,-31276000000.000000,,-27129000000.000000,176688000000.000000,,,,,179593000000.000000,,-2905000000.000000,176688000000.000000,213810000000.000000,1211428000000.000000,,1211428000000.000000,1425238000000.000000
12M 2013,-295248000000.000000,1615421000000.000000,-639126000000.000000,109465000000.000000,-203677000000.000000,-697752000000.000000,2498000000.000000,,,,,,-341010000000.000000,,-1311717000000.000000,,20837000000.000000,-63338000000.000000,,-63338000000.000000,-1695228000000.000000,,5183000000.000000,,916819000000.000000,,,916819000000.000000,180310000000.000000,,,,,,,101813000000.000000,,2516000000.000000,6510000000.000000,1213151000000.000000,-295248000000.000000,-12623000000.000000,,,55000000.000000,,,,,,,-12678000000.000000,,-12623000000.000000,,,,,,,,,,-307871000000.000000,1425238000000.000000,,1425238000000.000000,1117367000000.000000
12M 2014,142100000000.000000,1628323000000.000000,-871043000000.000000,123687000000.000000,-218647000000.000000,-673795000000.000000,-296000000.000000,,,,,,-12870000000.000000,,41329000000.000000,,11382000000.000000,-28388000000.000000,,-28388000000.000000,11453000000.000000,,-4343000000.000000,,-34415000000.000000,,,-34415000000.000000,265871000000.000000,,,,,,,-101813000000.000000,,2484000000.000000,14634000000.000000,142418000000.000000,142100000000.000000,178750000000.000000,,,183326000000.000000,,,,,,,-4576000000.000000,,178750000000.000000,,,,,,,,,,320850000000.000000,1117367000000.000000,,1117367000000.000000,1438217000000.000000
12M 2015,-734475000000.000000,995126000000.000000,-646389000000.000000,90488000000.000000,-194083000000.000000,-421568000000.000000,-9021000000.000000,,,,,,20000000000.000000,,2187638000000.000000,,8657000000.000000,-45494000000.000000,,-45494000000.000000,2170801000000.000000,,-2309000000.000000,,-2519837000000.000000,,,-2519837000000.000000,-281176000000.000000,,,,,,,,,-9964000000.000000,93457000000.000000,-2719829000000.000000,-734475000000.000000,-2384000000.000000,,,37000000.000000,,,,,,,-2421000000.000000,,-2384000000.000000,,,,,,,,,,-736859000000.000000,1438217000000.000000,,1438217000000.000000,701358000000.000000
12M 2016,-765355000000.000000,510421000000.000000,-401323000000.000000,55860000000.000000,-160174000000.000000,-301656000000.000000,-1857000000.000000,,,,,,-41672000000.000000,,792012000000.000000,,37127000000.000000,-133376000000.000000,,-133376000000.000000,654091000000.000000,,1174000000.000000,,-1222035000000.000000,,,-1222035000000.000000,221139000000.000000,,,,,,,,,-4778000000.000000,-116217000000.000000,-1120717000000.000000,-765355000000.000000,-9739000000.000000,,,3837000000.000000,,,,,,,-13576000000.000000,,-9739000000.000000,839210000000.000000,,,,,849413000000.000000,,-10203000000.000000,839210000000.000000,64116000000.000000,701358000000.000000,,701358000000.000000,765474000000.000000
12M 2017,478343000000.000000,492265000000.000000,-345024000000.000000,55374000000.000000,-168887000000.000000,-163000000000.000000,-1030000000.000000,,,,,,46497000000.000000,,-1840249000000.000000,,-16287000000.000000,-69335000000.000000,,-69335000000.000000,-1879374000000.000000,,13222000000.000000,,1657658000000.000000,,,1657658000000.000000,610331000000.000000,,,,,,,201264000000.000000,,-2344000000.000000,7888000000.000000,2488019000000.000000,478343000000.000000,-26211000000.000000,,,6007000000.000000,,,,,,,-32218000000.000000,,-26211000000.000000,,,,,,,,,,452132000000.000000,765474000000.000000,,765474000000.000000,1217606000000.000000
