Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Yang Diberikan,Aset Tak Berwujud,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Tetap,Others,Total Aset Tetap,Aset Pajak Tangguhan,Adjustment,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Others,Total Simpanan Nasabah,Liabilitas Bank Lain,Simpanan Dari Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Simpanan Dari Bank Lain,Utang Pajak,Beban Akrual,Utang Pihak Berelasi,Adjustment,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,27152181750.000000,64523495791.000000,,398649843.000000,398649843.000000,,909511103909.000000,10115742820.000000,,919626846729.000000,,,,,82003000077.000000,,82003000077.000000,24322424400.000000,,374139454016.000000,1492166052606.000000,,,19945714891.000000,1322717899143.000000,28506056602.000000,1294211842541.000000,,1322717899143.000000,,20936448677.000000,19450084708.000000,1486363969.000000,20936448677.000000,2842545736.000000,,,,37547546500.000000,1403990154947.000000,,85375000000.000000,7666251025.000000,-4865353366.000000,,88175897659.000000,,1492166052606.000000,853750000.000000
12M 2009,,23568914050.000000,67526641257.000000,,217680926.000000,217680926.000000,,909568388151.000000,19744558872.000000,,929312947023.000000,,,,,104225257387.000000,,104225257387.000000,2143014057.000000,,298581366441.000000,1425575821141.000000,,,6248546174.000000,1308017281603.000000,15852516647.000000,1292164764956.000000,,1308017281603.000000,,20303964368.000000,20303964368.000000,,20303964368.000000,2338077286.000000,,,,135362113726.000000,1472269983157.000000,,85375000000.000000,7666251025.000000,-139735413041.000000,,-46694162016.000000,,1425575821141.000000,853750000.000000
12M 2010,,21540000000.000000,317396000000.000000,248638000000.000000,,248638000000.000000,,321343000000.000000,,,321343000000.000000,,,,,129153000000.000000,,129153000000.000000,79810000000.000000,,443742000000.000000,1561622000000.000000,,,5778000000.000000,1159818000000.000000,228607000000.000000,931211000000.000000,,1159818000000.000000,,1421000000.000000,1421000000.000000,,1421000000.000000,3118000000.000000,,129638000000.000000,,5286000000.000000,1305059000000.000000,,597625000000.000000,555000000.000000,-340102000000.000000,-1515000000.000000,256563000000.000000,,1561622000000.000000,5976250000.000000
12M 2011,,85547000000.000000,464607000000.000000,770321000000.000000,,770321000000.000000,,3337893000000.000000,,,3337893000000.000000,,,,,348095000000.000000,,348095000000.000000,104132000000.000000,,882444000000.000000,5993039000000.000000,,,22498000000.000000,5322511000000.000000,83647000000.000000,5238864000000.000000,,5322511000000.000000,,11168000000.000000,11168000000.000000,,11168000000.000000,10985000000.000000,,129638000000.000000,,32998000000.000000,5529798000000.000000,,925851000000.000000,-3002000000.000000,-487355000000.000000,27747000000.000000,463241000000.000000,,5993039000000.000000,9258512230.000000
12M 2012,,78101000000.000000,520795000000.000000,776200000000.000000,,776200000000.000000,,5358287000000.000000,,,5358287000000.000000,,,,,323701000000.000000,,323701000000.000000,82777000000.000000,,543077000000.000000,7682938000000.000000,,,26083000000.000000,6756642000000.000000,28859000000.000000,6727783000000.000000,,6756642000000.000000,,31101000000.000000,31101000000.000000,,31101000000.000000,16993000000.000000,,129638000000.000000,,68297000000.000000,7028754000000.000000,,1075512000000.000000,24025000000.000000,-440490000000.000000,-4863000000.000000,654184000000.000000,,7682938000000.000000,10755117153.000000
12M 2013,,44477000000.000000,596080000000.000000,470225000000.000000,,470225000000.000000,,6552710000000.000000,,,6552710000000.000000,,,,,176035000000.000000,,176035000000.000000,76620000000.000000,,1086977000000.000000,9003124000000.000000,,,39897000000.000000,7673461000000.000000,37751000000.000000,7635710000000.000000,,7673461000000.000000,,211411000000.000000,,211411000000.000000,211411000000.000000,48609000000.000000,,129638000000.000000,,182192000000.000000,8285208000000.000000,,1075512000000.000000,24025000000.000000,-344218000000.000000,-37403000000.000000,717916000000.000000,,9003124000000.000000,10755117153.000000
12M 2014,,41812000000.000000,660836000000.000000,656797000000.000000,,656797000000.000000,,6419108000000.000000,,,6419108000000.000000,,,,,126164000000.000000,,126164000000.000000,105997000000.000000,,1033332000000.000000,9044046000000.000000,,,40093000000.000000,7639046000000.000000,81854000000.000000,7557192000000.000000,,7639046000000.000000,,477282000000.000000,,477282000000.000000,477282000000.000000,21993000000.000000,,129638000000.000000,,99848000000.000000,8407900000000.000000,,1075512000000.000000,24025000000.000000,-463391000000.000000,,636146000000.000000,,9044046000000.000000,10755117153.000000
12M 2015,,31465000000.000000,396490000000.000000,255983000000.000000,,255983000000.000000,,4082124000000.000000,,,4082124000000.000000,,,,,74010000000.000000,,74010000000.000000,157788000000.000000,,969326000000.000000,5967186000000.000000,,,24015000000.000000,5119209000000.000000,14332000000.000000,5104877000000.000000,,5119209000000.000000,,196106000000.000000,,196106000000.000000,196106000000.000000,12029000000.000000,,129638000000.000000,,175519000000.000000,5656516000000.000000,,1075512000000.000000,24025000000.000000,-797519000000.000000,8652000000.000000,310670000000.000000,,5967186000000.000000,10755117153.000000
12M 2016,,45766000000.000000,249968000000.000000,448644000000.000000,,448644000000.000000,,3142761000000.000000,,,3142761000000.000000,,,,,47302000000.000000,,47302000000.000000,266519000000.000000,,1050438000000.000000,5251398000000.000000,,,18782000000.000000,3897174000000.000000,16513000000.000000,3880661000000.000000,,3897174000000.000000,,417246000000.000000,,417246000000.000000,417246000000.000000,7251000000.000000,,,,46367000000.000000,4386820000000.000000,,2035889000000.000000,32496000000.000000,-1202642000000.000000,-1165000000.000000,864578000000.000000,,5251398000000.000000,64109430357.000000
12M 2017,,116863000000.000000,372907000000.000000,711461000000.000000,,711461000000.000000,,4985699000000.000000,,,4985699000000.000000,,,,,60204000000.000000,,60204000000.000000,290066000000.000000,,1121724000000.000000,7658924000000.000000,,,31268000000.000000,5554832000000.000000,760293000000.000000,4794539000000.000000,,5554832000000.000000,,1027577000000.000000,,1027577000000.000000,1027577000000.000000,4907000000.000000,,,,251982000000.000000,6870566000000.000000,,2035889000000.000000,32496000000.000000,-1278927000000.000000,-1100000000.000000,788358000000.000000,,7658924000000.000000,64109430357.000000
12M 2018,,95625000000.000000,432075000000.000000,1512121000000.000000,,1512121000000.000000,,5389603000000.000000,,,5389603000000.000000,,,,,77068000000.000000,,77068000000.000000,319288000000.000000,,1656350000000.000000,9482130000000.000000,,,61982000000.000000,6656770000000.000000,1180067000000.000000,5476703000000.000000,,6656770000000.000000,,1723993000000.000000,,1723993000000.000000,1723993000000.000000,6901000000.000000,,,,339086000000.000000,8788732000000.000000,,2035889000000.000000,32496000000.000000,-1379058000000.000000,4071000000.000000,693398000000.000000,,9482130000000.000000,64109430357.000000
12M 2019,,166984000000.000000,422246000000.000000,159981000000.000000,,159981000000.000000,,5210768000000.000000,,,5210768000000.000000,,,,,65551000000.000000,,65551000000.000000,364531000000.000000,,1707267000000.000000,8097328000000.000000,,,152251000000.000000,5584175000000.000000,932186000000.000000,4651989000000.000000,,5584175000000.000000,,1039153000000.000000,1034490000000.000000,4663000000.000000,1039153000000.000000,6617000000.000000,,,,765599000000.000000,7547795000000.000000,,2035889000000.000000,32496000000.000000,-1516617000000.000000,-2235000000.000000,549533000000.000000,,8097328000000.000000,64109430357.000000
12M 2020,,35545000000.000000,102188000000.000000,304924000000.000000,,304924000000.000000,,2968242000000.000000,,,2968242000000.000000,,,,,65323000000.000000,,65323000000.000000,421291000000.000000,,1439768000000.000000,5337281000000.000000,,,221036000000.000000,2582207000000.000000,157105000000.000000,2425102000000.000000,,2582207000000.000000,,675482000000.000000,674878000000.000000,604000000.000000,675482000000.000000,2587000000.000000,,,,494388000000.000000,3975700000000.000000,,2173360000000.000000,1583496000000.000000,-2392228000000.000000,-3047000000.000000,1361581000000.000000,,5337281000000.000000,6410943038.000000
12M 2021,,75595000000.000000,158888000000.000000,1566833000000.000000,,1566833000000.000000,,2709189000000.000000,,,2709189000000.000000,,,,,60833000000.000000,,60833000000.000000,360028000000.000000,,3918245000000.000000,8849611000000.000000,,,116264000000.000000,4639454000000.000000,467246000000.000000,4172208000000.000000,,4639454000000.000000,,2117842000000.000000,2107640000000.000000,10202000000.000000,2117842000000.000000,4347000000.000000,,,,80557000000.000000,6958464000000.000000,,4308864000000.000000,241475000000.000000,-2657404000000.000000,-1788000000.000000,1891147000000.000000,,8849611000000.000000,51870438266.000000
