Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Jasa Administrasi,Keuntungan Penjualan Efek-Efek,Kenaikan Nilai Wajar Aset Keuangan,Keuntungan Dari Penjualan Aset-Aset Keuangan,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Pemulihan Estimasi Kerugian Komitmen Dan Kontinjensi,Kerugian Dari Penjualan Aset-Aset Keuangan,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Non-Keuangan,Beban Kerugian Atas Aset Non-Produktif,Adjustment,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Non-Operasional,Beban Non-Operasional,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Pajak Tangguhan,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,176860866392.000000,169624261747.000000,7236604645.000000,176860866392.000000,-100940538031.000000,-99962416315.000000,-978121716.000000,-100940538031.000000,75920328361.000000,-97373621001.000000,,,5344648471.000000,,,,800069484.000000,6144717955.000000,,-68519504422.000000,-22790254181.000000,,,-4206870095.000000,,,-8001710258.000000,-103518338956.000000,-97373621001.000000,-21453292640.000000,-6564810169.000000,,,-6564810169.000000,,,-6564810169.000000,-28018102809.000000,-3994355278.000000,,-3994355278.000000,-3994355278.000000,-32012458087.000000,,,,,,-32012458087.000000,-32012458087.000000,,-32012458087.000000,,,,
12M 2009,185911317406.000000,179549422732.000000,6361894674.000000,185911317406.000000,-100505681641.000000,-99262638239.000000,-1243043402.000000,-100505681641.000000,85405635765.000000,-255967345873.000000,,,6493082880.000000,,,,1155663781.000000,7648746661.000000,,-77518795307.000000,-23005982384.000000,,,-67385513178.000000,,,-95705801665.000000,-263616092534.000000,-255967345873.000000,-170561710108.000000,57871060776.000000,,57871060776.000000,,,,57871060776.000000,-112690649332.000000,-22179410343.000000,,-22179410343.000000,-22179410343.000000,-134870059675.000000,,,,,,-134870059675.000000,-134870059675.000000,,-134870059675.000000,,,,
12M 2010,115744000000.000000,115665000000.000000,79000000.000000,115744000000.000000,-76095000000.000000,-74830000000.000000,-1265000000.000000,-76095000000.000000,39649000000.000000,-195972000000.000000,,,8010000000.000000,17433000000.000000,,,1587000000.000000,27030000000.000000,,-75222000000.000000,-43570000000.000000,,,-21477000000.000000,,,-82733000000.000000,-223002000000.000000,-195972000000.000000,-156323000000.000000,-9989000000.000000,,,-9989000000.000000,,,-9989000000.000000,-166312000000.000000,77666000000.000000,,77666000000.000000,77666000000.000000,-88646000000.000000,,,,,,-88646000000.000000,-88646000000.000000,,-88646000000.000000,,,,
12M 2011,515943000000.000000,515943000000.000000,,515943000000.000000,-273451000000.000000,-273451000000.000000,,-273451000000.000000,242492000000.000000,-412104000000.000000,,,22730000000.000000,54590000000.000000,,,210000000.000000,77530000000.000000,,-161703000000.000000,-358302000000.000000,,,6007000000.000000,,,24364000000.000000,-489634000000.000000,-412104000000.000000,-169612000000.000000,-1963000000.000000,,,-1963000000.000000,,,-1963000000.000000,-171575000000.000000,24322000000.000000,,24322000000.000000,24322000000.000000,-147253000000.000000,29262000000.000000,,29262000000.000000,29262000000.000000,-117991000000.000000,-147253000000.000000,-147253000000.000000,,-147253000000.000000,-117991000000.000000,-117991000000.000000,,-117991000000.000000
12M 2012,1490694000000.000000,1490694000000.000000,,1490694000000.000000,-495470000000.000000,-495470000000.000000,,-495470000000.000000,995224000000.000000,-923671000000.000000,,,65140000000.000000,32541000000.000000,,,5301000000.000000,102982000000.000000,,-247541000000.000000,-606499000000.000000,,,-780000000.000000,,,-171833000000.000000,-1026653000000.000000,-923671000000.000000,71553000000.000000,-3333000000.000000,,,-3333000000.000000,,,-3333000000.000000,68220000000.000000,-21355000000.000000,,-21355000000.000000,-21355000000.000000,46865000000.000000,-32610000000.000000,,-32610000000.000000,-32610000000.000000,14255000000.000000,46865000000.000000,46865000000.000000,,46865000000.000000,14255000000.000000,14255000000.000000,,14255000000.000000
12M 2013,1620706000000.000000,1620706000000.000000,,1620706000000.000000,-647757000000.000000,-647757000000.000000,,-647757000000.000000,972949000000.000000,-960502000000.000000,,,91870000000.000000,1507000000.000000,140000000.000000,,17595000000.000000,111112000000.000000,,-268128000000.000000,-702345000000.000000,,,,,,-101141000000.000000,-1071614000000.000000,-960502000000.000000,12447000000.000000,89982000000.000000,,89982000000.000000,,,,89982000000.000000,102429000000.000000,-6157000000.000000,,-6157000000.000000,-6157000000.000000,96272000000.000000,-32540000000.000000,,-32540000000.000000,-32540000000.000000,63732000000.000000,96272000000.000000,96272000000.000000,,96272000000.000000,63732000000.000000,63732000000.000000,,63732000000.000000
12M 2014,1679997000000.000000,1679997000000.000000,,1679997000000.000000,-875581000000.000000,-875581000000.000000,,-875581000000.000000,804416000000.000000,-952645000000.000000,,,112289000000.000000,,98000000.000000,,11398000000.000000,123785000000.000000,,-273845000000.000000,-679612000000.000000,,,,,,-122973000000.000000,-1076430000000.000000,-952645000000.000000,-148229000000.000000,-321000000.000000,,,-321000000.000000,,,-321000000.000000,-148550000000.000000,29377000000.000000,,29377000000.000000,29377000000.000000,-119173000000.000000,37403000000.000000,,37403000000.000000,37403000000.000000,-81770000000.000000,-119173000000.000000,-119173000000.000000,,-119173000000.000000,-81770000000.000000,-81770000000.000000,,-81770000000.000000
12M 2015,1009192000000.000000,1009192000000.000000,,1009192000000.000000,-632619000000.000000,-632619000000.000000,,-632619000000.000000,376573000000.000000,-752330000000.000000,,,77054000000.000000,,190000000.000000,,13244000000.000000,90488000000.000000,,-248514000000.000000,-411360000000.000000,,,,,,-182944000000.000000,-842818000000.000000,-752330000000.000000,-375757000000.000000,-9087000000.000000,,,-9087000000.000000,,,-9087000000.000000,-384844000000.000000,53685000000.000000,,53685000000.000000,53685000000.000000,-331159000000.000000,-3878000000.000000,,-3878000000.000000,-3878000000.000000,-335037000000.000000,-331159000000.000000,-331159000000.000000,,-331159000000.000000,-335037000000.000000,-335037000000.000000,,-335037000000.000000
12M 2016,476898000000.000000,476898000000.000000,,476898000000.000000,-394915000000.000000,-394915000000.000000,,-394915000000.000000,81983000000.000000,-592356000000.000000,,,45672000000.000000,,-538000000.000000,,10188000000.000000,55322000000.000000,,-198271000000.000000,-275632000000.000000,,,,,,-173775000000.000000,-647678000000.000000,-592356000000.000000,-510373000000.000000,-208000000.000000,,,-208000000.000000,,,-208000000.000000,-510581000000.000000,105458000000.000000,,105458000000.000000,105458000000.000000,-405123000000.000000,-9817000000.000000,,-9817000000.000000,-9817000000.000000,-414940000000.000000,-405123000000.000000,-405123000000.000000,,-405123000000.000000,-414940000000.000000,-414940000000.000000,,-414940000000.000000
12M 2017,528927000000.000000,528927000000.000000,,528927000000.000000,-344287000000.000000,-344287000000.000000,,-344287000000.000000,184640000000.000000,-288534000000.000000,,,46343000000.000000,-42000000.000000,3669000000.000000,,9031000000.000000,59001000000.000000,,-187266000000.000000,-156013000000.000000,,,,,,-4256000000.000000,-347535000000.000000,-288534000000.000000,-103894000000.000000,4041000000.000000,,4041000000.000000,,,,4041000000.000000,-99853000000.000000,23568000000.000000,,23568000000.000000,23568000000.000000,-76285000000.000000,65000000.000000,,65000000.000000,65000000.000000,-76220000000.000000,-76285000000.000000,-76285000000.000000,,-76285000000.000000,-76220000000.000000,-76220000000.000000,,-76220000000.000000
