Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,26 B,(27 B),(1 B),-2650.12
12M 2020,(16 B),(3 B),(20 B),-43891.40
12M 2021,19 B,(6 B),14 B,30188.17
12M 2022,(5 B),(6 B),(11 B),-1.25
12M 2023,(4 B),(12 B),(17 B),-1.73
12M 2024,(1 B),(88 B),(89 B),-9.24
