Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,1367597777.000000,10817770433.000000,10817770433.000000,,10817770433.000000,110001499.000000,,,110001499.000000,10615689553.000000,16605442822.000000,39516502084.000000,,109231104510.000000,1412875887.000000,,110643980397.000000,150160482481.000000,,,57911947996.000000,19596054867.000000,,5698788990.000000,,5698788990.000000,,28867146469.000000,,28867146469.000000,474152624.000000,577494192.000000,,2464719482.000000,221619683.000000,,2686339165.000000,,11971689.000000,57911947996.000000,21192363589.000000,,15497941925.000000,42918118.000000,,15540860043.000000,5651503546.000000,21192363589.000000,79104311585.000000,,45000000000.000000,88513500.000000,25967657396.000000,,25967657396.000000,25967657396.000000,,71056170896.000000,150160482481.000000,450000.000000
12M 2020,,,1367710829.000000,11081353210.000000,11081353210.000000,,11081353210.000000,76717503.000000,,,76717503.000000,11087561212.000000,15803189193.000000,39416531947.000000,,108104778077.000000,1587438555.000000,,109692216632.000000,149108748579.000000,,,17946440153.000000,8870207957.000000,,4748668575.000000,,4748668575.000000,,266326470.000000,,266326470.000000,10139704.000000,339187078.000000,,3655904917.000000,42918118.000000,,3698823035.000000,,13087334.000000,17946440153.000000,52103093872.000000,,44887464074.000000,,,44887464074.000000,7215629798.000000,52103093872.000000,70049534025.000000,,45000000000.000000,88513500.000000,33970701054.000000,,33970701054.000000,33970701054.000000,,79059214554.000000,149108748579.000000,450000.000000
12M 2021,,,4676042551.000000,17110674354.000000,17110674354.000000,,17110674354.000000,365946168.000000,,,365946168.000000,7561293636.000000,10191480556.000000,39905437265.000000,,108703544950.000000,1178293679.000000,,109881838629.000000,149787275894.000000,,,11715959044.000000,2142051698.000000,,3778081561.000000,,3778081561.000000,,629949427.000000,,629949427.000000,623661737.000000,1399891973.000000,,3076949911.000000,52133236.000000,,3129083147.000000,,13239501.000000,11715959044.000000,47431136364.000000,,41966181240.000000,109074764.000000,,42075256004.000000,5355880360.000000,47431136364.000000,59147095408.000000,,45000000000.000000,88513500.000000,45551666986.000000,,45551666986.000000,45551666986.000000,,90640180486.000000,149787275894.000000,450000.000000
12M 2022,,,6026605530.000000,23550289953.000000,23550289953.000000,,23550289953.000000,494793201.000000,,,494793201.000000,8172898635.000000,10384758622.000000,48629345941.000000,,111173315233.000000,1240482821.000000,1644933388.000000,114058731442.000000,162688077383.000000,,,15020996061.000000,,,3139595309.000000,,3139595309.000000,,668819380.000000,,668819380.000000,1068941104.000000,131671677.000000,,9537968819.000000,54798168.000000,391814104.000000,9984581091.000000,,27387500.000000,15020996061.000000,39201054758.000000,,33408470694.000000,63183487.000000,429633626.000000,33901287807.000000,5299766951.000000,39201054758.000000,54222050819.000000,,91600000000.000000,88513500.000000,16777513064.000000,9000000000.000000,7777513064.000000,16777513064.000000,,108466026564.000000,162688077383.000000,9160000000.000000
12M 2023,,,23600401008.000000,5336252038.000000,5336252038.000000,,5336252038.000000,8196938451.000000,,,8196938451.000000,7298319474.000000,23645295468.000000,68077206439.000000,,116029510531.000000,1164872632.000000,3705439427.000000,120899822590.000000,188977029029.000000,,,7400453215.000000,186478460.000000,,1474319651.000000,,1474319651.000000,,70122075.000000,,70122075.000000,475422994.000000,495350137.000000,,4227114576.000000,53727480.000000,417917842.000000,4698759898.000000,,,7400453215.000000,33323382859.000000,,28170680396.000000,,,28170680396.000000,5152702463.000000,33323382859.000000,40723836074.000000,,96100127200.000000,37849098204.000000,14303967551.000000,9000000000.000000,5303967551.000000,14303967551.000000,,148253192955.000000,188977029029.000000,9610012720.000000
12M 2024,,,398417345.000000,14623307217.000000,14623307217.000000,,14623307217.000000,1274305852.000000,,,1274305852.000000,7289027124.000000,23183799562.000000,46768857100.000000,,198137983379.000000,1027898427.000000,2038952699.000000,201204834505.000000,247973691605.000000,,,42510994008.000000,27662140086.000000,,3722136248.000000,,3722136248.000000,,70122075.000000,,70122075.000000,699788133.000000,140495402.000000,,10161265622.000000,55046442.000000,,10216312064.000000,,,42510994008.000000,60355164783.000000,,55696192398.000000,103104882.000000,,55799297280.000000,4555867503.000000,60355164783.000000,102866158791.000000,,96100805020.000000,37855198584.000000,11151529210.000000,9000000000.000000,2151529210.000000,11151529210.000000,,145107532814.000000,247973691605.000000,9610080502.000000
