Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada,Pemasok,Karyawan,Total Pembayaran Kepada,Penerimaan Dari Penghasilan Keuangan,Pembayaran (Penerimaan) Pajak,Pembayaran Beban Keuangan,Pembayaran Beban Usaha,Penerimaan Dari (Pembayaran Untuk) Kegiatan Operasional Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Lancar Lainnya - Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerbitan Saham Melalui Penawaran Umum Perdana,Penerbitan Saham Melalui Pelaksanaan Waran,Pembayaran Biaya Emisi Saham Perdana,Penambahan Modal,Pembayaran Utang Bank Jangka Panjang,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Dari Utang Bank Jangka Panjang,Penambahan Piutang Lain-Lain,Penerimaan Dari Utang Lainnya,Penambahan Bank Yang Dibatasi Penggunaannya,Pembayaran Dari Piutang Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,25657045879.000000,133277252124.000000,,-66057447409.000000,-26233386497.000000,-92290833906.000000,6465478.000000,-11903100751.000000,-3432737066.000000,,,,25657045879.000000,-26849598851.000000,,-26508619386.000000,-340979465.000000,,-26849598851.000000,2241433262.000000,,,,5000000000.000000,-2278879539.000000,,-479687199.000000,,,,,,2241433262.000000,,-6720535522.000000,,-11507921567.000000,-18228457089.000000
12M 2020,-16326951750.000000,115327853103.000000,,-57084833526.000000,-27043983257.000000,-84128816783.000000,8358574.000000,-2315510271.000000,-5880380991.000000,,-39338455382.000000,,-16326951750.000000,-3306176190.000000,118000000.000000,-3386212553.000000,-37963637.000000,,-3306176190.000000,30359087901.000000,,,,,-19365692416.000000,,-221619683.000000,49946400000.000000,,,,,30359087901.000000,,10725959961.000000,,-18228457089.000000,-7502497128.000000
12M 2021,19249693674.000000,143316419220.000000,,-81611657767.000000,-32400372501.000000,-114012030268.000000,76999665.000000,-1527019355.000000,-3786090211.000000,,-4818585377.000000,,19249693674.000000,-5665017734.000000,,-5315034742.000000,-349982992.000000,,-5665017734.000000,-3548187959.000000,,,,,-3500237841.000000,,-47950118.000000,,,,,,-3548187959.000000,,10036487981.000000,,-7502497128.000000,2533990853.000000
12M 2022,-5484276393.000000,85197932168.000000,,-51515703153.000000,-27154640615.000000,-78670343768.000000,775710233.000000,-3204702556.000000,-3059238263.000000,,-6523634207.000000,,-5484276393.000000,-5031786077.000000,900000000.000000,-5440421985.000000,-491364092.000000,,-5031786077.000000,14008677147.000000,,,,16600000000.000000,-2096691637.000000,-451404871.000000,-43226345.000000,,,,,,14008677147.000000,,3492614677.000000,,2533990853.000000,6026605530.000000
12M 2023,-4174055675.000000,92252839218.000000,,-46843611476.000000,-28827529270.000000,-75671140746.000000,1035560212.000000,-4880030294.000000,-3039581832.000000,-13247004360.000000,-624697873.000000,,-4174055675.000000,-12352391860.000000,60000000.000000,-8159439296.000000,-4252952564.000000,,-12352391860.000000,30185709702.000000,45000000000.000000,1272000.000000,-2740560096.000000,,-4140749921.000000,-378904997.000000,-55347284.000000,,-7500000000.000000,,,,30185709702.000000,,13659262167.000000,,9754660381.000000,23413922548.000000
12M 2024,-635370438.000000,94739687417.000000,,-52211568422.000000,-30396403890.000000,-82607972312.000000,973056125.000000,2887819249.000000,-6297944727.000000,-9289591888.000000,-1040424302.000000,,-635370438.000000,-88861726331.000000,53000000.000000,-85648609951.000000,-2514075380.000000,-752041000.000000,-88861726331.000000,38819451480.000000,,6778200.000000,,,-34135035304.000000,-417917842.000000,-67776156.000000,67594698352.000000,7500000000.000000,,-1661295770.000000,,38819451480.000000,,-50677645289.000000,,23413922548.000000,-27263722741.000000
