Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Tanah Untuk Dikembangkan,Investasi Pada Entitas Asosiasi,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Aset Tak Berwujud,Properti Investasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Kewajiban Lembaga Keuangan Non Bank,Utang Bank,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Obligasi,Surat Berharga Jangka Menengah,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Surat Berharga Jangka Menengah,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,32276900834.000000,199438750246.000000,133631910819.000000,65806839427.000000,199438750246.000000,843206000.000000,843206000.000000,,843206000.000000,817451139484.000000,70554744196.000000,1120564740760.000000,,104523442095.000000,,,,,,,,,207019944444.000000,5381000000.000000,316924386539.000000,1437489127299.000000,,,139866639579.000000,,,,,21462347559.000000,21462347559.000000,,,2329070450.000000,2329070450.000000,8110183177.000000,40597196545.000000,,,,,,,67367841848.000000,139866639579.000000,372414727610.000000,,,,,372414727610.000000,,372414727610.000000,,,,372414727610.000000,512281367189.000000,,913206000000.000000,,12001624843.000000,,12001624843.000000,12001624843.000000,135267.000000,,925207760110.000000,1437489127299.000000,9132060000.000000
12M 2014,,,228718742176.000000,439374741095.000000,116514565134.000000,322860175961.000000,439374741095.000000,72123287.000000,56095890.000000,16027397.000000,72123287.000000,1529089754744.000000,113939463342.000000,2311194824644.000000,,172372120118.000000,23500000000.000000,,,,,,881771194.000000,,217302339974.000000,5381000000.000000,419437231286.000000,2730632055930.000000,,,1108859608575.000000,150000000000.000000,,,44177537580.000000,126863835649.000000,171041373229.000000,,,581317171051.000000,581317171051.000000,40966911180.000000,77306562208.000000,,,,,10218181818.000000,10218181818.000000,78009409089.000000,1108859608575.000000,590444122523.000000,,116327272730.000000,116327272730.000000,,444116849793.000000,,444116849793.000000,30000000000.000000,,,590444122523.000000,1699303731098.000000,,913206000000.000000,,118122484583.000000,,118122484583.000000,118122484583.000000,-159750.000000,,1031328324833.000000,2730632055931.000000,9132060000.000000
12M 2015,,,357422184987.000000,1198704737562.000000,,1198704737562.000000,1198704737562.000000,795616439.000000,643561644.000000,152054795.000000,795616439.000000,1498069952103.000000,131693238831.000000,3186685729922.000000,,247992592095.000000,23500000000.000000,,,,,,1121447184.000000,,1674282096261.000000,185374867191.000000,2132271002731.000000,5318956732653.000000,,,1628967894092.000000,,,,132211830808.000000,526293854519.000000,658505685327.000000,,,517090949940.000000,517090949940.000000,84131729931.000000,90169115921.000000,,,,,156954129392.000000,156954129392.000000,122116283581.000000,1628967894092.000000,1172401984322.000000,,162475747632.000000,162475747632.000000,,979812393798.000000,,979812393798.000000,30000000000.000000,,113842892.000000,1172401984322.000000,2801369878414.000000,,1404440600000.000000,357657791204.000000,418447507538.000000,5306042987.000000,413141464551.000000,418447507538.000000,1708032583.000000,335332922914.000000,2517586854239.000000,5318956732653.000000,14044406000.000000
12M 2016,,,624472314516.000000,2765315999570.000000,,2765315999570.000000,2765315999570.000000,44975178172.000000,44975178172.000000,,44975178172.000000,1606415374401.000000,123474703844.000000,5164653570503.000000,,1348698763640.000000,129792873385.000000,,,,,,2245011313.000000,,1997712794088.000000,183180775409.000000,3661630217835.000000,8826283788338.000000,,,2778511765532.000000,,,,436315834594.000000,1090326524182.000000,1526642358776.000000,,,250783569730.000000,250783569730.000000,167708503095.000000,87280330222.000000,,,,,584651428571.000000,584651428571.000000,161445575138.000000,2778511765532.000000,3079861317759.000000,,599363649497.000000,599363649497.000000,,1033253024826.000000,548416162704.000000,1581669187530.000000,300000000000.000000,598358200906.000000,470279826.000000,3079861317759.000000,5858373083291.000000,,1404440600000.000000,357657791204.000000,723765333373.000000,20322294135.000000,703443039238.000000,723765333373.000000,146730741303.000000,335316239168.000000,2967910705048.000000,8826283788339.000000,14044406000.000000
12M 2017,,,996491296843.000000,4231062515090.000000,,4231062515090.000000,4231062515090.000000,8288392467.000000,8288392467.000000,,8288392467.000000,1575007765584.000000,295375550327.000000,7106225520311.000000,,3154069617116.000000,179663335044.000000,,,,,,2802472849.000000,,1940116421607.000000,177054955202.000000,5453706801818.000000,12559932322129.000000,,,3395076140604.000000,,200000000000.000000,,508977055164.000000,1158097927030.000000,1667074982194.000000,,,338188830713.000000,338188830713.000000,256763400826.000000,95358782117.000000,,,100000000000.000000,,222197561153.000000,322197561153.000000,515492583601.000000,3395076140604.000000,4164747640591.000000,,1015011999995.000000,1015011999995.000000,,755129245348.000000,361310393852.000000,1116439639200.000000,1430000000000.000000,599014920550.000000,4281080846.000000,4164747640591.000000,7559823781195.000000,,1541891797075.000000,1745799785605.000000,1096081981835.000000,38591435656.000000,1057490546179.000000,1096081981835.000000,218183202325.000000,398151774094.000000,5000108540934.000000,12559932322129.000000,61675671883.000000
12M 2018,,,553969790532.000000,6014699375735.000000,,6014699375735.000000,6014699375735.000000,,,,,3512838197303.000000,331934868094.000000,10413442231664.000000,,3439344303536.000000,229188162427.000000,,,,,,34006378279.000000,,2169718612941.000000,190020797437.000000,6062278254620.000000,16475720486284.000000,,,5685378489565.000000,,200000000000.000000,,789809780662.000000,2391268310473.000000,3181078091135.000000,,,348120437024.000000,348120437024.000000,264184021326.000000,223914407295.000000,,200000000000.000000,200000000000.000000,,754284999998.000000,1154284999998.000000,313796532787.000000,5685378489565.000000,4971773985836.000000,,1309042391810.000000,1309042391810.000000,,766205040020.000000,118391854167.000000,884596894187.000000,1710000000000.000000,1065171640194.000000,2963059645.000000,4971773985836.000000,10657152475401.000000,,1541891797075.000000,1745915355605.000000,1478458634727.000000,60825433425.000000,1417633201302.000000,1478458634727.000000,546230402739.000000,506071820737.000000,5818568010883.000000,16475720486284.000000,61675671883.000000
12M 2019,,,516016628187.000000,6897269185918.000000,,6897269185918.000000,6897269185918.000000,,,,,4976410387394.000000,294459308476.000000,12684155509975.000000,,3655593291045.000000,244727325133.000000,286784149204.000000,286784149204.000000,,286784149204.000000,,33445432602.000000,,2481947878357.000000,198026990117.000000,6900525066458.000000,19584680576433.000000,,,7147437444680.000000,,113458413452.000000,,569567900516.000000,3639804126753.000000,4209372027269.000000,,,395195779384.000000,395195779384.000000,359524575685.000000,124943497274.000000,,,1230000000000.000000,,424176580000.000000,1654176580000.000000,290766571616.000000,7147437444680.000000,6312184791062.000000,,2471232954243.000000,2471232954243.000000,,766410986205.000000,72790312500.000000,839201298705.000000,600000000000.000000,2397459562129.000000,4290975985.000000,6312184791062.000000,13459622235742.000000,,1541891797075.000000,1745915355605.000000,1726902330516.000000,84388313840.000000,1642514016676.000000,1726902330516.000000,577614525703.000000,532734331792.000000,6125058340691.000000,19584680576433.000000,61675671883.000000
12M 2020,,,400710364759.000000,2237662907944.000000,,2237662907944.000000,2237662907944.000000,,,,,8313296049226.000000,539175116403.000000,11490844438332.000000,,3728936173253.000000,233380687048.000000,210142422408.000000,210142422408.000000,,210142422408.000000,,34043430926.000000,,2694031520761.000000,197591799264.000000,7098126033660.000000,18588970471992.000000,,,6760191759915.000000,,339947093506.000000,,471010718968.000000,1534160461862.000000,2005171180830.000000,,295000000000.000000,322510517403.000000,617510517403.000000,125952598067.000000,165957271878.000000,,923000000000.000000,680000000000.000000,400062855.000000,178905980000.000000,1782306042855.000000,1723347055376.000000,6760191759915.000000,7284558715445.000000,,2313264588000.000000,2313264588000.000000,,2851641117902.000000,76435198449.000000,2928076316351.000000,150000000000.000000,1885765414970.000000,7452396124.000000,7284558715445.000000,14044750475360.000000,,1541891797075.000000,1745915355605.000000,176727878437.000000,101523074712.000000,75204803725.000000,176727878437.000000,534941715349.000000,544743250166.000000,4544219996632.000000,18588970471992.000000,61675671883.000000
12M 2021,,,1689094320891.000000,1743933211945.000000,143508023974.000000,1600425187971.000000,1743933211945.000000,92078165711.000000,63848450535.000000,28229715176.000000,92078165711.000000,9449749873735.000000,393260578335.000000,13368116150617.000000,,3567103689902.000000,144077975344.000000,841721204171.000000,143276125230.000000,698445078941.000000,841721204171.000000,,33569541250.000000,1541917364000.000000,1393557773191.000000,196363385100.000000,7718310932958.000000,21086427083575.000000,,,7562356662423.000000,,115679828837.000000,,1232364433419.000000,1251074526406.000000,2483438959825.000000,,295000000000.000000,323276963301.000000,618276963301.000000,138933576021.000000,511569631182.000000,,1809308803026.000000,120000000000.000000,400062855.000000,748720255738.000000,2678429121619.000000,1016028581638.000000,7562356662423.000000,9025926627832.000000,,1703257465485.000000,1703257465485.000000,,5710528969941.000000,88109315316.000000,5798638285257.000000,30000000000.000000,719698509899.000000,774332367191.000000,9025926627832.000000,16588283290255.000000,,1541891797075.000000,1745915355605.000000,168783040602.000000,105975514164.000000,62807526438.000000,168783040602.000000,535597008777.000000,505956591261.000000,4498143793320.000000,21086427083575.000000,61675671883.000000
12M 2022,,,1482260092259.000000,2581290275752.000000,211270549204.000000,2370019726548.000000,2581290275752.000000,100658772785.000000,67435083607.000000,33223689178.000000,100658772785.000000,8856468994322.000000,599325739360.000000,13620003874478.000000,,3831650243724.000000,139055510723.000000,1360357524640.000000,75513600000.000000,1284843924640.000000,1360357524640.000000,,8008595574.000000,1514726765998.000000,1152905207878.000000,186291725654.000000,8192995574191.000000,21812999448669.000000,,,7637304658687.000000,,992099454182.000000,,942284009427.000000,1501727604762.000000,2444011614189.000000,,1057831608064.000000,296861677111.000000,1354693285175.000000,254079909058.000000,527691799071.000000,,683565000000.000000,30000000000.000000,400062855.000000,576868507871.000000,1290833570726.000000,773895026286.000000,7637304658687.000000,9620130787090.000000,,1515574810172.000000,1515574810172.000000,,6076204803174.000000,87773391950.000000,6163978195124.000000,600000000000.000000,372479221669.000000,968098560125.000000,9620130787090.000000,17257435445777.000000,,1541891797075.000000,1745915355605.000000,424699360194.000000,106993394496.000000,317705965698.000000,424699360194.000000,563550608166.000000,279506881852.000000,4555564002892.000000,21812999448669.000000,61675671883.000000
