Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Penjualan,Penerimaan Hotel,Penerimaan Sewa,Penerimaan Service Charge Dan Lainnya,Penerimaan Piutang Pasar,Total Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada :,Pemasok,Karyawan,Total Pembayaran Kas Kepada :,Penerimaan Pajak,Pencairan Dana Yang Dibatasi Penggunaannya,Penerimaan Bunga Bank,Pembayaran Beban Keuangan,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Tanah Untuk Dikembangkan,Penerimaan Dari Penjualan Tanah Dalam Pengembangan,Investasi Pada Entitas Asosiasi,Property Investasi Dan Uang Muka Beban,Perolehan Aset Tetap,Penerimaan Penjualan Sebagian Saham Anak Perusahaan,Penerimaan Penjualan Entitas Asosiasi,Penerimaan Investasi Entitas Asosiasi,Akuisisi Entitas Anak,Penambahan Investasi Pada Ventura Bersama,Penempatan Investasi Pada Ventura Bersama,Penerimaan Investasi Ventura Bersama,Pengurangan Investasi Pada Ventura Bersama,Penerimaan Dari Penjualan Properti Investasi,Penempatan Persediaan Tidak Lancar,Penambahan Aset Dalam Penyelesaian,Penambahan Investasi Jangka Panjang,Penerimaan Bunga,Penerimaan Dividen,Piutang Lain Lain Pihak Berelasi,Hasil Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Pembayaran Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Non Bank Jangka Pendek,Pembayaran Utang Non Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerbitan Surat Berharga Jangka Menengah,Pembayaran Surat Utang Jangka Menengah,Penerimaan Obligasi,Pembayaran Obligasi,Pembayaran Dividen,Pembayaran Emisi Penerbitan Obligasi,Penambahan Utang Non Bank Jangka Panjang,Penerimaan (Pembayaran) Utang Bank Jangka Panjang,Pembayaran Kepada Pihak Berelasi,Pengaruh Akuisisi Entitas Anak,Pengaruh Kepentingan Non Pengendali,Penambahan Utang Bank Jangka Panjang,Penerimaan Utang Dari Induk Perusahaan,Pembayaran Utang Ke Induk Pt Pp,Biaya Emisi Saham,Penerimaan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2013,6900707279.000000,,47827216066.000000,12257035606.000000,2595191256.000000,4655075473.000000,436868616.000000,67771387017.000000,,-58229945024.000000,-654169420.000000,-58884114444.000000,156824564.000000,,,,-2143389858.000000,6900707279.000000,-93082658251.000000,-64443394449.000000,,,-28054412759.000000,-584851043.000000,,,,,,,,,,,,,,,,,,,-93082658251.000000,117974666224.000000,,,,,,,,,,,,,,,,,,,117974666224.000000,117974666224.000000,31792715252.000000,484185582.000000,32276900834.000000
12M 2014,3331423215.000000,,411825229677.000000,63011188511.000000,5553576728.000000,6663459618.000000,3744428054.000000,490797882588.000000,,-472783526325.000000,-10467884461.000000,-483251410786.000000,96726079.000000,,,,-4311774666.000000,3331423215.000000,-114278242421.000000,-67848678023.000000,,-23500000000.000000,-9094381718.000000,-13083411486.000000,,,,,,,,,,,,,,,,130000000.000000,-881771194.000000,,-114278242421.000000,307388660548.000000,150000000000.000000,,,,,,,,,30000000000.000000,,,,,126545454548.000000,,,,843206000.000000,307388660548.000000,196441841342.000000,32276900834.000000,228718742176.000000
12M 2015,-17172621953.000000,,618658200826.000000,116045557494.000000,14006098494.000000,,406735223.000000,749116592037.000000,,-735098468356.000000,-26289751941.000000,-761388220297.000000,34406288199.000000,,,,-39307281892.000000,-17172621953.000000,-434968773233.000000,-143469150000.000000,,-94500000000.000000,-1834587579.000000,-11496422408.000000,,,,,-80947276651.000000,,,18553651405.000000,,,-121322928000.000000,,,47940000.000000,,,,,-434968773233.000000,579538166662.000000,-152150000000.000000,,-48525263076.000000,,,,,,,12752096080.000000,,,,,116036221948.000000,,-235000000000.000000,-23718898290.000000,910144010000.000000,579538166662.000000,127396771476.000000,230025413511.000000,357422184987.000000
12M 2016,-185007725447.000000,,826230694839.000000,118559444958.000000,14573797378.000000,,,959363937175.000000,,-1144035512312.000000,-40124721788.000000,-1184160234100.000000,86865516364.000000,,,,-47076944886.000000,-185007725447.000000,-1177896596690.000000,-594871295200.000000,,-222338581275.000000,-19729993089.000000,-3056772104.000000,,,,,-1747558877.000000,,,4110085223.000000,,,-340305689259.000000,,,43207891.000000,,,,,-1177896596690.000000,1629954451665.000000,,-265000000.000000,-113540812383.000000,600000000000.000000,,600000000000.000000,,-60065004591.000000,,,,,,,605795427554.000000,,,-1970158915.000000,,1629954451665.000000,267050129528.000000,357422184987.000000,624472314515.000000
12M 2017,67549078307.000000,1658160737543.000000,,,,,,1658160737543.000000,,-1412128415424.000000,-40731219865.000000,-1452859635289.000000,,,47061667979.000000,-64950480888.000000,-119863211038.000000,67549078307.000000,-2408883533525.000000,-1954155225769.000000,,-210578481762.000000,,-252838184665.000000,,,,,9245820207.000000,,,,,,,,,,,,-557461536.000000,,-2408883533525.000000,2713353437545.000000,,,,1198634244000.000000,,,,-70224782550.000000,,,283194483080.000000,,,54579966684.000000,,,-277467059834.000000,-14816821075.000000,1539453407240.000000,2713353437545.000000,372018982327.000000,624472314516.000000,996491296843.000000
12M 2018,77920829002.000000,904812202429.000000,,,,,,904812202429.000000,,-756468969233.000000,-56398692979.000000,-812867662212.000000,,,103137683317.000000,-67294678317.000000,-49866716215.000000,77920829002.000000,-1797505450501.000000,-1615888305469.000000,,-45840379375.000000,,-122192923422.000000,,,,,-7485842235.000000,,,,,,,-6080000000.000000,,,,,-18000000.000000,,-1797505450501.000000,1277063115188.000000,,-100000000000.000000,-789661535467.000000,480000000000.000000,,670330316245.000000,,-88935991076.000000,,,,,,71884173288.000000,1026543954127.000000,,11075794672.000000,-4173596601.000000,,1277063115188.000000,-442521506311.000000,996491296843.000000,553969790532.000000
12M 2019,-207197743053.000000,1604817267924.000000,,,,,,1604817267924.000000,,-1714291563417.000000,-54039165191.000000,-1768330728608.000000,,,,-78502820433.000000,34818538064.000000,-207197743053.000000,-1534423250804.000000,-1127210222096.000000,,-15539162706.000000,,-393355109264.000000,,,,,,,,-853166680.000000,,,,-7153026000.000000,9687435942.000000,,,,,,-1534423250804.000000,1703667831512.000000,,-400000000000.000000,-1061065757000.000000,120000000000.000000,,1334500000000.000000,,-94251521660.000000,,,,,,,1807106312887.000000,,-410008436.000000,-2211194279.000000,,1703667831512.000000,-37953162345.000000,553969790532.000000,516016628187.000000
12M 2020,-486489881177.000000,686393496113.000000,,,,,,686393496113.000000,,-1014513980739.000000,-40672699239.000000,-1055186679978.000000,,,,-103072069485.000000,-14624627827.000000,-486489881177.000000,-1204977894072.000000,-943088660477.000000,,,,-277083125607.000000,,,,,,-413930938.000000,2250000000.000000,,,,,-100000000.000000,14055821274.000000,,,,-597998324.000000,,-1204977894072.000000,1576161511821.000000,,,-245270600000.000000,,-1000000000000.000000,411305852841.000000,,-34269521745.000000,-4354664783.000000,,,,,,68520313811.000000,2380230131697.000000,,,,1576161511821.000000,-115306263428.000000,516016628187.000000,400710364759.000000
12M 2021,-106810932705.000000,550923517894.000000,,,,,,550923517894.000000,,-510504611024.000000,-42286984568.000000,-552791595592.000000,67720474967.000000,,,-135552203283.000000,-37111126691.000000,-106810932705.000000,-1039545396174.000000,-956922218771.000000,,,,-159202775098.000000,,,70087500000.000000,-6168778262.000000,,-754418144.000000,6800000000.000000,,,,,,8697455670.000000,,,,,-2082161569.000000,-1039545396174.000000,2434740285011.000000,,,-658434089319.000000,,-680000000000.000000,641000000000.000000,-923000000000.000000,,-4328573483.000000,,,,,,393973977873.000000,3665528969940.000000,,,,2434740285011.000000,1288383956132.000000,400710364759.000000,1689094320891.000000
12M 2022,-209472732202.000000,253245555761.000000,,,,,,253245555761.000000,,-351896910508.000000,-43392065454.000000,-395288975962.000000,68272641015.000000,,,-121724480882.000000,-13977472134.000000,-209472732202.000000,-642211658705.000000,-586313381694.000000,,,,-90957402455.000000,26325000000.000000,,,,-5700000000.000000,-440141783.000000,15507399914.000000,,,,,,2953500385.000000,,,,,-3586633072.000000,-642211658705.000000,649969456035.000000,,,-1054025970916.000000,600000000000.000000,-120000000000.000000,336000000000.000000,-1811500000000.000000,,-1606631372.000000,,,,,1683423945.000000,1570911193081.000000,1128507441297.000000,,,,649969456035.000000,-201714934872.000000,1689094320891.000000,1487379386019.000000
