Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2013,7 B,,(58 B),-6.37
12M 2014,3 B,(82 B),(78 B),-8.59
12M 2015,(17 B),(276 B),(293 B),0.00
12M 2016,(185 B),(938 B),"(1,123 B)",-79.98
12M 2017,68 B,"(2,208 B)","(2,140 B)",-34.70
12M 2018,78 B,"(1,738 B)","(1,660 B)",-26.92
12M 2019,(207 B),"(1,521 B)","(1,728 B)",-28.01
12M 2020,(486 B),"(1,221 B)","(1,707 B)",-27.68
12M 2021,(107 B),"(1,116 B)","(1,223 B)",-19.83
12M 2022,(209 B),(677 B),(887 B),-14.38
12M 2023,(64 B),,(64 B),-1.03
12M 2024,(867 B),(12 B),(879 B),-14.25
