Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Beban Sewa,Pembayaran Kepada Karyawan,Pendapatan (Pembayaran) Operasional Lain,Pencairan Kas Yang Dibatasi Penggunaannya,Beban Operasional Lain,Penerimaan Bunga,Pembayaran Bunga Dan Bagi Hasil,Penerimaan Restitusi Pajak,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tetap Dalam Pembangunan,Uang Muka Pembelian Peralatan Gerai,Penambahan Aset Tidak Berwujud,Penempatan Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dana Hibah Dari Pemerintah,Pembayaran Dividen,Pembayaran Sewa Pembiayaan,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Penerimaan Pinjaman Musyarakah,Pembayaran Kembali Utang Bank Jangka Pendek,Pembayaran Kembali Utang Bank,Pembayaran Kembali Pinjaman Musyarakah,Penambahan Modal Melalui Penawaran Umum Perdana Saham,Biaya Emisi Saham,Penerimaan Setoran Modal,Penerimaan Uang Muka Setoran Modal,Penerimaan Piutang Lain-Lain Pihak Berelasi,Pemberian Piutang Lain-Lain Pihak Berelasi,Pemberian Piutang Lain-Lain Pihak Ketiga,Obligasi Konversi,Penerimaan (Pembayaran) Utang Lain-Lain Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Pengaruh Selisih Kurs,Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,67612899399.000000,720953804316.000000,-353321552683.000000,-92994483388.000000,-185126068664.000000,1148847269.000000,,-1016744069.000000,1653477369.000000,-15451944017.000000,,-8232436734.000000,67612899399.000000,-95641995227.000000,-84902249549.000000,,-1565909168.000000,,-9173836510.000000,-95641995227.000000,32445474471.000000,,-15000000000.000000,-801189300.000000,10000000000.000000,40000000000.000000,125372790580.000000,,-835076381.000000,-138985659564.000000,,,,,15797467763.000000,,,-2285887127.000000,-816971500.000000,32445474471.000000,4416378643.000000,31825511659.000000,,31825511659.000000,36241890302.000000
12M 2019,146316515635.000000,1110162784592.000000,-577895070273.000000,-80339804141.000000,-261328470271.000000,2718801697.000000,,-2333809289.000000,437804394.000000,-20427764908.000000,,-24677956166.000000,146316515635.000000,-163527562080.000000,-105646647209.000000,-2421865000.000000,-1448271390.000000,-44443284928.000000,-9567493553.000000,-163527562080.000000,48795068514.000000,,,-643888211.000000,,100518435254.000000,,-10000000000.000000,-7857303162.000000,-27701525292.000000,,,17600000000.000000,,22664500000.000000,-3500000000.000000,,-42285150075.000000,,48795068514.000000,31584022069.000000,36241890302.000000,,36241890302.000000,67825912371.000000
12M 2020,987401357.000000,559323741720.000000,-320920817608.000000,-12610347637.000000,-162339191648.000000,1816980725.000000,3000000000.000000,-32818007786.000000,567327573.000000,-29126982072.000000,,-5905301910.000000,987401357.000000,-64960127631.000000,-49577945687.000000,-12982340041.000000,-1220802145.000000,,-1179039758.000000,-64960127631.000000,55915082630.000000,595343327.000000,,-438003549.000000,24336831881.000000,,,-193274798.000000,-3664332545.000000,-6020258239.000000,,,,39681682553.000000,,,,,1617094000.000000,55915082630.000000,-8057643644.000000,67825912371.000000,,67825912371.000000,59768268727.000000
12M 2021,62457595963.000000,786060369773.000000,-430504973381.000000,-72422861284.000000,-177059488274.000000,1009161840.000000,,,153355950.000000,-29765979805.000000,,-15011988856.000000,62457595963.000000,-43379758412.000000,-33800757689.000000,-2768888063.000000,-2827899642.000000,,-3982213018.000000,-43379758412.000000,-20862887518.000000,775488221.000000,,-257899044.000000,,30667633572.000000,,-12445119855.000000,-22384571502.000000,-17137168910.000000,,,,,,,,,-81250000.000000,-20862887518.000000,-1785049967.000000,59768268726.000000,,59768268726.000000,57983218759.000000
12M 2022,98283968289.000000,1263448465050.000000,-632696104044.000000,-198437874454.000000,-316056208584.000000,11879145589.000000,,,459383292.000000,-13289974733.000000,2401501215.000000,-19424365042.000000,98283968289.000000,-142930056844.000000,-46159465255.000000,-84744131273.000000,-2827899642.000000,,-9198560674.000000,-142930056844.000000,50076711223.000000,,,-645868460.000000,27880044142.000000,41864918529.000000,,-22556237098.000000,-65765551269.000000,-20564602693.000000,141666780000.000000,-1684792144.000000,,,,-11214754369.000000,,,-38903225415.000000,50076711223.000000,5430622668.000000,57983218758.000000,,57983218758.000000,63413841426.000000
12M 2023,170837383232.000000,1427163594729.000000,-702384449439.000000,-170046201713.000000,-412174297345.000000,14029463121.000000,,,335422394.000000,-14342733769.000000,,28256585254.000000,170837383232.000000,-220858657121.000000,-113191522377.000000,-91589057272.000000,-7836505274.000000,,-8241572198.000000,-220858657121.000000,35774661997.000000,,-26000001600.000000,1342592574.000000,52748630342.000000,272387721898.000000,,-46221352105.000000,-230945355152.000000,,,,,,,12462426040.000000,,,,35774661997.000000,-14246611892.000000,63413841426.000000,-350733480.000000,63413841426.000000,48816496054.000000
12M 2024,100634620712.000000,1543094746738.000000,-820163669533.000000,-179132048947.000000,-433941701550.000000,3736834086.000000,,,427874346.000000,-15634927036.000000,,2247512608.000000,100634620712.000000,-131589246450.000000,-33133233898.000000,-83615963651.000000,-11010949763.000000,,-3829099138.000000,-131589246450.000000,23386921054.000000,,,1432416408.000000,32730970221.000000,103691029109.000000,,-33000000000.000000,-82766497937.000000,,,,,,,1299003253.000000,,,,23386921054.000000,-7567704684.000000,48816496054.000000,102237783.000000,48816496054.000000,41351029153.000000
