Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,744907254255.000000,-267813249153.000000,477094005102.000000,-382941462818.000000,-331747444540.000000,-51194018278.000000,-382941462818.000000,94152542284.000000,-23866429041.000000,-23866429041.000000,-23866429041.000000,70286113243.000000,-18268121527.000000,-18466972000.000000,198850473.000000,-18268121527.000000,52017991716.000000,-424940006.000000,51593051710.000000,52017991716.000000,52017991716.000000,,52017991716.000000,51593051710.000000,51593051710.000000,,51593051710.000000
12M 2019,1087378319057.000000,-397554599165.000000,689823719892.000000,-534641392541.000000,-471759471199.000000,-62881921342.000000,-534641392541.000000,155182327351.000000,-18295410897.000000,-18295410897.000000,-18295410897.000000,136886916454.000000,-35231020087.000000,-35698403250.000000,467383163.000000,-35231020087.000000,101655896367.000000,-379740504.000000,101276155863.000000,101655896367.000000,101655896367.000000,,101655896367.000000,101276155863.000000,101276155863.000000,,101276155863.000000
12M 2020,560182656148.000000,-236144717797.000000,324037938351.000000,-429502175363.000000,-371348845389.000000,-58153329974.000000,-429502175363.000000,-105464237012.000000,-37704581707.000000,-37704581707.000000,-37704581707.000000,-143168818719.000000,7402689098.000000,,7402689098.000000,7402689098.000000,-135766129621.000000,-782230141.000000,-136548359762.000000,-135766129621.000000,-135766129621.000000,,-135766129621.000000,-136548359762.000000,-136548359762.000000,,-136548359762.000000
12M 2021,789362442133.000000,-309740557829.000000,479621884304.000000,-500398096625.000000,-435979211774.000000,-64418884851.000000,-500398096625.000000,-20776212321.000000,4188342940.000000,4188342940.000000,4188342940.000000,-16587869381.000000,9260861786.000000,,9260861786.000000,9260861786.000000,-7327007595.000000,1473079325.000000,-5853928270.000000,-7327007595.000000,-7327007595.000000,,-7327007595.000000,-5853928271.000000,-5853928271.000000,,-5853928271.000000
12M 2022,1265243615372.000000,-513978551327.000000,751265064045.000000,-681216772174.000000,-587599557672.000000,-93617214502.000000,-681216772174.000000,70048291871.000000,-10320360677.000000,-10320360677.000000,-10320360677.000000,59727931194.000000,2556856145.000000,,2556856145.000000,2556856145.000000,62284787339.000000,1628314134.000000,63913101473.000000,62284787339.000000,62284787339.000000,,62284787339.000000,63913101473.000000,63913101473.000000,,63913101473.000000
12M 2023,1425953229663.000000,-540495112584.000000,885458117079.000000,-826198212685.000000,-724744139137.000000,-101454073548.000000,-826198212685.000000,59259904394.000000,-37678815601.000000,-37678815601.000000,-37678815601.000000,21581088793.000000,-229431531.000000,,-229431531.000000,-229431531.000000,21351657262.000000,245264244.000000,21596921506.000000,21351657262.000000,21351657262.000000,,21351657262.000000,21596921506.000000,21596921506.000000,,21596921506.000000
12M 2024,1540577530520.000000,-546925273453.000000,993652257067.000000,-937970149462.000000,-819505401949.000000,-118464747513.000000,-937970149462.000000,55682107605.000000,-37723188572.000000,-37723188572.000000,-37723188572.000000,17958919033.000000,-107205458.000000,,-107205458.000000,-107205458.000000,17851713575.000000,1453377624.000000,19305091199.000000,17851713575.000000,17851713575.000000,,17851713575.000000,19305091199.000000,19305091199.000000,,19305091199.000000
