Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2009,394229193000.000000,-263495549000.000000,130733644000.000000,-30723360000.000000,-30723360000.000000,,-30723360000.000000,100010284000.000000,11559067000.000000,-305938000.000000,-19158861000.000000,29045948000.000000,317827000.000000,427232000.000000,,1232859000.000000,11559067000.000000,111569351000.000000,-10305918000.000000,101263433000.000000,-875912000.000000,-49160429000.000000,51227092000.000000,,51227092000.000000,51227092000.000000,101263433000.000000,-875912000.000000,-49160429000.000000,51227092000.000000,,,,
12M 2010,668532035000.000000,-488931319000.000000,179600716000.000000,-42998288000.000000,-42998288000.000000,,-42998288000.000000,136602428000.000000,10398542000.000000,12590625000.000000,-31013193000.000000,10448636000.000000,5263787000.000000,1115843000.000000,,11992844000.000000,10398542000.000000,147000970000.000000,-13052319000.000000,133948651000.000000,-27896326000.000000,,106052325000.000000,,106052325000.000000,106052325000.000000,133948651000.000000,-27896326000.000000,,106052325000.000000,,,,
12M 2011,1023980032000.000000,-771676269000.000000,252303763000.000000,-61715493000.000000,-65864972000.000000,4149479000.000000,-61715493000.000000,190588270000.000000,-9430432000.000000,26438922000.000000,-33114069000.000000,-8873290000.000000,8667617000.000000,,,-2549612000.000000,-9430432000.000000,181157838000.000000,-13657144000.000000,167500694000.000000,,,167500694000.000000,929744000.000000,168430438000.000000,167500695000.000000,132418712000.000000,35081983000.000000,,167500695000.000000,168430439000.000000,133348456000.000000,35081983000.000000,168430439000.000000
12M 2012,124120506.000000,-89060121.000000,35060385.000000,-6578236.000000,-8428577.000000,1850341.000000,-6578236.000000,28482149.000000,-2396253.000000,3257932.000000,-5654185.000000,,,,,,-2396253.000000,26085896.000000,-2070036.000000,24015860.000000,,,24015860.000000,10912.000000,24026772.000000,24015860.000000,20200306.000000,3815554.000000,,24015860.000000,24026772.000000,20211218.000000,3815554.000000,24026772.000000
12M 2013,186721884.000000,-128936758.000000,57785126.000000,-11636315.000000,-11039951.000000,-596364.000000,-11636315.000000,46148811.000000,-6475253.000000,1932645.000000,-8407898.000000,,,,,,-6475253.000000,39673558.000000,-2887288.000000,36786270.000000,,,36786270.000000,,36786270.000000,36786270.000000,27058264.000000,9728006.000000,,36786270.000000,36786270.000000,27058264.000000,9728006.000000,36786270.000000
12M 2014,176911770.000000,-118908020.000000,58003750.000000,-13259449.000000,-12817652.000000,-441797.000000,-13259449.000000,44744301.000000,-11307747.000000,500147.000000,-11807894.000000,,,,,,-11307747.000000,33436554.000000,-2998721.000000,30437833.000000,,,30437833.000000,,30437833.000000,30437833.000000,21707434.000000,8730399.000000,,30437833.000000,30437833.000000,21707434.000000,8730399.000000,30437833.000000
12M 2015,99916920.000000,-87111590.000000,12805330.000000,-13600749.000000,-9904640.000000,-3696109.000000,-13600749.000000,-795419.000000,-7758697.000000,1643312.000000,-9402009.000000,,,,,,-7758697.000000,-8554116.000000,-1198851.000000,-9752967.000000,,,-9752967.000000,414808.000000,-9338159.000000,-9752967.000000,-5692348.000000,-4060619.000000,,-9752967.000000,-9338159.000000,-5280993.000000,-4057166.000000,-9338159.000000
12M 2016,89136334.000000,-75524632.000000,13611702.000000,-26088968.000000,-8742380.000000,-17346588.000000,-26088968.000000,-12477266.000000,-8272485.000000,-78797.000000,-8193688.000000,,,,,,-8272485.000000,-20749751.000000,-2189916.000000,-22939667.000000,,,-22939667.000000,556673.000000,-22382994.000000,-22939667.000000,-16035670.000000,-6903997.000000,,-22939667.000000,-22382994.000000,-15478997.000000,-6903997.000000,-22382994.000000
12M 2017,61955985.000000,-59479761.000000,2476224.000000,-30530517.000000,-7727148.000000,-22803369.000000,-30530517.000000,-28054293.000000,-11682689.000000,-3219013.000000,-7594880.000000,,,,-868796.000000,,-11682689.000000,-39736982.000000,-122096.000000,-39859078.000000,,,-39859078.000000,-94085.000000,-39953163.000000,-39859078.000000,-27104853.000000,-12754225.000000,,-39859078.000000,-39953163.000000,-27200396.000000,-12752767.000000,-39953163.000000
12M 2018,62750826.000000,-61792479.000000,958347.000000,-27423785.000000,-6950748.000000,-20473037.000000,-27423785.000000,-26465438.000000,-9528413.000000,-3219200.000000,-5422559.000000,,,,-886654.000000,,-9528413.000000,-35993851.000000,-63329.000000,-36057180.000000,,,-36057180.000000,407878.000000,-35649302.000000,-36057180.000000,-25440140.000000,-10617040.000000,,-36057180.000000,-35649302.000000,-25032262.000000,-10617040.000000,-35649302.000000
12M 2019,56088458.000000,-57359264.000000,-1270806.000000,-10862520.000000,-7541290.000000,-3321230.000000,-10862520.000000,-12133326.000000,-4578140.000000,1003852.000000,-4786971.000000,,,,-795021.000000,,-4578140.000000,-16711466.000000,-130951.000000,-16842417.000000,,,-16842417.000000,149038.000000,-16693379.000000,-16842417.000000,-13331695.000000,-3510722.000000,,-16842417.000000,-16693379.000000,-13175662.000000,-3517717.000000,-16693379.000000
