Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Penerimaan Dari Pengembalian Tagihan Pajak,Pembayaran Pajak Penghasilan,Pembayaran Kepada Karyawan,Pembayaran Bunga,Penerimaan Bunga,Penerimaan Dari (Pembayaran Kepada) Pihak Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap Dan Aset Tidak Lancar,Perolehan Kepemilikan Entitas Anak,Penarikan (Penempatan) Deposito Dibatasi,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Investasi,Perolehan Aset Tetap,Penambahan Investasi Saham,Penerimaan Dividen,Hasil Pelepasan Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank,Penerimaan Pinjaman Lain-Lain,Pembayaran Pinjaman Lain-Lain,Pemberian Piutang Kepada Pihak Berelasi,Penerimaan Setoran Modal,Penerimaan Setoran Modal Perusahaan Tanpa Hmetd,Pembayaran Biaya Emisi Saham Tanpa Hmetd,Penerimaan Setoran Modal Entitas Anak Dari Kepentingan Non Pengendali,Akuisisi Kepentingan Non Pengendali,Hasil Bersih Penawaran Umum Saham Perdana,Penerimaan Untuk Pinjaman Kapal,Penerimaan Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Pembayaran Utang Bank Dan Biaya Transaksi Pinjaman,Penerbitan Saham Kepada Non Pengendali,Penerimaan Pinjaman Dari Non Pengendali,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2009,86274445000.000000,403541054000.000000,-189762591000.000000,10186766000.000000,-13951238000.000000,-47086992000.000000,-19243411000.000000,427232000.000000,-57836375000.000000,86274445000.000000,-120995376000.000000,903553000.000000,,,-11279955000.000000,,-141611774000.000000,-300000000.000000,,31292800000.000000,-120995376000.000000,51588093000.000000,105951500000.000000,,,,,,,,,,10334400000.000000,-14095000.000000,,,-12771857000.000000,-44743728000.000000,,,,-7168127000.000000,51588093000.000000,16867162000.000000,-3089620000.000000,26714215000.000000,40491757000.000000
12M 2010,253895656000.000000,496223735000.000000,-177861565000.000000,10873485000.000000,-17218437000.000000,-57604857000.000000,-30029152000.000000,1115843000.000000,28396604000.000000,253895656000.000000,-751440975000.000000,15511638000.000000,,788066000.000000,-9382269000.000000,,-627377560000.000000,-134344500000.000000,3363650000.000000,,-751440975000.000000,725662953000.000000,403091527000.000000,,,,145100000000.000000,,,,,328873775000.000000,,28924487000.000000,,,-13227355000.000000,-132152644000.000000,,,,-34946837000.000000,725662953000.000000,228117634000.000000,-1457445000.000000,40491760000.000000,267151949000.000000
12M 2011,198119813000.000000,988508754000.000000,-646474192000.000000,1357920000.000000,-13740080000.000000,-100563791000.000000,-35118277000.000000,4149479000.000000,,198119813000.000000,-534815578000.000000,64749762000.000000,,-4283394000.000000,-39721370000.000000,,-555560576000.000000,,,,-534815578000.000000,156190288000.000000,358079246000.000000,,,,14216495000.000000,,,,,,,6188007000.000000,-71523817000.000000,,-10604409000.000000,-140165234000.000000,,,,,156190288000.000000,-180505477000.000000,524295000.000000,267151948000.000000,87170766000.000000
12M 2012,28887074.000000,119957573.000000,-72341088.000000,79252.000000,-1946226.000000,-13535789.000000,-4124203.000000,797555.000000,,28887074.000000,-41495309.000000,5152139.000000,,475464.000000,-3450000.000000,,-43164484.000000,-508428.000000,,,-41495309.000000,20422720.000000,43523438.000000,,,,2805311.000000,,,,,,,387644.000000,-3232963.000000,,-1095283.000000,-20090976.000000,,,,-1874451.000000,20422720.000000,7814485.000000,-74036.000000,9613009.000000,17353458.000000
12M 2013,48654092.000000,165852374.000000,-88199024.000000,,-2704140.000000,-18239349.000000,-8242863.000000,187094.000000,,48654092.000000,-72154101.000000,4252004.000000,,-237491.000000,-6010000.000000,,-69858409.000000,-300205.000000,,,-72154101.000000,31784528.000000,60770000.000000,,,,4442004.000000,,,,,,,418213.000000,-3244924.000000,,,-28849241.000000,,,,-1751524.000000,31784528.000000,8284519.000000,-196325.000000,17353459.000000,25441653.000000
12M 2014,62952785.000000,188282540.000000,-88321501.000000,,-3229378.000000,-22150899.000000,-11858292.000000,230315.000000,,62952785.000000,-60770059.000000,155752.000000,-2633250.000000,-22500.000000,-9110000.000000,,-49160061.000000,,,,-60770059.000000,2089136.000000,51510000.000000,,,,8990379.000000,,,,,,-8501000.000000,4056.000000,-12288428.000000,,,-33920884.000000,,,,-3704987.000000,2089136.000000,4271862.000000,-38123.000000,25566331.000000,29800070.000000
12M 2015,37272399.000000,122078866.000000,-58860900.000000,,-346778.000000,-17733654.000000,-8128047.000000,262912.000000,,37272399.000000,-12162741.000000,1674612.000000,,-77121.000000,-2000000.000000,,-11746428.000000,-13804.000000,,,-12162741.000000,-38468281.000000,8610000.000000,,,,319493.000000,,,,,,,,-9810024.000000,,,-37578998.000000,,,,-8752.000000,-38468281.000000,-13358623.000000,-236284.000000,29800069.000000,16205162.000000
12M 2016,32654350.000000,93683272.000000,-37423302.000000,,-181921.000000,-16462884.000000,-7030378.000000,69563.000000,,32654350.000000,-885880.000000,4147888.000000,,-24833.000000,,,-5139694.000000,130759.000000,,,-885880.000000,-32579701.000000,9600000.000000,,,,,,,,,,,,-8074259.000000,,,-34095902.000000,,,,-9540.000000,-32579701.000000,-811231.000000,19148.000000,16205162.000000,15413079.000000
12M 2017,18691721.000000,65214262.000000,-25089978.000000,,-213598.000000,-14943270.000000,-6329940.000000,54245.000000,,18691721.000000,-3744505.000000,1326710.000000,,,,,-5071215.000000,,,,-3744505.000000,-24245044.000000,6910000.000000,,,,,,,,,,,,-4928574.000000,,,-26223158.000000,,,,-3312.000000,-24245044.000000,-9297828.000000,-8741.000000,15413079.000000,6106510.000000
12M 2018,16216153.000000,61541628.000000,-25204930.000000,,-14229.000000,-15000751.000000,-5173436.000000,67871.000000,,16216153.000000,-1067555.000000,1595151.000000,,,,,-2962706.000000,,300000.000000,,-1067555.000000,-16800584.000000,1250000.000000,,,,5203274.000000,,,,,,,,-3701057.000000,,,-19552801.000000,,,,,-16800584.000000,-1651986.000000,-21261.000000,6106510.000000,4433263.000000
12M 2019,2825258.000000,53764607.000000,-31349281.000000,,-211316.000000,-14913143.000000,-4484052.000000,18443.000000,,2825258.000000,2944903.000000,3958425.000000,,,,,-2088226.000000,-425296.000000,1500000.000000,,2944903.000000,-6349601.000000,3060000.000000,2117609.000000,-622097.000000,,1293365.000000,,,,,,,,,,,-11340978.000000,,,,-857500.000000,-6349601.000000,-579440.000000,55864.000000,4433263.000000,3909687.000000
12M 2020,6425199.000000,46323959.000000,-23609644.000000,,-694328.000000,-12372801.000000,-3260656.000000,38669.000000,,6425199.000000,1840657.000000,2605370.000000,,,,,-1364713.000000,,600000.000000,,1840657.000000,-9912411.000000,350000.000000,327484.000000,-2102459.000000,,,,,,,,,,,,,-8487436.000000,,,,,-9912411.000000,-1646555.000000,-21041.000000,3909687.000000,2242091.000000
12M 2021,7082334.000000,41777516.000000,-17923037.000000,,-184748.000000,-12284814.000000,-4331833.000000,29250.000000,,7082334.000000,18439387.000000,21609748.000000,,,,,-3906031.000000,-764286.000000,1499956.000000,,18439387.000000,-18084895.000000,200000.000000,1008973.000000,-10896409.000000,-650000.000000,,750019.000000,-7167.000000,12058268.000000,,,,,,,,-20539579.000000,,,,-9000.000000,-18084895.000000,7436826.000000,-8434.000000,2242091.000000,9670483.000000
12M 2022,12923005.000000,56862217.000000,-28531400.000000,80055.000000,-1186339.000000,-13005885.000000,-1330040.000000,34397.000000,,12923005.000000,-11474934.000000,3800000.000000,,,,,-15605778.000000,-99018.000000,429862.000000,,-11474934.000000,-8577029.000000,4050000.000000,1004850.000000,-1306477.000000,801010.000000,,106148.000000,-238.000000,580470.000000,-1041313.000000,,,,,,,-12771479.000000,,,,,-8577029.000000,-7128958.000000,-67770.000000,9670483.000000,2473755.000000
12M 2023,23117631.000000,73757229.000000,-34601415.000000,29525.000000,-940611.000000,-14002116.000000,-1192206.000000,67225.000000,,23117631.000000,-11812455.000000,2614635.000000,,,,-376052.000000,-14049038.000000,-2000.000000,,,-11812455.000000,-4844416.000000,2800000.000000,551603.000000,-1405206.000000,,,48958.000000,-351.000000,,-125000.000000,,,,-438346.000000,,,-6274274.000000,,,-1800.000000,,-4844416.000000,6460760.000000,16289.000000,2473755.000000,8950804.000000
