Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Pajak,Utang Lain-Lain,Liabilitas Keuangan Lainnya,Utang Pihak Berelasi,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Dari Pihak Ketiga,Liabilitas Keuangan Lainnya,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2009,,,40491760000.000000,72144523000.000000,8712156000.000000,63432367000.000000,72144523000.000000,7702467000.000000,697521000.000000,10886185000.000000,131922456000.000000,,45397109000.000000,2435538000.000000,2895494000.000000,668795443000.000000,30628523000.000000,750152107000.000000,882074563000.000000,,,141941507000.000000,,15904706000.000000,8266196000.000000,24170902000.000000,1009647000.000000,13102976000.000000,6916456000.000000,,,,,66701665000.000000,,11162541000.000000,77864206000.000000,18877320000.000000,141941507000.000000,241311926000.000000,140508264000.000000,,,,70676500000.000000,,21337539000.000000,92014039000.000000,,8789623000.000000,241311926000.000000,383253433000.000000,,123046000000.000000,,34299195000.000000,,,34299195000.000000,4007083000.000000,337468852000.000000,498821130000.000000,882074563000.000000,123046.000000
12M 2010,,,267151948000.000000,246101625000.000000,5475703000.000000,240625922000.000000,246101625000.000000,396011000.000000,320649000.000000,21551107000.000000,535521340000.000000,,18635769000.000000,143557746000.000000,816831000.000000,1346236969000.000000,37773625000.000000,1547020940000.000000,2082542280000.000000,,,468475990000.000000,,162862076000.000000,77939884000.000000,240801960000.000000,4758782000.000000,6889898000.000000,78186017000.000000,,,,,127324913000.000000,,10514363000.000000,137839276000.000000,57000.000000,468475990000.000000,518951931000.000000,203091827000.000000,,,,295089870000.000000,,9847689000.000000,304937559000.000000,292073000.000000,10630472000.000000,518951931000.000000,987427921000.000000,,355000000000.000000,238123775000.000000,124281946000.000000,,,124281946000.000000,41703780000.000000,336004858000.000000,1095114359000.000000,2082542280000.000000,3550000000.000000
12M 2011,,,87170764000.000000,288270108000.000000,11686572000.000000,276583536000.000000,288270108000.000000,2194159000.000000,169112000.000000,20544261000.000000,398348404000.000000,,13992551000.000000,170454290000.000000,816831000.000000,1751781674000.000000,50139150000.000000,1987184496000.000000,2385532900000.000000,,,374379907000.000000,,86603038000.000000,103675027000.000000,190278065000.000000,10049018000.000000,2881453000.000000,18502261000.000000,,,,,142737084000.000000,,9932026000.000000,152669110000.000000,,374379907000.000000,732919523000.000000,131485523000.000000,64733411000.000000,,,521999518000.000000,,,521999518000.000000,,14701071000.000000,732919523000.000000,1107299430000.000000,,355000082000.000000,238124062000.000000,256700658000.000000,,,256700658000.000000,91002258000.000000,337406410000.000000,1278233470000.000000,2385532900000.000000,3550000820.000000
12M 2012,,,17353459.000000,35952755.000000,2166746.000000,33786009.000000,35952755.000000,,60934.000000,4545573.000000,57912721.000000,,1159214.000000,22823505.000000,84471.000000,247671530.000000,9319710.000000,281058430.000000,338971151.000000,,,46539383.000000,,3875067.000000,16717207.000000,20592274.000000,1573185.000000,471338.000000,,5693678.000000,,,,18092379.000000,,,18092379.000000,116529.000000,46539383.000000,114988669.000000,11261865.000000,,21853525.000000,,79740339.000000,,,79740339.000000,,2132940.000000,114988669.000000,161528052.000000,,39252447.000000,29245567.000000,50498807.000000,222844.000000,50275963.000000,50498807.000000,23041572.000000,35404706.000000,177443099.000000,338971151.000000,3069823948.000000
12M 2013,,,25441652.000000,56822265.000000,2935499.000000,53886766.000000,56822265.000000,,208550.000000,2714404.000000,85186871.000000,,741001.000000,25056355.000000,235839.000000,301497872.000000,9565957.000000,337097024.000000,422283895.000000,,,67883158.000000,,2489353.000000,27767267.000000,30256620.000000,1711339.000000,742156.000000,,9058215.000000,,,,25925928.000000,,,25925928.000000,188900.000000,67883158.000000,135803891.000000,8016941.000000,,18510328.000000,,106935025.000000,,,106935025.000000,,2341597.000000,135803891.000000,203687049.000000,,39851422.000000,67517667.000000,73706246.000000,322844.000000,73383402.000000,73706246.000000,37521511.000000,,218596846.000000,422283895.000000,3671277152.000000
12M 2014,,,29800069.000000,51333478.000000,5703391.000000,45630087.000000,51333478.000000,,135863.000000,1916620.000000,83186030.000000,,736945.000000,25556502.000000,235839.000000,379920547.000000,11648457.000000,418098290.000000,501284320.000000,,,67467892.000000,,2687928.000000,17320042.000000,20007970.000000,1166466.000000,1430028.000000,,733691.000000,6571432.000000,,,37285891.000000,,,37285891.000000,272414.000000,67467892.000000,170419248.000000,35157081.000000,,20990702.000000,,111401704.000000,,,111401704.000000,,2869761.000000,170419248.000000,237887140.000000,,42983831.000000,84346840.000000,89708264.000000,422844.000000,89285420.000000,89708264.000000,46358245.000000,,263397180.000000,501284320.000000,4031298340.000000
12M 2015,,,16205162.000000,23995344.000000,4299721.000000,19695623.000000,23995344.000000,,79226.000000,1420070.000000,41699802.000000,,719519.000000,27213618.000000,523115.000000,362822504.000000,12639866.000000,403918622.000000,445618424.000000,,,55532876.000000,,1844003.000000,10057520.000000,11901523.000000,1512414.000000,858775.000000,,62415.000000,6571432.000000,,,34087936.000000,,,34087936.000000,538381.000000,55532876.000000,136275231.000000,25329631.000000,,21776571.000000,,86130466.000000,,,86130466.000000,,3038563.000000,136275231.000000,191808107.000000,,43035647.000000,84328280.000000,84156729.000000,522844.000000,83633885.000000,84156729.000000,42289661.000000,,253810317.000000,445618424.000000,4038011640.000000
12M 2016,,,15413079.000000,25094975.000000,3871991.000000,21222984.000000,25094975.000000,,78837.000000,3780778.000000,44367669.000000,,722346.000000,26944442.000000,,324280098.000000,5021973.000000,356968859.000000,401336528.000000,,,50085502.000000,,1723941.000000,12809614.000000,14533555.000000,2471928.000000,703996.000000,,239591.000000,6571432.000000,3158502.000000,,21443595.000000,,,21443595.000000,962903.000000,50085502.000000,119701583.000000,17258199.000000,,22964290.000000,,76454557.000000,,,76454557.000000,,3024537.000000,119701583.000000,169787085.000000,,43035647.000000,84328280.000000,68677732.000000,522844.000000,68154888.000000,68677732.000000,35507784.000000,,231549443.000000,401336528.000000,4038011640.000000
12M 2017,,,6106510.000000,22146522.000000,7920828.000000,14225694.000000,22146522.000000,,58805.000000,3484820.000000,31796657.000000,,,23725429.000000,,281740281.000000,1257355.000000,306723065.000000,338519722.000000,,,49043922.000000,,1148535.000000,11273513.000000,12422048.000000,2853487.000000,451333.000000,,418199.000000,6571432.000000,2500000.000000,,23046631.000000,,,23046631.000000,780792.000000,49043922.000000,88131582.000000,12329625.000000,,16262473.000000,,56196865.000000,,,56196865.000000,,3342619.000000,88131582.000000,137175504.000000,,43035647.000000,84328280.000000,41477336.000000,522844.000000,40954492.000000,41477336.000000,32502955.000000,,201344218.000000,338519722.000000,4038011640.000000
12M 2018,,,4433263.000000,23083956.000000,9413241.000000,13670715.000000,23083956.000000,,116214.000000,6560616.000000,34194049.000000,,,20206229.000000,,219969763.000000,650234.000000,240826226.000000,275020275.000000,,,55429201.000000,,1188020.000000,12373883.000000,13561903.000000,2972770.000000,2830858.000000,,338061.000000,,1000000.000000,,33907543.000000,,,33907543.000000,818066.000000,55429201.000000,48426129.000000,,,17058723.000000,,28218543.000000,,,28218543.000000,,3148863.000000,48426129.000000,103855330.000000,,44523742.000000,88043459.000000,16445074.000000,522844.000000,15922230.000000,16445074.000000,22152670.000000,,171164945.000000,275020275.000000,4238011640.000000
