Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Lain-Lain,Pembayaran Kas Untuk Beban Usaha,Pembayaran Kepada Karyawan,Penerimaan (Pengeluaran) Kas Operasi Lain-Lain,Pembayaran Pajak,Beban Keuangan,Pendapatan Bunga,Penerimaan (Pembayaran) Kegiatan Usaha Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Aset Tetap,Hasil Penjualan Entitas Asosiasi,Akuisisi Investasi Kepada Entitas Asosiasi,Penerimaan Dividen,Pengurangan (Kenaikan) Aset Lain-Lain,Pembayaran Untuk Perolehan Entitas Anak,Penyertaan Investasi Kepada Entitas Anak,Pengurangan (Penempatan) Investasi Jangka Pendek,Uang Penyertaan Pada Anak Perusahaan,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Investasi,Penerimaan Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Kepada Pihak Yang Mempunyai Hubungan Istimewa,Uang Muka Penyertaan Saham Entitas Asosiasi,Penyertaan Saham Entitas Asosiasi,Penambahan Aset Keuangan Dari Kontrak Konsesi,Penerimaan Pelepasan Surat Berharga,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penerimaan Kas Dari Pinjaman Bank,Pembayaran Sewa Pembiayaan,Penerimaan Sewa Pembiayaan,Pembayaran (Penerimaan) Kepada (Dari) Pihak Berelasi,Penerimaan Kas Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Pembayaran Pinjaman Lain-Lain,Penerimaan Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Kepada Pihak Yang Mempunyai Hubungan Istimewa,Pembayaran Dividen Tunai,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Rekening Bank Dibatasi Penggunaannya,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2014,-63047885000.000000,1359110478000.000000,-1122536042000.000000,-44993674000.000000,-204341175000.000000,,-19552394000.000000,-49622914000.000000,,18887836000.000000,-63047885000.000000,-84228233000.000000,-24415948000.000000,616508000.000000,,,,,-3523793000.000000,,-56905000000.000000,,,,,,,,,,-84228233000.000000,90294093000.000000,-774817748000.000000,846129315000.000000,-4203950000.000000,,23186476000.000000,,,,,,,90294093000.000000,-56982025000.000000,-1347000000.000000,156649951000.000000,,98320926000.000000
12M 2015,246408876000.000000,1321133535000.000000,-710933144000.000000,-44487100000.000000,-209544569000.000000,,-60962567000.000000,-47317620000.000000,,-1479659000.000000,246408876000.000000,-144990404000.000000,-17721065000.000000,16378111000.000000,,,-156250000000.000000,,12602550000.000000,,,,,,,,,,,,-144990404000.000000,-51397625000.000000,-465692985000.000000,427032112000.000000,-7010753000.000000,,-5725999000.000000,,,,,,,-51397625000.000000,50020847000.000000,1041072000.000000,98320926000.000000,,149382845000.000000
12M 2016,26385863000.000000,1680192082000.000000,-1260960859000.000000,-46541095000.000000,-257873615000.000000,,-40333925000.000000,-58704245000.000000,,10607520000.000000,26385863000.000000,36902150000.000000,-33871378000.000000,,,74365000000.000000,,,-1291472000.000000,,-2300000000.000000,,,,,,,,,,36902150000.000000,85088886000.000000,-358534706000.000000,482850768000.000000,-15727568000.000000,,9581392000.000000,,,,,,-33081000000.000000,85088886000.000000,148376899000.000000,99410000.000000,149382845000.000000,,297859154000.000000
12M 2017,168231496000.000000,2824450344000.000000,-2009536047000.000000,-65015482000.000000,-450819259000.000000,,-99664941000.000000,-82179402000.000000,,50996283000.000000,168231496000.000000,-151302014000.000000,-130222684000.000000,215800000.000000,-115186327000.000000,114678000000.000000,,,-4786803000.000000,,-16000000000.000000,,,,,,,,,,-151302014000.000000,-58037267000.000000,-731315031000.000000,970815784000.000000,-22827700000.000000,,-274710320000.000000,,,,,,,-58037267000.000000,-41107785000.000000,121445000.000000,297859154000.000000,34036000.000000,256906850000.000000
12M 2018,105484869000.000000,3675418212000.000000,-2834880601000.000000,-55628322000.000000,-464665507000.000000,,-97334961000.000000,-133153532000.000000,,15729580000.000000,105484869000.000000,-220785094000.000000,-174040367000.000000,309435000.000000,-8075230000.000000,,,,-38978932000.000000,,,,,,,,,,,,-220785094000.000000,149968242000.000000,-1450226603000.000000,1650228103000.000000,-38852608000.000000,,-2984277000.000000,,,-8196373000.000000,,,,149968242000.000000,34668017000.000000,-2741501000.000000,256906850000.000000,74631000.000000,288907997000.000000
12M 2019,377699008000.000000,5845771211000.000000,-4562657256000.000000,,-700634837000.000000,,-122837075000.000000,-107036263000.000000,,25093228000.000000,377699008000.000000,-29177635000.000000,-50058339000.000000,270617000.000000,-1051187000.000000,,,,37161274000.000000,,,,,,,,,-15500000000.000000,,,-29177635000.000000,-216105632000.000000,-1733764693000.000000,1579911185000.000000,-37866896000.000000,,-1767925000.000000,,,-22617303000.000000,,,,-216105632000.000000,132415741000.000000,789557000.000000,288907997000.000000,98754000.000000,422212049000.000000
12M 2020,731553369000.000000,3980247298000.000000,-2492092873000.000000,,-486846572000.000000,,-165932246000.000000,-104664331000.000000,,842093000.000000,731553369000.000000,-468203214000.000000,-53315327000.000000,160545000.000000,-7272765000.000000,,,,1086333000.000000,,,,,,,,,-408862000000.000000,,,-468203214000.000000,46366686000.000000,-2117963278000.000000,2197291592000.000000,-26095082000.000000,,1360778000.000000,,,-8227324000.000000,,,,46366686000.000000,309716841000.000000,88239000.000000,422212049000.000000,-85584000.000000,731931545000.000000
12M 2021,589471617000.000000,4204868092000.000000,-3005919533000.000000,,-448091228000.000000,,-69789195000.000000,-115563376000.000000,,23966857000.000000,589471617000.000000,-516122970000.000000,-48425618000.000000,655000000.000000,-4682197000.000000,,,132500000000.000000,5129845000.000000,,,,,,,,-150000000000.000000,-451300000000.000000,,,-516122970000.000000,-218458990000.000000,-1438902045000.000000,1264168635000.000000,-26040216000.000000,,247827000.000000,,,-17933191000.000000,,,,-218458990000.000000,-145110343000.000000,21091000.000000,731931545000.000000,9887000.000000,586852180000.000000
12M 2022,205700816000.000000,4002122324000.000000,-3060843848000.000000,,-525786345000.000000,,-170097752000.000000,-62810501000.000000,,23116938000.000000,205700816000.000000,-924803437000.000000,-81402134000.000000,82523000.000000,-656130000.000000,,,,-1032310000.000000,,,,,,,,-78000000000.000000,-145000000000.000000,-618795386000.000000,,-924803437000.000000,638811295000.000000,-398983691000.000000,1063103303000.000000,-29005895000.000000,,,56250000.000000,-131922000.000000,3773250000.000000,,,,638811295000.000000,-80291326000.000000,19738000.000000,586852180000.000000,6954603000.000000,513535195000.000000
12M 2023,1096643732000.000000,5164923368000.000000,-3168178219000.000000,,-521392366000.000000,,-270894431000.000000,-65681602000.000000,,-42133018000.000000,1096643732000.000000,-2303408657000.000000,-56112438000.000000,,-4534194000.000000,,,,269845000.000000,,,,,,,,-310000000000.000000,-656252000000.000000,-1276779870000.000000,,-2303408657000.000000,1207847091000.000000,-889495151000.000000,1962808361000.000000,-14780318000.000000,,,150791639000.000000,,-1477440000.000000,,,,1207847091000.000000,1082166000.000000,-9375000000.000000,513535195000.000000,-1138812000.000000,504103549000.000000
12M 2024,354140827000.000000,3430793142000.000000,-2211478538000.000000,,-613961586000.000000,,-29617559000.000000,-195021017000.000000,,-26573615000.000000,354140827000.000000,-609323990000.000000,-313195366000.000000,21046830000.000000,-8106828000.000000,,,64980000000.000000,-4693626000.000000,,,,,,,,-186980000000.000000,-182375000000.000000,,,-609323990000.000000,132685077000.000000,-1131158586000.000000,1161144067000.000000,-12954447000.000000,,,115416988000.000000,,237055000.000000,,,,132685077000.000000,-122498086000.000000,-153518509000.000000,504103549000.000000,172991000.000000,228259945000.000000
