Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,1418734056000.000000,-1144898473000.000000,273835583000.000000,-109726799000.000000,-19283386000.000000,-90443413000.000000,-109726799000.000000,164108784000.000000,-47811798000.000000,1073726000.000000,-37737099000.000000,1956109000.000000,,,,-13104534000.000000,-47811798000.000000,116296986000.000000,-15851689000.000000,100445297000.000000,175698000.000000,100620995000.000000,-8404592000.000000,92216403000.000000,100620995000.000000,100596342000.000000,24653000.000000,100620995000.000000,92216403000.000000,92199145000.000000,17258000.000000,92216403000.000000
12M 2015,1188990251000.000000,-959562228000.000000,229428023000.000000,-110494721000.000000,-12390487000.000000,-98104234000.000000,-110494721000.000000,118933302000.000000,-37059779000.000000,1838694000.000000,-38835883000.000000,7164096000.000000,,,,-7226686000.000000,-37059779000.000000,81873523000.000000,-23308086000.000000,58565437000.000000,,58565437000.000000,8948458000.000000,67513895000.000000,58565437000.000000,58603862000.000000,-38425000.000000,58565437000.000000,67513895000.000000,67548607000.000000,-34712000.000000,67513895000.000000
12M 2016,1605432899000.000000,-1353488230000.000000,251944669000.000000,-126868251000.000000,-12373837000.000000,-114494414000.000000,-126868251000.000000,125076418000.000000,-28348645000.000000,2171091000.000000,-46859284000.000000,-4129465000.000000,-5686740000.000000,18115000000.000000,,8040753000.000000,-28348645000.000000,96727773000.000000,-31696310000.000000,65031463000.000000,,65031463000.000000,-14966944000.000000,50064519000.000000,65031463000.000000,65171041000.000000,-139578000.000000,65031463000.000000,50064519000.000000,50204097000.000000,-139578000.000000,50064519000.000000
12M 2017,2455941035000.000000,-2067089302000.000000,388851733000.000000,-155278330000.000000,-12773573000.000000,-142504757000.000000,-155278330000.000000,233573403000.000000,21276879000.000000,4057342000.000000,-61399042000.000000,2436225000.000000,,,,76182354000.000000,21276879000.000000,254850282000.000000,-74301356000.000000,180548926000.000000,,180548926000.000000,-14878664000.000000,165670262000.000000,180548926000.000000,180571784000.000000,-22858000.000000,180548926000.000000,165670262000.000000,165693120000.000000,-22858000.000000,165670262000.000000
12M 2018,4681432531000.000000,-3868380593000.000000,813051938000.000000,-148540736000.000000,-11634120000.000000,-136906616000.000000,-148540736000.000000,664511202000.000000,-8119035000.000000,4086488000.000000,-101612450000.000000,-4499270000.000000,96336385000.000000,,210048000.000000,-2640236000.000000,-8119035000.000000,656392167000.000000,-94956904000.000000,561435263000.000000,,561435263000.000000,11575118000.000000,573010381000.000000,561435263000.000000,561542892000.000000,-107629000.000000,561435263000.000000,573010381000.000000,573118010000.000000,-107629000.000000,573010381000.000000
12M 2019,6039612904000.000000,-5231371531000.000000,808241373000.000000,-150659294000.000000,-14273607000.000000,-136385687000.000000,-150659294000.000000,657582079000.000000,-22699226000.000000,11089850000.000000,-79233576000.000000,3688041000.000000,59451991000.000000,,270617000.000000,-17966149000.000000,-22699226000.000000,634882853000.000000,-142926079000.000000,491956774000.000000,,491956774000.000000,-17837826000.000000,474118948000.000000,491956774000.000000,492017754000.000000,-60980000.000000,491956774000.000000,474118948000.000000,474179928000.000000,-60980000.000000,474118948000.000000
12M 2020,3981900673000.000000,-3247781406000.000000,734119267000.000000,-143549503000.000000,-6571612000.000000,-136977891000.000000,-143549503000.000000,590569764000.000000,-57886482000.000000,,-104664330000.000000,,48297702000.000000,,,-1519854000.000000,-57886482000.000000,532683282000.000000,-108968450000.000000,423714832000.000000,,423714832000.000000,-12920416000.000000,410794416000.000000,423714832000.000000,423605813000.000000,109019000.000000,423714832000.000000,410794416000.000000,410685397000.000000,109019000.000000,410794416000.000000
12M 2021,3858936725000.000000,-3127359658000.000000,731577067000.000000,-146268352000.000000,-9526465000.000000,-136741887000.000000,-146268352000.000000,585308715000.000000,-18161104000.000000,,-115563376000.000000,,73063825000.000000,,,24338447000.000000,-18161104000.000000,567147611000.000000,-85053430000.000000,482094181000.000000,,482094181000.000000,-4114134000.000000,477980047000.000000,482094181000.000000,476170466000.000000,5923715000.000000,482094181000.000000,477980047000.000000,472056332000.000000,5923715000.000000,477980047000.000000
12M 2022,4146850937000.000000,-3458639887000.000000,688211050000.000000,-146750485000.000000,-12658583000.000000,-134091902000.000000,-146750485000.000000,541460565000.000000,18497337000.000000,,-62810501000.000000,,54556870000.000000,,,26750968000.000000,18497337000.000000,559957902000.000000,-97679914000.000000,462277988000.000000,,462277988000.000000,10246497000.000000,472524485000.000000,462277988000.000000,450501287000.000000,11776701000.000000,462277988000.000000,472524485000.000000,460747782000.000000,11776703000.000000,472524485000.000000
12M 2023,5128345025000.000000,-4163595379000.000000,964749646000.000000,-221556583000.000000,-16432239000.000000,-205124344000.000000,-221556583000.000000,743193063000.000000,95216757000.000000,,-68425496000.000000,,209549884000.000000,,,-45907631000.000000,95216757000.000000,838409820000.000000,-127389304000.000000,711020516000.000000,,711020516000.000000,-4224401000.000000,706796115000.000000,711020516000.000000,690837639000.000000,20182877000.000000,711020516000.000000,706796115000.000000,686613731000.000000,20182384000.000000,706796115000.000000
12M 2024,3646418392000.000000,-2779758670000.000000,866659722000.000000,-343851472000.000000,-16562783000.000000,-327288689000.000000,-343851472000.000000,522808250000.000000,105763378000.000000,,-83170620000.000000,,198826830000.000000,,,-9892832000.000000,105763378000.000000,628571628000.000000,-107127018000.000000,521444610000.000000,,521444610000.000000,45186860000.000000,566631470000.000000,521444610000.000000,519845313000.000000,1599297000.000000,521444610000.000000,566631470000.000000,565030111000.000000,1601359000.000000,566631470000.000000
