Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Lain Jangka Panjang,Utang Bank,Utang Pihak Berelasi,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,156649951000.000000,354592630000.000000,348382080000.000000,6210550000.000000,354592630000.000000,93130000.000000,1179573000.000000,340869484000.000000,103107286000.000000,956492054000.000000,,52293094000.000000,52293094000.000000,52293094000.000000,22249351000.000000,857728421000.000000,,19763584000.000000,952034450000.000000,1908526504000.000000,,,544161037000.000000,96865241000.000000,104416373000.000000,4983966000.000000,72013926000.000000,117483223000.000000,,,64033190000.000000,,4480870000.000000,68514060000.000000,79884248000.000000,544161037000.000000,260252077000.000000,14486546000.000000,,,124904311000.000000,147470000.000000,125051781000.000000,120713750000.000000,260252077000.000000,804413114000.000000,,892472776000.000000,,153431063000.000000,,,153431063000.000000,1184888000.000000,57024663000.000000,1104113390000.000000,1908526504000.000000,2640452000.000000
12M 2014,,,98320926000.000000,361346552000.000000,360101714000.000000,1244838000.000000,361346552000.000000,,1947834000.000000,526301036000.000000,126532532000.000000,1114448880000.000000,,25801276000.000000,25801276000.000000,25801276000.000000,25738088000.000000,825752875000.000000,,24007876000.000000,901300115000.000000,2015748995000.000000,,,723817974000.000000,325408957000.000000,111569879000.000000,6569484000.000000,72037518000.000000,114924582000.000000,,,10851254000.000000,,610304000.000000,11461558000.000000,81845996000.000000,723817974000.000000,144703603000.000000,11092220000.000000,,,20854098000.000000,822190000.000000,21676288000.000000,111935095000.000000,144703603000.000000,868521577000.000000,,892472776000.000000,-1282944000.000000,252528747000.000000,,,252528747000.000000,2819692000.000000,689146000.000000,1147227417000.000000,2015748994000.000000,2640452000.000000
12M 2015,,,149382845000.000000,239117186000.000000,237991083000.000000,1126103000.000000,239117186000.000000,4877500000.000000,2217333000.000000,421730208000.000000,159641986000.000000,976967058000.000000,,15524671000.000000,15524671000.000000,15524671000.000000,27705173000.000000,805988486000.000000,,167028831000.000000,1016247161000.000000,1993214219000.000000,,,662157609000.000000,279749002000.000000,100295013000.000000,6811311000.000000,31375530000.000000,112061164000.000000,,,23046143000.000000,,3088834000.000000,26134977000.000000,105730612000.000000,662157609000.000000,129388569000.000000,5366221000.000000,,,15658290000.000000,13540370000.000000,29198660000.000000,94823688000.000000,129388569000.000000,791546178000.000000,,892472776000.000000,-1282944000.000000,312631266000.000000,,,312631266000.000000,2777585000.000000,-4930642000.000000,1201668041000.000000,1993214219000.000000,2640452000.000000
12M 2016,,,297859154000.000000,317948427000.000000,314406499000.000000,3541928000.000000,317948427000.000000,5969951000.000000,6555710000.000000,529004426000.000000,130330008000.000000,1287667676000.000000,,94313260000.000000,94313260000.000000,94313260000.000000,31408743000.000000,825383152000.000000,,21679907000.000000,972785062000.000000,2260452738000.000000,,,884002059000.000000,407961208000.000000,134407162000.000000,4071489000.000000,26441485000.000000,66174331000.000000,,,23350204000.000000,,12837680000.000000,36187884000.000000,208758500000.000000,884002059000.000000,147489002000.000000,8127805000.000000,,,11458086000.000000,26388184000.000000,37846270000.000000,101514927000.000000,147489002000.000000,1031491061000.000000,,892472776000.000000,1521454000.000000,344721307000.000000,,,344721307000.000000,9978716000.000000,-19732576000.000000,1228961677000.000000,2260452738000.000000,2640452000.000000
12M 2017,,,256906850000.000000,367452154000.000000,364051826000.000000,3400328000.000000,367452154000.000000,,195947000.000000,968193481000.000000,152125186000.000000,1744873618000.000000,,603859231000.000000,603859231000.000000,603859231000.000000,37884685000.000000,968043584000.000000,,152636727000.000000,1762424227000.000000,3507297845000.000000,,,1634572696000.000000,643355431000.000000,210580757000.000000,18286945000.000000,24533256000.000000,96050825000.000000,,,7786501000.000000,,38466717000.000000,46253218000.000000,595512264000.000000,1634572696000.000000,315287297000.000000,119175755000.000000,,,31128319000.000000,48643683000.000000,79772002000.000000,116339540000.000000,315287297000.000000,1949859993000.000000,,892472776000.000000,,525293091000.000000,,,525293091000.000000,9955858000.000000,129716127000.000000,1557437852000.000000,3507297845000.000000,2640452000.000000
12M 2018,,,288907997000.000000,514535438000.000000,447655531000.000000,66879907000.000000,514535438000.000000,37671264000.000000,37378000.000000,881075637000.000000,461895965000.000000,2184123679000.000000,,913720216000.000000,913720216000.000000,913720216000.000000,34520583000.000000,1118029598000.000000,,163902332000.000000,2230172729000.000000,4414296408000.000000,,,2296176799000.000000,875668148000.000000,532198880000.000000,17827489000.000000,17253735000.000000,358947221000.000000,,9595155000.000000,5132947000.000000,,35054567000.000000,49782669000.000000,444498657000.000000,2296176799000.000000,150625980000.000000,2658478000.000000,,31184255000.000000,1470656000.000000,14569138000.000000,47224049000.000000,100743453000.000000,150625980000.000000,2446802779000.000000,,892472776000.000000,1347763000.000000,1086835983000.000000,,,1086835983000.000000,9873229000.000000,-23036122000.000000,1967493629000.000000,4414296408000.000000,2640452000.000000
12M 2019,,,422212049000.000000,341819139000.000000,219418862000.000000,122400277000.000000,341819139000.000000,85014552000.000000,1214362000.000000,1080059767000.000000,602814873000.000000,2533134742000.000000,,1042219745000.000000,1042219745000.000000,1042219745000.000000,35782083000.000000,1052220220000.000000,,75807827000.000000,2206029875000.000000,4739164617000.000000,,,2153362549000.000000,728418243000.000000,640041527000.000000,4805347000.000000,30952448000.000000,578761823000.000000,,9595155000.000000,,,17816345000.000000,27411500000.000000,142971661000.000000,2153362549000.000000,144189491000.000000,2777655000.000000,,21589093000.000000,,7294783000.000000,28883876000.000000,112527960000.000000,144189491000.000000,2297552040000.000000,,892472776000.000000,1347763000.000000,1578853737000.000000,,,1578853737000.000000,9812249000.000000,-40873948000.000000,2441612577000.000000,4739164617000.000000,2640452000.000000
12M 2020,,,731931545000.000000,521576586000.000000,219247945000.000000,302328641000.000000,521576586000.000000,27408009000.000000,2837099000.000000,662144648000.000000,403855543000.000000,2349753430000.000000,,1513038220000.000000,1513038220000.000000,1513038220000.000000,37204594000.000000,993710458000.000000,,82514891000.000000,2626468163000.000000,4976221593000.000000,,,1979705085000.000000,807746557000.000000,466208607000.000000,6173172000.000000,25777161000.000000,551803206000.000000,,9595155000.000000,,,14252229000.000000,23847384000.000000,98148998000.000000,1979705085000.000000,155394454000.000000,2577085000.000000,,11993945000.000000,,16517266000.000000,28511211000.000000,124306158000.000000,155394454000.000000,2135099539000.000000,,892472776000.000000,1347763000.000000,1991174611000.000000,66633569000.000000,1924541042000.000000,1991174611000.000000,9921268000.000000,-53794364000.000000,2841122054000.000000,4976221593000.000000,2640452000.000000
12M 2021,,,586852180000.000000,370927248000.000000,276108931000.000000,94818317000.000000,370927248000.000000,24034600000.000000,1607918000.000000,670012584000.000000,462605336000.000000,2116039866000.000000,,1904989382000.000000,1904989382000.000000,1904989382000.000000,51115037000.000000,932264018000.000000,1232277000.000000,220829762000.000000,3110430476000.000000,5226470342000.000000,,,1764084342000.000000,633013147000.000000,460580521000.000000,6610563000.000000,30411459000.000000,329764289000.000000,,,,,19540894000.000000,19540894000.000000,284163469000.000000,1764084342000.000000,143765977000.000000,2824911000.000000,,3218519000.000000,,12974504000.000000,16193023000.000000,124748043000.000000,143765977000.000000,1907850319000.000000,,892472776000.000000,1347763000.000000,2467345077000.000000,,,2467345077000.000000,15377457000.000000,-57923050000.000000,3318620023000.000000,5226470342000.000000,2640452000.000000
12M 2022,,,513535195000.000000,371802021000.000000,324470379000.000000,47331642000.000000,371802021000.000000,23545775000.000000,1224166000.000000,763491414000.000000,578537676000.000000,2252136247000.000000,,1750000000.000000,1750000000.000000,1750000000.000000,49124351000.000000,894660626000.000000,1232277000.000000,3060460766000.000000,4007228020000.000000,6259364267000.000000,,,1761592729000.000000,758977474000.000000,449562020000.000000,2659721000.000000,36713754000.000000,374104912000.000000,,,,,12039494000.000000,12039494000.000000,127535354000.000000,1761592729000.000000,669670553000.000000,2692990000.000000,,10942612000.000000,538155285000.000000,5805342000.000000,554903239000.000000,112074324000.000000,669670553000.000000,2431263282000.000000,,892472776000.000000,40196097000.000000,2917846364000.000000,,,2917846364000.000000,24704160000.000000,-47118412000.000000,3828100985000.000000,6259364267000.000000,2640452000.000000
