Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pengeluaran Kas Operasional Lainnya,Pembayaran Pajak Penghasilan,Pembayaran Bunga,Pembayaran Beban Keuangan,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Uang Jaminan,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Tetap,Refundable Deposit,Akuisisi Entitas Anak,Penerimaan Dari Pelepasan Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penawaran Umum Terbatas I,Pembayaran Biaya Penawaran Umum Terbatas I,Penerimaan Dari Penawaran Umum Perdana Saham,Penerimaan Dari Penerbitan Saham Baru,Kenaikan (Penurunan) Utang Bank,Kenaikan Piutang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Dari Eksekusi Waran,Penerimaan Tambahan Modal Dari Pelaksanaan Waran,Kenaikan Modal Saham Melalui Pelaksanaan Waran,Penambahan Modal Saham Entitas Anak Dari Kepentingan Non Pengendali,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Biaya Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Yang Dikonsolidasikan Pada Tanggal Akuisisi,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,-8999551239.000000,26831515510.000000,-25954931843.000000,-9877536366.000000,,,,1401460.000000,-8999551239.000000,-29026123674.000000,,-4856472265.000000,-24169651409.000000,,,,,-29026123674.000000,36129474376.000000,,,,,,29490000000.000000,13384273804.000000,-6744799428.000000,,,,,,,36129474376.000000,-1896200537.000000,,2731657497.000000,,835456960.000000
12M 2017,-36967387530.000000,1113217100958.000000,-1131686736993.000000,-13399278698.000000,-57357830.000000,-5181666667.000000,,140551700.000000,-36967387530.000000,-34867865151.000000,,-270633866.000000,-506031285.000000,,,-34091200000.000000,,-34867865151.000000,67606536355.000000,,,45000000000.000000,,9000000000.000000,,61271636407.000000,-46227100052.000000,,,,,,-1438000000.000000,67606536355.000000,-4228716326.000000,42729039775.000000,835456960.000000,,39335780409.000000
12M 2018,-33530614347.000000,2568599730544.000000,-2552723608667.000000,-26612853830.000000,-4056834789.000000,-18743750839.000000,,6703234.000000,-33530614347.000000,-527088799.000000,,-527088799.000000,,,,,,-527088799.000000,13091706652.000000,,,,,-2000000000.000000,,,-10123730848.000000,,25214437500.000000,,1000000.000000,,,13091706652.000000,-20965996494.000000,,39335780409.000000,,18369783915.000000
12M 2019,-21209732947.000000,2875110326952.000000,-2847419341820.000000,-23120943911.000000,-5390878246.000000,-20501278017.000000,,112382095.000000,-21209732947.000000,34138801.000000,,-19861199.000000,,54000000.000000,,,,34138801.000000,6464266204.000000,,,,,7000000000.000000,,,,,525000.000000,,,-536258796.000000,,6464266204.000000,-14711327942.000000,,18369783915.000000,,3658455973.000000
12M 2020,3036404593.000000,921560511954.000000,-889347353251.000000,-10739719372.000000,-387281032.000000,-18078876013.000000,,29122307.000000,3036404593.000000,,,,,,,,,,-5205591573.000000,,,,,-4663956967.000000,,,,,,,,-541634606.000000,,-5205591573.000000,-2169186980.000000,,3658455973.000000,,1489268993.000000
12M 2021,-7703025241.000000,337362847400.000000,-335546354049.000000,-5836568323.000000,,-3695299156.000000,,12348887.000000,-7703025241.000000,13259191748.000000,,-1242783277.000000,-232000000.000000,,,,14733975025.000000,13259191748.000000,-4576676770.000000,,,,,-4881676770.000000,,,,,,,305000000.000000,,,-4576676770.000000,979489737.000000,,1489268993.000000,,2468758730.000000
12M 2022,-17932611945.000000,376176175118.000000,-378183530343.000000,-15953069932.000000,,,,27813212.000000,-17932611945.000000,-89761481962.000000,-88155000000.000000,-1366481962.000000,-240000000.000000,,,,,-89761481962.000000,106358485000.000000,107585985000.000000,-1227500000.000000,,,,,,,,,,,,,106358485000.000000,-1335608907.000000,,2468758730.000000,,1133149823.000000
12M 2023,1652434213.000000,274066751269.000000,-249109745832.000000,-22453055698.000000,,-853632000.000000,,2116474.000000,1652434213.000000,-1665456691.000000,,-1665456691.000000,,,,,,-1665456691.000000,1080000.000000,,,,,,,,,,810000.000000,270000.000000,,,,1080000.000000,-11942478.000000,,1133149823.000000,,1121207345.000000
12M 2024,131686992.000000,122913914696.000000,-107014536417.000000,-15277371287.000000,,-490320000.000000,,,131686992.000000,81769500.000000,,-15502790.000000,,32722000.000000,,,64550290.000000,81769500.000000,164000.000000,,,,,,,,,,123000.000000,41000.000000,,,,164000.000000,213620492.000000,,1121207345.000000,,1334827837.000000
