Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,105294898763.000000,-55562728173.000000,49732170590.000000,-32131676916.000000,-13492008825.000000,-18457839999.000000,-181828092.000000,-32131676916.000000,17600493674.000000,-70779079.000000,8160549.000000,-78939628.000000,-70779079.000000,17529714595.000000,-4689443693.000000,,,-4689443693.000000,12840270902.000000,12840270902.000000,2172518.000000,12842443420.000000,12840270902.000000,12840270902.000000,,12840270902.000000,12842443420.000000,12842443420.000000,,12842443420.000000
12M 2019,100093362672.000000,-52024763999.000000,48068598673.000000,-29523341588.000000,-11957197626.000000,-17673182046.000000,107038084.000000,-29523341588.000000,18545257085.000000,-670565257.000000,104377557.000000,-774942814.000000,-670565257.000000,17874691828.000000,-4785088329.000000,,,-4785088329.000000,13089603499.000000,13089603499.000000,9148324.000000,13098751823.000000,13089603499.000000,13089603499.000000,,13089603499.000000,13098751823.000000,13098751823.000000,,13098751823.000000
12M 2020,74179874751.000000,-38292322924.000000,35887551827.000000,-22683794904.000000,-5669555872.000000,-17074239032.000000,60000000.000000,-22683794904.000000,13203756923.000000,-47333248.000000,39266253.000000,-86599501.000000,-47333248.000000,13156423675.000000,-2657554818.000000,-2846097561.000000,188542743.000000,-2657554818.000000,10498868857.000000,10498868857.000000,-43895617.000000,10454973240.000000,10498868857.000000,10498868857.000000,,10498868857.000000,10454973240.000000,10454973240.000000,,10454973240.000000
12M 2021,109018092634.000000,-70658869330.000000,38359223304.000000,-24307038165.000000,-6277959498.000000,-18049202978.000000,20124311.000000,-24307038165.000000,14052185139.000000,581097867.000000,662595520.000000,-81497653.000000,581097867.000000,14633283006.000000,-2607148573.000000,-2950324561.000000,343175988.000000,-2607148573.000000,12026134433.000000,12026134433.000000,105573832.000000,12131708265.000000,12026134433.000000,12026134433.000000,,12026134433.000000,12131708265.000000,12131708265.000000,,12131708265.000000
12M 2022,131320519406.000000,-86842794284.000000,44477725122.000000,-25898166016.000000,-7332725651.000000,-18777705893.000000,212265528.000000,-25898166016.000000,18579559106.000000,120845225.000000,134544259.000000,-13699034.000000,120845225.000000,18700404331.000000,-4321338590.000000,-4322310960.000000,972370.000000,-4321338590.000000,14379065741.000000,14379065741.000000,11919403.000000,14390985144.000000,14379065741.000000,14379065741.000000,,14379065741.000000,14390985144.000000,14390985144.000000,,14390985144.000000
12M 2023,143083261635.000000,-94085573916.000000,48997687719.000000,-27620177635.000000,-5038822059.000000,-22394446945.000000,-186908631.000000,-27620177635.000000,21377510084.000000,165980136.000000,187580412.000000,-21600276.000000,165980136.000000,21543490220.000000,-4810084468.000000,-4810084468.000000,,-4810084468.000000,16733405752.000000,16733405752.000000,-103247347.000000,16630158405.000000,16733405752.000000,16733405752.000000,,16733405752.000000,16630158405.000000,16630158405.000000,,16630158405.000000
12M 2024,160218189058.000000,-105875304969.000000,54342884089.000000,-33209882744.000000,-8511460069.000000,-23902788349.000000,-795634326.000000,-33209882744.000000,21133001345.000000,-70635236.000000,99520337.000000,-170155573.000000,-70635236.000000,21062366109.000000,-4684400899.000000,-4684400899.000000,,-4684400899.000000,16377965210.000000,16377965210.000000,-185963902.000000,16192001308.000000,16377965210.000000,16377965210.000000,,16377965210.000000,16192001308.000000,16192001308.000000,,16192001308.000000
