Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Operasional Dan Lainnya,Penerimaan Dari Operasi Lainnya,Penerimaan Penghasilan Keuangan,Pembayaran Beban Keuangan,Penerimaan Kas Dari Restitusi Pajak,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Akuisisi Entitas Anak Dari Entitas Sepengendali,Pembayaran Untuk Uang Muka Investasi Saham,Perolehan Aset Tetap,Pencairan Dana Yang Dibatasi Penggunaannya,Penempatan Investasi Jangka Pendek,Penerimaan Penjualan Aset Tetap,Perolehan Aset Hak Guna,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Modal,Pembayaran Dividen,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank,Penerimaan Setoran Modal Saham,Penerimaan Setoran Agio Saham,Cerukan,Pembayaran Liabilitas Sewa,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Bank Awal Periode – Entitas Anak Yang Diakuisisi Di Periode Berjalan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-1648626171.000000,365510128930.000000,-356219186766.000000,-8524773270.000000,-14497381906.000000,15167108076.000000,30288118.000000,-658577872.000000,,-2456231481.000000,-1648626171.000000,-1983621136.000000,,,-1089176693.000000,,,,-894444443.000000,-1983621136.000000,3288061255.000000,,,-1357771109.000000,900000000.000000,,,4457532281.000000,-711699917.000000,,3288061255.000000,-344186052.000000,,5164380119.000000,4820194067.000000
12M 2022,24241470090.000000,411846781898.000000,-375592195177.000000,-10252679158.000000,-18005507391.000000,20370115638.000000,34782086.000000,-646957605.000000,,-3512870201.000000,24241470090.000000,-1985916752.000000,,,-1985916752.000000,,,,,-1985916752.000000,-1346408700.000000,,,-827543324.000000,,,,3441159067.000000,-3757759372.000000,-202265071.000000,-1346408700.000000,20909144638.000000,,4820194067.000000,25729338705.000000
12M 2023,-5725533245.000000,577903980069.000000,-569995423211.000000,-13328304328.000000,-25587025483.000000,30644981723.000000,54657393.000000,-1064460426.000000,,-4353938982.000000,-5725533245.000000,-4610132343.000000,-3120000000.000000,,-1490132343.000000,,,,,-4610132343.000000,-7215278122.000000,49700000000.000000,-47150000000.000000,,,,,-6950335149.000000,-2238110669.000000,-576832304.000000,-7215278122.000000,-17550943710.000000,279054177.000000,25729338705.000000,8457449172.000000
12M 2024,11657075745.000000,638886079024.000000,-614699753202.000000,-16708014725.000000,-29625966610.000000,35765602639.000000,1091159007.000000,-1293306333.000000,2439685297.000000,-4198409352.000000,11657075745.000000,-28978540775.000000,,,-9207510567.000000,,-20170655000.000000,689189188.000000,-289564396.000000,-28978540775.000000,48712313015.000000,56297519201.000000,,-2960639261.000000,,,,,-3879651487.000000,-744915438.000000,48712313015.000000,31390847985.000000,,8457449172.000000,39848297157.000000
