Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2021,0.00 B,11882743.98,0.00,0.00,21.05 B,15.20%,60.37%,140.37%,29.13
12M 2022,0.00 B,13807191.55,0.00,0.00,25.12 B,12.68%,29.13%,49.42%,34.83
12M 2023,1.27 B,19.02,0.00,0.00,33.32 B,14.85%,27.50%,36.85%,27.28
12M 2024,1.73 B,13.13,14.32,0.51,31.32 B,8.82%,13.54%,18.71%,19.53
