Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,4820194067.000000,14605880461.000000,12124279666.000000,2481600795.000000,14605880461.000000,183683806.000000,43108591284.000000,20265699276.000000,82984048894.000000,,6985309959.000000,120172270.000000,11565657858.000000,18671140087.000000,101655188981.000000,,,74318280145.000000,7297358667.000000,,51526690537.000000,4484231852.000000,56010922389.000000,,4798849674.000000,1492659046.000000,6291508720.000000,741255992.000000,13334934.000000,,147144071.000000,3816755372.000000,3963899443.000000,,74318280145.000000,1749685533.000000,,,,1749685533.000000,1749685533.000000,1749685533.000000,76067965678.000000,,1300000000.000000,,24716319243.000000,,24716319243.000000,24716319243.000000,,-429095940.000000,25587223303.000000,101655188981.000000,1300.000000
12M 2022,,,25729338705.000000,33407824342.000000,31993453760.000000,1414370582.000000,33407824342.000000,242673686.000000,57175657077.000000,5168138320.000000,121723632130.000000,,9513148066.000000,,10267075891.000000,19780223957.000000,141503856087.000000,,,77633778044.000000,9910974410.000000,,55232274819.000000,4444069244.000000,59676344063.000000,,4360643248.000000,1209387193.000000,5570030441.000000,792768729.000000,12177564.000000,,576832304.000000,1094650533.000000,1671482837.000000,,77633778044.000000,2255959014.000000,,1199625696.000000,443000318.000000,613333000.000000,2255959014.000000,2255959014.000000,79889737058.000000,,1300000000.000000,17570637966.000000,42665668263.000000,,42665668263.000000,42665668263.000000,,77812800.000000,61614119029.000000,141503856087.000000,1300.000000
12M 2023,,,8457449172.000000,65073706257.000000,64643809369.000000,429896888.000000,65073706257.000000,470188550.000000,57179895845.000000,5763895868.000000,136945135692.000000,,12856433168.000000,,13425014813.000000,26281447981.000000,163226583673.000000,,,69491028224.000000,2960639261.000000,,57948052119.000000,676382786.000000,58624434905.000000,,2873540337.000000,1467514105.000000,4341054442.000000,1094791773.000000,12649064.000000,,661452000.000000,1796006779.000000,2457458779.000000,,69491028224.000000,3170873255.000000,,538173696.000000,502272613.000000,2130426946.000000,3170873255.000000,3170873255.000000,72661901479.000000,,51000000000.000000,17302865199.000000,19761742486.000000,260000000.000000,19501742486.000000,19761742486.000000,2403108809.000000,96965700.000000,90564682194.000000,163226583673.000000,1275000000.000000
12M 2024,,,39848297157.000000,57631632768.000000,51501925661.000000,6129707107.000000,57631632768.000000,880518276.000000,82341379449.000000,33525372880.000000,214227200530.000000,,19589261540.000000,,23195793304.000000,42785054844.000000,257012255374.000000,,,80710137522.000000,,,61082880438.000000,3398272686.000000,64481153124.000000,,9503095812.000000,384061501.000000,9887157313.000000,221167757.000000,35000000.000000,,732316352.000000,4318283469.000000,5050599821.000000,1035059507.000000,80710137522.000000,7852323392.000000,,153624864.000000,319192617.000000,7379505911.000000,7852323392.000000,7852323392.000000,88562460914.000000,,69000000000.000000,55600384400.000000,42418773099.000000,260000000.000000,42158773099.000000,42418773099.000000,1168709435.000000,261927526.000000,168449794460.000000,257012255374.000000,1725000000.000000
