Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2021,1.12,0.54,0.29,3.97,0.0,0.0,0.1,0.07,2.97
12M 2022,1.57,0.83,0.18,2.3,0.0,0.0,-0.23,0.08,1.3
12M 2023,1.97,1.15,0.05,1.85,0.0,0.0,-0.05,0.03,0.82
12M 2024,2.65,1.63,0.01,1.54,0.0,0.0,-0.23,0.0,0.53
