Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Berelasi,Pihak Ketiga,Others,Total Pinjaman Yang Diberikan,Piutang Pembiayaan Konsumen,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Pihak Berelasi,Pihak Ketiga,Total Simpanan Nasabah,Liabilitas Bank Lain,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Liabilitas Pajak Tangguhan,Utang Pajak,Obligasi Subordinasi,Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,114743295960.000000,665040053312.000000,1395785545345.000000,,1395785545345.000000,,,85984760612.000000,7400894061246.000000,-155290719265.000000,7331588102593.000000,,91201035498.000000,,,11939577975404.000000,21537936008112.000000,,,68709207804.000000,19316045580628.000000,11720446448795.000000,7595599131833.000000,19316045580628.000000,,17000000000.000000,13163635507.000000,,,21276194233.000000,20963998132.000000,,,190937127645.000000,19648095743949.000000,,1055000000000.000000,,676294629425.000000,13000000000.000000,663294629425.000000,676294629425.000000,,158545634738.000000,1889840264163.000000,21537936008112.000000,1241176500.000000
12M 2021,,214953246838.000000,1825723248034.000000,2628140593956.000000,,2628140593956.000000,,,75449315950.000000,7809033939980.000000,-266183258764.000000,7618299997166.000000,,85556262826.000000,,,10830450132530.000000,23203123481350.000000,,,51805767856.000000,20174471983444.000000,11094302090170.000000,9080169893274.000000,20174471983444.000000,,2000000000.000000,20997597218.000000,,,3274236386.000000,29934350636.000000,,,219581716984.000000,20502065652524.000000,,1241176500000.000000,436531397130.000000,889423801583.000000,15000000000.000000,874423801583.000000,889423801583.000000,,133926130113.000000,2701057828826.000000,23203123481350.000000,1241176500.000000
12M 2022,,231250126710.000000,1978548146188.000000,1876390422671.000000,,1876390422671.000000,,,119695805368.000000,8714791276490.000000,-290565237965.000000,8543921843893.000000,,119900844617.000000,36775184819.000000,,8484540625531.000000,21271327194429.000000,,,151448980819.000000,17504309498784.000000,7749508059828.000000,9754801438956.000000,17504309498784.000000,,2000000000.000000,22073730375.000000,,,,19976727916.000000,,,153406642618.000000,17853215580512.000000,,1241176500000.000000,999451317630.000000,1194026040102.000000,18000000000.000000,1176026040102.000000,1194026040102.000000,,-16542243815.000000,3418111613917.000000,21271327194429.000000,1241176500.000000
12M 2023,,228747414301.000000,2945689004391.000000,2848851175646.000000,,2848851175646.000000,,,240895318095.000000,9454530448095.000000,-232897245007.000000,9462528521183.000000,,133831601487.000000,45600555506.000000,,11721258494284.000000,27386506766798.000000,,,231717950607.000000,23161653078617.000000,14102695627024.000000,9058957451593.000000,23161653078617.000000,,2002604661.000000,8193278770.000000,,,,29569655669.000000,,,270859102471.000000,23703995670795.000000,,1402010763000.000000,838617054630.000000,1437882809079.000000,20000000000.000000,1417882809079.000000,1437882809079.000000,,4000469294.000000,3682511096003.000000,27386506766798.000000,1402010763.000000
12M 2024,,300463127974.000000,2562129132862.000000,1733104614265.000000,,1733104614265.000000,,,373348310616.000000,11611582229980.000000,-234787939205.000000,11750142601391.000000,,144763931824.000000,45535892740.000000,,12353390582080.000000,28889529883136.000000,,,159906833048.000000,24554009588490.000000,15590991646193.000000,8963017942297.000000,24554009588490.000000,,4170232243.000000,14185851608.000000,,,,14973271681.000000,,,247562164150.000000,24994807941220.000000,,1402010763000.000000,838617054630.000000,1653275058919.000000,22000000000.000000,1631275058919.000000,1653275058919.000000,,819065367.000000,3894721941916.000000,28889529883136.000000,1402010763.000000
