Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2020,0.00,1522.62,0.00,1522.62,,,,,
12M 2021,1.63,2176.21,1.63,2176.21,,,,,
12M 2022,1.28,2753.93,1.28,2753.93,,,,,
12M 2023,1.37,2626.59,1.37,2626.59,,,,,
12M 2024,1.31,2777.95,1.31,2777.95,,,,,
