Period,Total Pendapatan,Pendapatan Bunga,Provisi Dan Komisi Kredit,Others,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Provisi Dan Komisi Lainnya,Keuntungan Transaksi Mata Uang Asing,Keuntungan (Rugi) Atas Transaksi Derivatif,Kenaikan Nilai Wajar Aset Keuangan,Keuntungan Dari Penjualan Aset-Aset Keuangan,Keuntungan Dari Perubahan Nilai Wajar Efek-Efek,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan Dan Non-Keuangan,Beban Tenaga Kerja,Beban Umum Dan Administrasi,Penurunan Nilai Wajar Aset Keuangan Yang Diperdagangkan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,1212226156911.000000,1212226156911.000000,,,1212226156911.000000,-760869345246.000000,-760869345246.000000,,-760869345246.000000,451356811665.000000,-282461124524.000000,,3543647973.000000,,,,,,20098661809.000000,23642309782.000000,,-49070007700.000000,-154981109542.000000,-102052317064.000000,,,-306103434306.000000,-282461124524.000000,168895687141.000000,-9677346462.000000,,,,-9677346462.000000,159218340679.000000,-51026684539.000000,-51026684539.000000,,-51026684539.000000,108191656140.000000,118471667805.000000,118471667805.000000,118471667805.000000,226663323945.000000,108191656140.000000,108191656140.000000,,108191656140.000000,226663323945.000000,226663323945.000000,,226663323945.000000
12M 2021,1284699065001.000000,1284699065001.000000,,,1284699065001.000000,-657621734701.000000,-657621734701.000000,,-657621734701.000000,627077330300.000000,-341560860517.000000,,2634565626.000000,,,,,,66375653874.000000,69010219500.000000,,-130955883848.000000,-170846575368.000000,-108768620801.000000,,,-410571080017.000000,-341560860517.000000,285516469783.000000,-13162347809.000000,,,,-13162347809.000000,272354121974.000000,-59224949816.000000,-59224949816.000000,,-59224949816.000000,213129172158.000000,-24619504623.000000,-24619504623.000000,-24619504623.000000,188509667535.000000,213129172158.000000,213129172158.000000,,213129172158.000000,188509667535.000000,188509667535.000000,,188509667535.000000
12M 2022,1287835095928.000000,1287835095928.000000,,,1287835095928.000000,-524265912187.000000,-524265912187.000000,,-524265912187.000000,763569183741.000000,-349852113265.000000,,2475789407.000000,,,,,,36668252530.000000,39144041937.000000,,-52858284165.000000,-192823613618.000000,-143314257419.000000,,,-388996155202.000000,-349852113265.000000,413717070476.000000,-19490034387.000000,,,,-19490034387.000000,394227036089.000000,-89624797570.000000,-89624797570.000000,,-89624797570.000000,304602238519.000000,-150468373928.000000,-150468373928.000000,-150468373928.000000,154133864591.000000,304602238519.000000,304602238519.000000,,304602238519.000000,154133864591.000000,154133864591.000000,,154133864591.000000
12M 2023,1477869255192.000000,1477869255192.000000,,,1477869255192.000000,-737591323437.000000,-737591323437.000000,,-737591323437.000000,740277931755.000000,-432102246010.000000,,2542515331.000000,,,,,,52634035782.000000,55176551113.000000,,-758579835.000000,-275920761980.000000,-210599455308.000000,,,-487278797123.000000,-432102246010.000000,308175685745.000000,-8187595682.000000,,,,-8187595682.000000,299988090063.000000,-56131321086.000000,-56131321086.000000,,-56131321086.000000,243856768977.000000,20542713109.000000,20542713109.000000,20542713109.000000,264399482086.000000,243856768977.000000,243856768977.000000,,243856768977.000000,264399482086.000000,264399482086.000000,,264399482086.000000
12M 2024,1797238366212.000000,1797238366212.000000,,,1797238366212.000000,-960332032153.000000,-960332032153.000000,,-960332032153.000000,836906334059.000000,-543933040241.000000,,2609268402.000000,,,,,,51099761906.000000,53709030308.000000,,-23375322734.000000,-320553172478.000000,-253713575337.000000,,,-597642070549.000000,-543933040241.000000,292973293818.000000,-17458648511.000000,,,,-17458648511.000000,275514645307.000000,-60821543348.000000,-60044265600.000000,-777277748.000000,-60821543348.000000,214693101959.000000,-2482256046.000000,-2482256046.000000,-2482256046.000000,212210845913.000000,214693101959.000000,214693101959.000000,,214693101959.000000,212210845913.000000,212210845913.000000,,212210845913.000000
