Period,Arus Kas Dari Aktivitas Operasi,"Penerimaan Pendapatan Bunga, Provisi Dan Komisi",Pembayaran Beban Bunga Dan Beban Syariah,Pembayaran Beban Pendanaan Lainnya,Penerimaan Dari Penjualan Obligasi Pemerintah -Untuk Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Pembelian Obligasi Pemerintah - Untuk Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Laba/(Rugi) Selisih Kurs - Bersih,Pendapatan Dari Kelompok Yang Diperdagangkan,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Gaji Dan Tunjangan,Beban Umum Dan Administrasi,Pembayaran Beban Pajak Penghasilan Badan,Pendapatan (Beban) Bukan Operasional,Penurunan/(Kenaikan) Atas Aset Operasional:,Penempatan Pada Bank Indonesia Dan Bank Lain,Giro Pada Bank Lain,Efek-Efek - Untuk Diukur Pada Nilai Wajar Melalui Laporan Laba Rugi,Tagihan Lainnya - Transaksi Perdagangan,Kredit Yang Diberikan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Piutang Pembiayaan Konsumen,Piutang/ Pembiayaan Syariah,Investasi Bersih Dalam Sewa Pembiayaan,Pajak Dibayar Dimuka,Biaya Dibayar Dimuka,Aset Lain-Lain,Total Penurunan/(Kenaikan) Atas Aset Operasional:,Penerimaan Atas Aset Keuangan Yang Telah Dihapusbukukan,Kenaikan/(Penurunan) Atas Liabilitas Operasional Dan Dana Syirkah Temporer:,Bank Konvensional Dan Syariah -Bukan Dana Syirkah Temporer,Giro,Tabungan,Deposito Berjangka,Total Bank Konvensional Dan Syariah -Bukan Dana Syirkah Temporer,Inter-Bank Call Money,Liabilitas Segera,Liabilitas Kepada Pemegang Polis Unit-Linked,Utang Pajak,Pembayaran Pajak Penghasilan Badan,Simpanan Dari Bank Lain,Liabilitas Lain-Lain,Estimasi Kerugian Atas Komitmen Dan Kontinjensi,Total Kenaikan/(Penurunan) Atas Liabilitas Operasional Dan Dana Syirkah Temporer:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembelian Investasi Pada Efek-Efek Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Pembelian Investasi Pada Efek-Efek Yang Diukur Pada Biaya Perolehan Yang Diamortisasi,Penerimaan Investasi Pada Efek-Efek Diukur Pada Nilai Wajar Melalui Penghasilan Komprehensif Lain,Penerimaan Investasi Pada Efek-Efek Yang Diukur Pada Biaya Perolehan Yang Diamortisasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penambahan Modal Saham,Beban Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,7210593767099.000000,995495514898.000000,-756054462267.000000,,,,,,,,-147014760077.000000,-124850280359.000000,-36091112400.000000,17313660015.000000,,,,,,369253671834.000000,,,,,,,34118802146.000000,403372473980.000000,,,,1590437289303.000000,85155519232.000000,5104190618066.000000,6779783426601.000000,,58267210184.000000,,,,,20372096524.000000,,6858422733309.000000,7210593767099.000000,-6808838383592.000000,-1707478332196.000000,-6048720921737.000000,25000000000.000000,924251000000.000000,213450000.000000,-2103579659.000000,-6808838383592.000000,,,,,401755383507.000000,2700729734911.000000,3517316718.000000,3106002435136.000000
12M 2021,723118286853.000000,1292426741303.000000,-667363440966.000000,,,,,,,,-164122911018.000000,-117352455707.000000,-64004228960.000000,62847059378.000000,,,,,,-406297111733.000000,,,,,,,-79558048267.000000,-485855160000.000000,,,,-216708920029.000000,480634548689.000000,579500774156.000000,843426402816.000000,,-16903439948.000000,,,,,40019719955.000000,,866542682823.000000,723118286853.000000,992617048217.000000,-3867391140992.000000,-2774461958309.000000,830000000000.000000,6808040584335.000000,106000000.000000,-3676436817.000000,992617048217.000000,622707897130.000000,625553040000.000000,-2845142870.000000,622707897130.000000,2338443232200.000000,3106002435136.000000,3802866399.000000,5448248533735.000000
12M 2022,-3101733837680.000000,1290670289904.000000,-524084032462.000000,,,,,,,,-183243285229.000000,-186385963440.000000,-103491740549.000000,33086272407.000000,,,,,,-954282697998.000000,,,,,,,168226098989.000000,-786056599009.000000,,,,-1362766276174.000000,-1387622360077.000000,80226151591.000000,-2670162484660.000000,,99643212963.000000,,,,,-71709507605.000000,,-2642228779302.000000,-3101733837680.000000,1494473366353.000000,-1209671985984.000000,-20000000000.000000,370000000000.000000,2400989958309.000000,104460000.000000,-46949065972.000000,1494473366353.000000,562919920500.000000,562919920500.000000,,562919920500.000000,-1044340550827.000000,5448248533735.000000,3752661485.000000,4407660644393.000000
12M 2023,5085053845458.000000,1501463795596.000000,-711900977325.000000,,,,,,51263836750.000000,,-245211534190.000000,-167274018081.000000,-71137336104.000000,-8241991419.000000,,,,,,-1066217826024.000000,,,,,,,41517254727.000000,-1024700571297.000000,,,,1783899738163.000000,-151149897452.000000,4024593739122.000000,5657343579833.000000,,80268969788.000000,,,,2604661.000000,23177487246.000000,,5760792641528.000000,5085053845458.000000,-2989319335392.000000,-2979082408012.000000,,,,108481180.000000,-10345408560.000000,-2989319335392.000000,,,,,2095734510066.000000,4407660644393.000000,3912714363.000000,6507307868822.000000
12M 2024,-942269377583.000000,1884262199197.000000,-963607212670.000000,,,,,,48573609566.000000,,-317452024994.000000,-209868189673.000000,-61610819897.000000,-13872894952.000000,,,,,,-2282564048437.000000,,,,,,,-281711113339.000000,-2564275161776.000000,,,,150771898953.000000,721130236195.000000,520454374725.000000,1392356509873.000000,,-71811117559.000000,,,,2167627582.000000,-67131902280.000000,,1255581117616.000000,-942269377583.000000,-668431877273.000000,-641307239196.000000,,,,85585586.000000,-27210223663.000000,-668431877273.000000,,,,,-1610701254856.000000,6507307868822.000000,5135420742.000000,4901742034708.000000
