Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2008,,,,,,,,,,7.97,,0.12,,,0.0
12M 2009,,,,,,,,,6.26,6.34,0.16,0.19,,,0.0
12M 2010,,,,,,,,,9.39,9.27,0.26,0.24,,,0.0
12M 2011,,,,,,,,,9.53,8.9,0.25,0.23,,,0.0
12M 2012,,,,,,,,,14.88,13.54,0.27,0.23,,,0.0
12M 2013,,,,,,,,,14.51,14.38,0.21,0.2,,,0.0
12M 2014,,,,,,,,,10.46,9.07,0.11,0.07,,,0.0
12M 2015,,,,,,,,,7.35,7.08,0.07,0.07,,,0.0
12M 2016,,,,,,,,,16.41,26.32,0.11,0.11,,,0.0
12M 2017,,,,,,,,,13.98,14.61,0.11,0.12,,,0.0
12M 2018,,,,,,,,,10.12,9.96,0.14,0.14,,,0.0
12M 2019,,,,,,,,,10.97,11.75,0.15,0.15,,,0.0
12M 2020,,,,,,,,,12.05,13.54,0.14,0.15,,,0.0
12M 2021,,,,,,,,,14.15,15.28,0.13,0.13,,,0.0
12M 2022,,,,,,,,,15.86,16.29,0.12,0.12,,,0.0
12M 2023,,,,,,,,,4.49,2.63,0.12,0.12,,,0.0
12M 2024,,,,,,,,,2.95,2.97,0.12,0.12,,,0.0
