Period,Total Pendapatan,Premi Bruto,Pendapatan Pembiayaan Konsumen,Pendapatan Operasional Lainnya,Komisi Dari Transaksi Perantara Pedagang Efek,Jasa Kegiatan Manager Investasi,Pendapatan Bunga,Others,Total Pendapatan,Total Beban Usaha,Beban Komisi,Kenaikan Manfaat Polis Masa Depan,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Penyusutan,Beban Pemasaran,Others,Total Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,213919800187.000000,,138002182504.000000,,25483796681.000000,8928133154.000000,23543529410.000000,17962158438.000000,213919800187.000000,-133211250386.000000,,,,-63592963321.000000,-4936088347.000000,-4676105194.000000,-54067249397.000000,-127272406259.000000,-5938844127.000000,-133211250386.000000,80708549801.000000,-55180016834.000000,4751694652.000000,601998696.000000,-56550769052.000000,,,-56550769052.000000,-3982941130.000000,-55180016834.000000,25528532967.000000,-9415779306.000000,-9899134600.000000,483355294.000000,-9415779306.000000,16112753661.000000,-938979.000000,16111814682.000000,,,,,16111814682.000000,16112753661.000000,-938979.000000,16111814682.000000,,,,
12M 2009,193837789209.000000,,83214690634.000000,,25266808919.000000,5754381395.000000,33666575773.000000,45935332488.000000,193837789209.000000,-108029859968.000000,,,,-55077627939.000000,-7516023524.000000,-5006755359.000000,-31320567620.000000,-98920974442.000000,-9108885526.000000,-108029859968.000000,85807929241.000000,-79829688917.000000,21546681684.000000,140949840.000000,-81797579742.000000,,,-81797579742.000000,-19719740699.000000,-79829688917.000000,5978240324.000000,918598862.000000,-1606797277.000000,2525396139.000000,918598862.000000,6896839186.000000,-657493.000000,6896181693.000000,,,,,6896181693.000000,6896839186.000000,-657493.000000,6896181693.000000,,,,
12M 2010,290881097724.000000,,89457652185.000000,,22989294493.000000,9049093561.000000,5379201707.000000,164005855778.000000,290881097724.000000,-151452804769.000000,,,,-71797894486.000000,-8438124056.000000,-6308867185.000000,-53155961408.000000,-139700847135.000000,-11751957634.000000,-151452804769.000000,139428292955.000000,-55551211957.000000,7441244216.000000,-357426952.000000,-58274516573.000000,,,-58274516573.000000,-4360512648.000000,-55551211957.000000,83877080998.000000,6410050966.000000,,6410050966.000000,6410050966.000000,90287131964.000000,-2939632.000000,90284192332.000000,,,,,90284192332.000000,90287131964.000000,-2939632.000000,90284192332.000000,,,,
12M 2011,341333413556.000000,44262452072.000000,63544919675.000000,,29359870472.000000,12259731466.000000,12933449139.000000,178972990732.000000,341333413556.000000,-247911352771.000000,-10633708171.000000,-18859246962.000000,,-100763545928.000000,-9797778895.000000,-7916477397.000000,-56186532788.000000,-174664335008.000000,-43754062630.000000,-247911352771.000000,93422060785.000000,-42701544696.000000,6106846639.000000,-495198457.000000,-48725721528.000000,,,-48725721528.000000,412528650.000000,-42701544696.000000,50720516089.000000,-264093040.000000,-82351606.000000,-181741434.000000,-264093040.000000,50456423049.000000,,50456423049.000000,1036512484.000000,1036512484.000000,1036512484.000000,51492935533.000000,50456423049.000000,50464893170.000000,-8470121.000000,50456423049.000000,51492935533.000000,51500632517.000000,-7696984.000000,51492935533.000000
12M 2012,667780348000.000000,149383962000.000000,193215612000.000000,,47846160000.000000,32145367000.000000,23624826000.000000,221564421000.000000,667780348000.000000,-434328763000.000000,-34102174000.000000,,-281541354000.000000,,,,,-281541354000.000000,-118685235000.000000,-434328763000.000000,233451585000.000000,-64211550000.000000,9906001000.000000,,-74117551000.000000,,,-74117551000.000000,,-64211550000.000000,169240035000.000000,-7498974000.000000,-5891096000.000000,-1607878000.000000,-7498974000.000000,161741061000.000000,,161741061000.000000,-345942000.000000,-345942000.000000,-345942000.000000,161395119000.000000,161741061000.000000,161738424000.000000,2637000.000000,161741061000.000000,161395119000.000000,161392723000.000000,2396000.000000,161395119000.000000
12M 2013,717551509000.000000,256206915000.000000,240076086000.000000,,58125316000.000000,74531336000.000000,44323112000.000000,44288744000.000000,717551509000.000000,-567143365000.000000,-57399897000.000000,,-333762905000.000000,,,,,-333762905000.000000,-175980563000.000000,-567143365000.000000,150408144000.000000,-125192981000.000000,16172697000.000000,,-141365678000.000000,,,-141365678000.000000,,-125192981000.000000,25215163000.000000,-19569569000.000000,-24274128000.000000,4704559000.000000,-19569569000.000000,5645594000.000000,,5645594000.000000,-823388000.000000,-823388000.000000,-823388000.000000,4822206000.000000,5645594000.000000,5640834000.000000,4760000.000000,5645594000.000000,4822206000.000000,4817978000.000000,4228000.000000,4822206000.000000
12M 2014,1038931000000.000000,358763000000.000000,,,47012000000.000000,41750000000.000000,107003000000.000000,484403000000.000000,1038931000000.000000,-776694000000.000000,-41592000000.000000,,-488181000000.000000,,,,,-488181000000.000000,-246921000000.000000,-776694000000.000000,262237000000.000000,-206832000000.000000,11014000000.000000,,,-137946000000.000000,-79900000000.000000,-217846000000.000000,,-206832000000.000000,55405000000.000000,-27229000000.000000,,,-27229000000.000000,28176000000.000000,,28176000000.000000,16664000000.000000,16664000000.000000,16664000000.000000,44840000000.000000,28176000000.000000,25162000000.000000,3014000000.000000,28176000000.000000,44840000000.000000,31007000000.000000,13833000000.000000,44840000000.000000
12M 2015,1284463000000.000000,279814000000.000000,378485000000.000000,,34363000000.000000,28252000000.000000,396462000000.000000,167087000000.000000,1284463000000.000000,-1097791000000.000000,-32905000000.000000,,-795729000000.000000,,,,,-795729000000.000000,-269157000000.000000,-1097791000000.000000,186672000000.000000,-237307000000.000000,7213000000.000000,,,-148746000000.000000,-95774000000.000000,-244520000000.000000,,-237307000000.000000,-50635000000.000000,12299000000.000000,,,12299000000.000000,-38336000000.000000,,-38336000000.000000,59390000000.000000,59390000000.000000,59390000000.000000,21054000000.000000,-38336000000.000000,-43249000000.000000,4913000000.000000,-38336000000.000000,21054000000.000000,-19862000000.000000,40916000000.000000,21054000000.000000
12M 2016,2287344000000.000000,314785000000.000000,465543000000.000000,,46266000000.000000,22128000000.000000,10483000000.000000,1428139000000.000000,2287344000000.000000,-1366469000000.000000,-39767000000.000000,,-997940000000.000000,,,,-10158000000.000000,-997940000000.000000,-328762000000.000000,-1366469000000.000000,910717000000.000000,-968512000000.000000,,,,-859693000000.000000,-108819000000.000000,-968512000000.000000,,-968512000000.000000,-57795000000.000000,18854000000.000000,,,18854000000.000000,-38941000000.000000,,-38941000000.000000,-61602000000.000000,-61602000000.000000,-61602000000.000000,-100543000000.000000,-38941000000.000000,-45713000000.000000,6772000000.000000,-38941000000.000000,-100543000000.000000,-107639000000.000000,7096000000.000000,-100543000000.000000
12M 2017,2386245000000.000000,306505000000.000000,647020000000.000000,,48762000000.000000,25284000000.000000,5732000000.000000,1352942000000.000000,2386245000000.000000,-2309110000000.000000,-19598000000.000000,,-1158072000000.000000,,,,-12395000000.000000,-1158072000000.000000,-1131440000000.000000,-2309110000000.000000,64740000000.000000,-1045459000000.000000,,,,-963534000000.000000,-81925000000.000000,-1045459000000.000000,,-1045459000000.000000,-980719000000.000000,243090000000.000000,,,243090000000.000000,-737629000000.000000,,-737629000000.000000,-41478000000.000000,-41478000000.000000,-41478000000.000000,-779107000000.000000,-737629000000.000000,-334654000000.000000,-402975000000.000000,-737629000000.000000,-779107000000.000000,-381776000000.000000,-397331000000.000000,-779107000000.000000
