Period,Arus Kas Dari Aktivitas Operasi,Penjualan Portofolio Efek,Penerimaan (Pembayaran) Dari Premi Dan Klaim Reasuransi,Penerimaan Komisi Perantara Perdagangan Efek,Penerimaan Bunga Dan Jasa Giro,"Bunga, Provisi Dan Komisi Kredit Yang Diterima","Bunga, Hadiah, Provisi Dan Komisi Dana Yang Dibayar",Penerimaan Dari Transaksi Pasar Modal,Penerimaan (Pembayaran) Dari Pembiayaan Konsumen - Bersih,Penerimaan Dari Manajer Investasi,Penerimaan Dari Jasa Penasehat Keuangan,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Kepada Karyawan,Pembayaran Kepada Pemasok,Penerimaan (Pembayaran) Kepada Nasabah,Pembayaran Kepada Pihak Ketiga Lainnya - Bersih,Perolehan Portofolio Efek,Penerimaan Dari Restitusi Pajak,Penerimaan Lainnya,Penjualan Aset Keuangan,Penerimaan Dari Jasa Penjamin Emisi Dan Penjualan Efek,Perolehan Aset Keuangan,Penerimaan Komisi Perantara Perdagangan Obligasi,Penurunan (Kenaikan) Aset Operasi,Penempatan Pada Bank Indonesia Dan Bank Lain,Efek-Efek,Kredit,Tagihan Derivatif,Tagihan Akseptasi,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi,Kenaikan (Penurunan) Liabilitas Operasi,Liabilitas Segera,Simpanan,Simpanan Dari Bank Lain,Surat Berharga Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Derivatif,Liabilitas Akseptasi,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Kas Dan Setara Kas Dari Akuisisi Entitas Anak Setelah Dikurangi Biaya Akuisisi,Penerimaan Dari Penjualan Aset Al-Ijarah,Penerimaan Dari Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Penempatan Aset Al-Ijarah,Penambahan Investasi Pada Entitas Asosiasi,Penempatan Investasi,Penerimaan Hasil Investasi,Penerimaan Deviden,Penerimaan Dari Akuisisi Anak Perusahaan,Kenaikan Bersih Investasi Efek,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Penerimaan Uang Muka Setoran Modal Saham,Penerimaan Setoran Modal Saham,Penerimaan Setoran Modal Saham Dari Pihak Non Pengendali Entitas Anak,Pengembalian Setoran Modal Saham,Pelaksanaan Put & Waran Iv Dan V,Pembayaran Deviden,Pembayaran Pinjaman Pada Pihak Ketiga,Pembayaran Pinjaman Pada Pihak Berelasi,Penerimaan Pelunasan Pinjaman Dari Pihak Berelasi,Pembelian Kembali Saham Beredar,Pembayaran Bunga,Penerimaan Dari Penjualan Saham Yang Diperoleh Kembali,Penerimaan Liabilitas Jangka Panjang Lainnya,Penerbitan Obligasi,Penerbitan Medium Term Notes,Pelunasan Utang Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Eliminasi Karena Konsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,25349609089.000000,147111454932.000000,,25483796681.000000,17212796590.000000,,,,-24767939904.000000,8101036768.000000,12582948625.000000,-39223569240.000000,-49573964434.000000,-54898244267.000000,,-6022494504.000000,-11891705808.000000,,,,,1235493650.000000,,,,,,,,,,,,,,,,,,,,25349609089.000000,-278353049897.000000,,,715747881.000000,-9988732717.000000,,,,,,,,-269080065061.000000,,-278353049897.000000,267848464816.000000,382443416899.000000,,,,,,,-261980995803.000000,,,,,,,147386043720.000000,,,267848464816.000000,14845024008.000000,,,43631897734.000000,58476921742.000000
12M 2009,460782850363.000000,117382189360.000000,,25314446744.000000,25522099443.000000,,,,159835754012.000000,8938031929.000000,4120966035.000000,-7638028552.000000,-34893136942.000000,-53730657006.000000,,252580920281.000000,-36649734941.000000,,,,,,,,,,,,,,,,,,,,,,,,,460782850363.000000,-39156708375.000000,,,619227575.000000,-5353320912.000000,,,,,,,,-34422615038.000000,,-39156708375.000000,-160043947674.000000,127477625450.000000,,,,,,,-287521573124.000000,,,,,,,,,,-160043947674.000000,261582194314.000000,,,58476921742.000000,320059116056.000000
12M 2010,-98177809581.000000,62455186508.000000,-979556099.000000,23745414041.000000,9637371536.000000,,,,131041195227.000000,9926275804.000000,842847200.000000,-5350736901.000000,-37827822224.000000,-80763658465.000000,,-171773243103.000000,-46176603007.000000,,6602474888.000000,,,443045014.000000,,,,,,,,,,,,,,,,,,,,-98177809581.000000,-98524555538.000000,,,1032497000.000000,-5843875839.000000,,,,,,,13003284711.000000,-106716461410.000000,,-98524555538.000000,-19112338106.000000,188604593975.000000,,,,,,-2459537800.000000,-205257394281.000000,,,,,,,,,,-19112338106.000000,-215814703225.000000,,,320059116056.000000,104244412831.000000
12M 2011,25326123210.000000,,35765920016.000000,29417590472.000000,16302730979.000000,,,,15027416580.000000,13677075774.000000,4287184497.000000,-5603035324.000000,-43126339321.000000,-89864978191.000000,,80474349539.000000,-106087826880.000000,,,5235138398.000000,1471753414970.000000,,-1401932518299.000000,,,,,,,,,,,,,,,,,,,25326123210.000000,-38214710065.000000,,,569225715.000000,-15993272948.000000,,,,-26919769198.000000,,,4129106366.000000,,,-38214710065.000000,105038938576.000000,445428071491.000000,,,,,,-2460279300.000000,-337928853615.000000,,,,,,,,,,105038938576.000000,92150351721.000000,,,104244412831.000000,196394764552.000000
12M 2012,-461367222000.000000,1161566537000.000000,88668389000.000000,47846160000.000000,19359574000.000000,,,,-349170209000.000000,37270236000.000000,28055326000.000000,-9481099000.000000,-68352958000.000000,-133684360000.000000,,-169391037000.000000,-186820525000.000000,-934373618000.000000,,7140362000.000000,,,,,,,,,,,,,,,,,,,,,,-461367222000.000000,33800546000.000000,,,6464680000.000000,-13205807000.000000,,,,40541673000.000000,,,,,,33800546000.000000,532331887000.000000,851118209000.000000,,92800859000.000000,,,,-3707421000.000000,-407879760000.000000,,,,,,,,,,532331887000.000000,104765211000.000000,-936144000.000000,,196394765000.000000,300223832000.000000
12M 2013,-269906048000.000000,504824894000.000000,142542020000.000000,58125316000.000000,35712122000.000000,,,,-3733875000.000000,78424893000.000000,13942412000.000000,-18009205000.000000,-134729651000.000000,-169376619000.000000,,34723063000.000000,-300528010000.000000,-517950522000.000000,,6127114000.000000,,,,,,,,,,,,,,,,,,,,,,-269906048000.000000,-582000978000.000000,,,4360492000.000000,-12011281000.000000,,-184876655000.000000,,-389531974000.000000,,58440000.000000,,,,-582000978000.000000,920697890000.000000,1055589508000.000000,363500000000.000000,16470343000.000000,,,,-20417912000.000000,-714934887000.000000,-4500000000.000000,,-9162000.000000,,,,225000000000.000000,,,920697890000.000000,68790864000.000000,3332221000.000000,,300223832000.000000,372346917000.000000
12M 2014,-419598000000.000000,156444000000.000000,151618000000.000000,47012000000.000000,217745000000.000000,,-145521000000.000000,,142186000000.000000,43926000000.000000,1317000000.000000,-39021000000.000000,,-235688000000.000000,-392906000000.000000,19203000000.000000,,-177279000000.000000,,43105000000.000000,,,,,,,656000000.000000,-169142000000.000000,,,1029337000000.000000,860851000000.000000,,459140000000.000000,-1277683000000.000000,-703209000000.000000,,,,409162000000.000000,-1112590000000.000000,-419598000000.000000,1042222000000.000000,2310153000000.000000,5257000000.000000,9494000000.000000,-32379000000.000000,,-126624000000.000000,,-1123715000000.000000,,36000000.000000,,,,1042222000000.000000,1758078000000.000000,1780406000000.000000,-363500000000.000000,2351897000000.000000,,,,-4111000000.000000,-1758977000000.000000,,,-1133000000.000000,-205504000000.000000,,,,,-41000000000.000000,1758078000000.000000,2380702000000.000000,-28000000.000000,,372346000000.000000,2753020000000.000000
12M 2015,886769000000.000000,151826000000.000000,131242000000.000000,34363000000.000000,927724000000.000000,,-662233000000.000000,,-37066000000.000000,31014000000.000000,2796000000.000000,-13915000000.000000,,-355019000000.000000,-499218000000.000000,-39285000000.000000,,-142054000000.000000,,-159299000000.000000,,,,,,,-205264000000.000000,-948770000000.000000,-7550000000.000000,,-66067000000.000000,-1227651000000.000000,,6142000000.000000,2189731000000.000000,625106000000.000000,,3602000000.000000,,-81037000000.000000,2743544000000.000000,886769000000.000000,-942945000000.000000,,2422000000.000000,6465000000.000000,-91372000000.000000,,-19788000000.000000,,-840708000000.000000,,36000000.000000,,,,-942945000000.000000,1103182000000.000000,2093656000000.000000,,1056187000000.000000,,,,-20680000000.000000,-1821306000000.000000,,,,-210048000000.000000,5373000000.000000,,,,,1103182000000.000000,1047006000000.000000,-444000000.000000,,2753020000000.000000,3799582000000.000000
12M 2016,-1018231000000.000000,714932000000.000000,76199000000.000000,46266000000.000000,1051539000000.000000,,-696759000000.000000,,,21675000000.000000,4452000000.000000,-14995000000.000000,,-457591000000.000000,-820559000000.000000,141772000000.000000,,-724939000000.000000,,,,,,,,-28951000000.000000,180963000000.000000,-934372000000.000000,3399000000.000000,,-173935000000.000000,-952896000000.000000,,17896000000.000000,409296000000.000000,6611000000.000000,,-138000000.000000,,159008000000.000000,592673000000.000000,-1018231000000.000000,-1174183000000.000000,,4318000000.000000,9310000000.000000,-67100000000.000000,,-1292000000.000000,,-1121470000000.000000,,2051000000.000000,,,,-1174183000000.000000,1755287000000.000000,3054141000000.000000,,1211322000000.000000,,,,,-2297923000000.000000,,,,-169600000000.000000,16347000000.000000,,,,-59000000000.000000,1755287000000.000000,-437127000000.000000,,,3682608000000.000000,3245481000000.000000
12M 2017,-1739521000000.000000,125770000000.000000,174516000000.000000,48762000000.000000,1045748000000.000000,,-671613000000.000000,,,27808000000.000000,24845000000.000000,-24248000000.000000,,-491382000000.000000,-101080000000.000000,189946000000.000000,,-107288000000.000000,,,,,,,,-53427000000.000000,-96598000000.000000,331791000000.000000,4822000000.000000,,-536538000000.000000,-349950000000.000000,,7569000000.000000,-1148240000000.000000,-310059000000.000000,,-3481000000.000000,,-177144000000.000000,-1631355000000.000000,-1739521000000.000000,238218000000.000000,,4142000000.000000,7571000000.000000,-61011000000.000000,,,,286457000000.000000,,1059000000.000000,,,,238218000000.000000,36496000000.000000,3558163000000.000000,,,,,,,-3195743000000.000000,,,,-359424000000.000000,,,,68500000000.000000,-35000000000.000000,36496000000.000000,-1464807000000.000000,,,3245481000000.000000,1780674000000.000000
