Period,Aset,Kas Dan Setara Kas,Piutang Nasabah,Pihak Berelasi,Pihak Ketiga,Total Piutang Nasabah,Piutang Pembiayaan Konsumen,Piutang Pembiayaan Konsumen,Pihak Berelasi,Pihak Ketiga,Total Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Piutang Premi Dan Reasuransi,Piutang Premi Dan Reasuransi,Pihak Berelasi,Pihak Ketiga,Total Piutang Premi Dan Reasuransi,Others,Total Piutang Premi Dan Reasuransi,Investasi Pada Entitas Asosiasi,Piutang Sewa Pembiayaan,Aset Reasuransi,Portofolio Efek,Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tak Berwujud,Aset Tetap,Goodwill,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Pada Lembaga Kliring Dan Penjaminan,Utang Nasabah,Utang Usaha,Utang Reasuransi,Others,Total Simpanan Nasabah,Liabilitas Segera,Liabilitas Akseptasi,Wesel Bayar,Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Pajak Tangguhan,Utang Klaim,Pinjaman Yang Diterima,Utang Obligasi,Utang Sewa Pembiayaan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,58476921742.000000,,,211710930193.000000,211710930193.000000,,291604599024.000000,,291604599024.000000,291604599024.000000,,291604599024.000000,,,,,,,,,32611881226.000000,,326171270974.000000,174723921.000000,4425033943.000000,,31024924284.000000,,449788808302.000000,1405989093609.000000,,,426378965861.000000,43647929218.000000,8449199588.000000,,,,,,,1168364335.000000,12788879800.000000,7495672535.000000,,,237095241706.000000,296313062997.000000,104452973.000000,,1033441769013.000000,,125017500000.000000,35224473035.000000,213635778335.000000,,213635778335.000000,213635778335.000000,16292080.000000,-1346718854.000000,372547324596.000000,1405989093609.000000,1250175000.000000
12M 2009,,320059116056.000000,,,132733414794.000000,132733414794.000000,,203185759843.000000,,203185759843.000000,203185759843.000000,,203185759843.000000,,,,,,,,,54740771015.000000,,232995163214.000000,2285666892.000000,6950430082.000000,,30896769065.000000,,70761357254.000000,1054608448215.000000,,,19129335000.000000,241906096140.000000,5587209862.000000,,,,,,,323466889.000000,11719519722.000000,1811638876.000000,,,95190215587.000000,298009381757.000000,1487420600.000000,,675164284433.000000,,125017500000.000000,35224473035.000000,220531960028.000000,,220531960028.000000,220531960028.000000,16949573.000000,-1346718854.000000,379444163782.000000,1054608448215.000000,1250175000.000000
12M 2010,,104244412831.000000,,,201104692002.000000,201104692002.000000,,187703039385.000000,,187703039385.000000,187703039385.000000,,187703039385.000000,,,,,,,,,81418334915.000000,,425140412849.000000,1524815151.000000,14776632718.000000,,31043494014.000000,3837850289.000000,151786404973.000000,1202580089127.000000,,,64868679500.000000,192686564269.000000,18513587428.000000,,,,,,41220000000.000000,9162904622.000000,12362297180.000000,2581978603.000000,1209790974.000000,,218386116305.000000,149636950517.000000,7284294274.000000,17680126420.000000,735593290092.000000,,125017500000.000000,35224473035.000000,307900079027.000000,,307900079027.000000,307900079027.000000,58648230.000000,-1213901257.000000,466986799035.000000,1202580089127.000000,1250175000.000000
12M 2011,,196394764552.000000,,,215260102816.000000,215260102816.000000,,316366284985.000000,,316366284985.000000,316366284985.000000,,316366284985.000000,,16844389142.000000,,16844389142.000000,16844389142.000000,,16844389142.000000,,80647343201.000000,,459853771273.000000,16819076612.000000,16914400222.000000,,40556695739.000000,5493623280.000000,133652698376.000000,1498803150198.000000,,,69918624500.000000,265720611446.000000,21626460572.000000,4551646064.000000,,,,,65500000000.000000,54419704914.000000,20449228352.000000,3685285561.000000,3465464197.000000,,324612510863.000000,94079872493.000000,1991798458.000000,52764615641.000000,982785823061.000000,,125017500000.000000,35224473035.000000,355864622197.000000,,355864622197.000000,355864622197.000000,91577023.000000,-180845118.000000,516017327137.000000,1498803150198.000000,1250175000.000000
12M 2012,,300223832000.000000,,,1408768034000.000000,1408768034000.000000,,663459844000.000000,,663459844000.000000,663459844000.000000,,663459844000.000000,,58695757000.000000,,58695757000.000000,58695757000.000000,,58695757000.000000,,160016207000.000000,38596077000.000000,379443678000.000000,584368000.000000,12445865000.000000,693974000.000000,49172145000.000000,5493623000.000000,342084095000.000000,3419677499000.000000,,,212646746000.000000,1178776781000.000000,34286941000.000000,25840315000.000000,,,,,75000000000.000000,11908400000.000000,22022110000.000000,11599089000.000000,604807000.000000,2057957000.000000,674496659000.000000,94003455000.000000,6691456000.000000,293892509000.000000,2643827225000.000000,,134487725000.000000,121927702000.000000,513833388000.000000,1000000000.000000,512833388000.000000,513833388000.000000,96598000.000000,5504861000.000000,775850274000.000000,3419677499000.000000,1344877250.000000
12M 2013,,372346917000.000000,,,343642324000.000000,343642324000.000000,,829548631000.000000,,829548631000.000000,829548631000.000000,,829548631000.000000,,135399833000.000000,,135399833000.000000,135399833000.000000,,135399833000.000000,,131450752000.000000,63716622000.000000,398533117000.000000,12265638000.000000,16545617000.000000,3438984000.000000,49702322000.000000,5493623000.000000,1102908114000.000000,3464992494000.000000,,,97370862000.000000,277123777000.000000,27003941000.000000,31489934000.000000,,,,,,15926673000.000000,21866344000.000000,19132371000.000000,,6244720000.000000,758852564000.000000,321301219000.000000,5264011000.000000,754035423000.000000,2335611839000.000000,,136434750000.000000,146308244000.000000,492069439000.000000,2000000000.000000,490069439000.000000,492069439000.000000,95404000.000000,354472818000.000000,1129380655000.000000,3464992494000.000000,1364347500.000000
12M 2014,,2753020000000.000000,,11000000.000000,533566000000.000000,533577000000.000000,,1269252000000.000000,40081000000.000000,1229171000000.000000,1269252000000.000000,-13871000000.000000,1255381000000.000000,,324395000000.000000,19998000000.000000,304397000000.000000,324395000000.000000,-841000000.000000,323554000000.000000,,,,,,102879000000.000000,,149007000000.000000,364163000000.000000,9534609000000.000000,15016190000000.000000,,,165189000000.000000,442731000000.000000,,147451000000.000000,7697103000000.000000,7697103000000.000000,21140000000.000000,,,113214000000.000000,,22576000000.000000,,,,280990000000.000000,11718000000.000000,9941438000000.000000,11146447000000.000000,,400318000000.000000,2265021000000.000000,513122000000.000000,2500000000.000000,510622000000.000000,513122000000.000000,758197000000.000000,-66915000000.000000,3869743000000.000000,15016190000000.000000,4003176745.000000
12M 2015,,3799582000000.000000,,,1188893000000.000000,1188893000000.000000,,1813169000000.000000,80016000000.000000,1733153000000.000000,1813169000000.000000,-13823000000.000000,1799346000000.000000,,338729000000.000000,5840000000.000000,332889000000.000000,338729000000.000000,-8120000000.000000,330609000000.000000,,,,,,110126000000.000000,,200743000000.000000,364163000000.000000,11601207000000.000000,19394669000000.000000,,,195519000000.000000,1042087000000.000000,,180488000000.000000,9624415000000.000000,9624415000000.000000,14127000000.000000,,,35026000000.000000,,30130000000.000000,,,,281508000000.000000,16127000000.000000,12395651000000.000000,14190663000000.000000,,468939000000.000000,3257687000000.000000,450045000000.000000,3500000000.000000,446545000000.000000,450045000000.000000,1054421000000.000000,-27086000000.000000,5204006000000.000000,19394669000000.000000,4689385060.000000
12M 2016,,3245481000000.000000,,,1213479000000.000000,1213479000000.000000,,2760534000000.000000,197755000000.000000,2562779000000.000000,2760534000000.000000,-21552000000.000000,2738982000000.000000,,382469000000.000000,9680000000.000000,372789000000.000000,382469000000.000000,-9378000000.000000,373091000000.000000,,,,,,224300000000.000000,,77967000000.000000,140635000000.000000,14202084000000.000000,22216019000000.000000,,,121023000000.000000,1148686000000.000000,,183995000000.000000,10175824000000.000000,10175824000000.000000,33266000000.000000,,,272662000000.000000,,28362000000.000000,,,,254082000000.000000,17664000000.000000,13751000000000.000000,15810740000000.000000,,547284000000.000000,4390461000000.000000,404332000000.000000,3500000000.000000,400832000000.000000,404332000000.000000,1142224000000.000000,-79022000000.000000,6405279000000.000000,22216019000000.000000,5472838318.000000
12M 2017,,1780674000000.000000,,,811042000000.000000,811042000000.000000,,2825737000000.000000,184885000000.000000,2640852000000.000000,2825737000000.000000,-22184000000.000000,2803553000000.000000,,459680000000.000000,34993000000.000000,424687000000.000000,459680000000.000000,-10577000000.000000,449103000000.000000,,,,,,397604000000.000000,,263440000000.000000,364163000000.000000,13013684000000.000000,19883263000000.000000,,,172534000000.000000,782331000000.000000,,288999000000.000000,8977049000000.000000,8977049000000.000000,14726000000.000000,,,204503000000.000000,,27056000000.000000,,,,294208000000.000000,47394000000.000000,12423992000000.000000,14255743000000.000000,,547284000000.000000,4390461000000.000000,69678000000.000000,3500000000.000000,66178000000.000000,69678000000.000000,742237000000.000000,-122140000000.000000,5627520000000.000000,19883263000000.000000,5472838318.000000
