Period,Aset,Kas Dan Setara Kas,Pihak Berelasi,Pihak Ketiga,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Deposito Berjangka,Portofolio Efek,Pihak Berelasi,Pihak Ketiga,Total Portofolio Efek,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Nasabah,Pihak Ketiga,Total Piutang Nasabah,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Utang Bank Jangka Panjang,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,17968471701.000000,,,17968471701.000000,,,,,,,2753740300.000000,642934879.000000,3396675179.000000,27351492.000000,,,27351492.000000,,,,441283619342.000000,89612552.000000,,1123295231.000000,463889025497.000000,,,105753489.000000,2508549146.000000,513000000.000000,1995549146.000000,2508549146.000000,46000471320.000000,3413347250.000000,42587124070.000000,46000471320.000000,98334273933.000000,17608028700.000000,164557076588.000000,,1109250000000.000000,,-825156782739.000000,,,-825156782739.000000,15238731648.000000,299331948909.000000,463889025497.000000,2218500000.000000
12M 2009,,3726638456.000000,,,3726638456.000000,,,,,,,1446946050.000000,1118017815.000000,2564963865.000000,13323583.000000,,,13323583.000000,,,,421355365598.000000,53902092.000000,,630910786.000000,428345104380.000000,,,128616482.000000,2011910660.000000,,2011910660.000000,2011910660.000000,53227458753.000000,3541332500.000000,49686126253.000000,53227458753.000000,98334273933.000000,15159732400.000000,168861992228.000000,,1109250000000.000000,,-796083135430.000000,,,-796083135430.000000,-53683752418.000000,259483112152.000000,428345104380.000000,2218500000.000000
12M 2010,,11200995454.000000,,,11200995454.000000,,,,,,,2178895100.000000,2147257475.000000,4326152575.000000,,11289240.000000,,11289240.000000,,7397260.000000,7397260.000000,569767142483.000000,570055269.000000,,696709137.000000,586579741418.000000,,,106170466.000000,2023668740.000000,,2023668740.000000,2023668740.000000,60622298949.000000,3605697851.000000,57016601098.000000,60622298949.000000,98334273933.000000,14513698086.000000,175600110174.000000,,1109250000000.000000,,-663106283380.000000,,,-663106283380.000000,-35164085376.000000,410979631244.000000,586579741418.000000,2218500000.000000
12M 2011,,57925094613.000000,,,57925094613.000000,,,,,,,2069122883.000000,1455053015.000000,3524175898.000000,91619378.000000,,,91619378.000000,,,,553776329418.000000,611468897.000000,,966983918.000000,616895672122.000000,,,117582174.000000,25581513.000000,,25581513.000000,25581513.000000,,,,,,3797168000.000000,3940331687.000000,,1257150000000.000000,56904546602.000000,-666781821888.000000,,,-666781821888.000000,-34317384279.000000,612955340435.000000,616895672122.000000,2588250000.000000
12M 2012,,,4043793451.000000,39874808392.000000,43918601843.000000,,,,,,,27866191786.000000,3260445435.000000,31126637221.000000,9553684.000000,,,9553684.000000,,,,687951893437.000000,354761855.000000,,1097568517.000000,764459016557.000000,,,220355494.000000,30353035.000000,,30353035.000000,30353035.000000,,,,,,3126304000.000000,3377012529.000000,,1257150000000.000000,56904546602.000000,-546448663616.000000,,,-546448663616.000000,-6523878958.000000,761082004028.000000,764459016557.000000,2588250000.000000
12M 2013,,,9102569557.000000,28195394725.000000,37297964282.000000,,,,,,,51981495129.000000,2257506892.000000,54239002021.000000,14657588.000000,,,14657588.000000,,,,850558068319.000000,301484681.000000,,1191365349.000000,943602542240.000000,,,333862998.000000,46433596.000000,,46433596.000000,46433596.000000,,,,,,3973422000.000000,4353718594.000000,,1257150000000.000000,-203204045816.000000,-377661947778.000000,,,-377661947778.000000,262964817240.000000,939248823646.000000,943602542240.000000,2588250000.000000
12M 2014,,,10155616878.000000,28086740979.000000,38242357857.000000,,,,,,,70401849258.000000,18451355028.000000,88853204286.000000,142763562.000000,,,142763562.000000,,,,1055461144435.000000,188237940.000000,,1177917453.000000,1184065625533.000000,,,348370269.000000,52758556.000000,,52758556.000000,52758556.000000,,,,,,5025537000.000000,5426665825.000000,,1257150000000.000000,-203204045816.000000,-170312833200.000000,,,-170312833200.000000,295005838724.000000,1178638959708.000000,1184065625533.000000,2588250000.000000
12M 2015,,,26171482422.000000,27073827010.000000,53245309432.000000,,,,,689750000.000000,,95932963938.000000,1795834012.000000,97728797950.000000,,,,,,,,1010271264024.000000,207051906.000000,,1426056582.000000,1163568229894.000000,,,302022970.000000,54211355.000000,,54211355.000000,54211355.000000,,,,,,8607594000.000000,8963828325.000000,,1257150000000.000000,-203204045816.000000,34654125894.000000,,,34654125894.000000,66004321491.000000,1154604401569.000000,1163568229894.000000,2588250000.000000
12M 2016,,,22728139858.000000,20569698508.000000,43297838366.000000,,,,,671800000.000000,,128143778175.000000,2035178434.000000,130178956609.000000,,,,,,,,1052648535989.000000,673861539.000000,,902609244.000000,1228373601747.000000,,,214000791.000000,63426177.000000,,63426177.000000,63426177.000000,,,,,,11110961000.000000,11388387968.000000,,1257150000000.000000,-202679045816.000000,70664485349.000000,,,70664485349.000000,91849774246.000000,1216985213779.000000,1228373601747.000000,2588250000.000000
12M 2017,,,45531576943.000000,10934374812.000000,56465951755.000000,,,,,677400000.000000,,134541141399.000000,2425030463.000000,136966171862.000000,,,,,,,,1031717749931.000000,612065879.000000,,1135489731.000000,1227574829158.000000,,,678812409.000000,251908305.000000,,251908305.000000,251908305.000000,585000000.000000,,,585000000.000000,,12567720000.000000,14083440714.000000,,1257150000000.000000,-202679045816.000000,68733133762.000000,1000000000.000000,67733133762.000000,68733133762.000000,90287300498.000000,1213491388444.000000,1227574829158.000000,2588250000.000000
