Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari :,Penghasilan Bunga,Penjualan Portofolio Efek Untuk Diperdagangkan,Distribusi Pendapatan Dari Reksa Dana,Jasa Konsultasi Manajemen,Pendapatan Dividen,Jasa Manajer Investasi,Penempatan Reksadana,Pencairan Reksadana,Lain-Lain,Total Penerimaan Kas Dari :,Pengeluaran Kas Untuk :,Beban Usaha Dan Pihak Lainnya,Gaji Dan Tunjangan Karyawan,Pembelian Portofolio Efek Untuk Diperdagangkan,Beban Bunga,Lain-Lain,Pembayaran Pajak,Total Pengeluaran Kas Untuk :,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Deviden Tunai,Pencairan Investasi Lainnya,Pencairan Deposito Berjangka,Penjualan Saham Entitas Asosiasi - Net,Pencairan Reksa Dana,Penjualan Portfolio Efek Untuk Diperdagangkan,Pembelian Portfolio Efek Untuk Diperdagangkan,Pendapatan Investasi Lainnya,Perolehan Aset Tetap,Pencairan Obligasi,Perolehan Investasi Lainnya,Penjualan Investasi Jangka Panjang,Penjualan Aset Tetap,Perolehan Piranti Lunak,Investasi Jangka Panjang Lainnya,Penempatan Reksadana,Pembelian Saham Perusahaan Asosiasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Bersih Dari Penawaran Umum Terbatas Iii,Pengeluaran Untuk Beban Emisi Saham,Pembayaran Bunga Pinjaman,Pembayaran Utang Kepada Pemegang Saham Dan Pihak Ketiga,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,10433474521.000000,,530015828.000000,14944843607.000000,,,,800000000.000000,,,,16274859435.000000,,-3142174802.000000,-2663210112.000000,,,,-36000000.000000,-5841384914.000000,10433474521.000000,5052387334.000000,5078439728.000000,,,,,,,,-26052394.000000,,,,,,,,,5052387334.000000,,,,,,,15485861855.000000,,2482609846.000000,17968471701.000000
12M 2009,-3590336331.000000,,311864683.000000,71723559.000000,,,,512765956.000000,,,,896354198.000000,,-1487218531.000000,-2999471998.000000,,,,,-4486690529.000000,-3590336331.000000,-10651496914.000000,5069997537.000000,,,,,,,,-5625000.000000,,,,,,,,-15715869451.000000,-10651496914.000000,,,,,,,-14241833245.000000,,17968471701.000000,3726638456.000000
12M 2010,-4465580762.000000,,567375661.000000,861472017.000000,,,,,,,,1428847678.000000,,-1017706922.000000,-4549196518.000000,-327525000.000000,,,,-5894428440.000000,-4465580762.000000,11939937760.000000,12498282760.000000,,,,,,,,-558345000.000000,,,,,,,,,11939937760.000000,,,,,,,7474356998.000000,,3726638456.000000,11200995454.000000
12M 2011,-69005338265.000000,,1010470255.000000,300286004.000000,,,,154702578.000000,,,,1465458837.000000,,-1393615337.000000,-4709948730.000000,,-64367233035.000000,,,-70470797102.000000,-69005338265.000000,22854924095.000000,23197688340.000000,,,,,,,,-342764245.000000,,,,,,,,,22854924095.000000,92874513329.000000,204804546602.000000,,,-111930033273.000000,92874513329.000000,46724099159.000000,,11200995454.000000,57925094613.000000
12M 2012,-28534942954.000000,,1494569383.000000,,,,,472250869.000000,,,,1966820252.000000,,-1132744683.000000,-5869018523.000000,-23500000000.000000,,,,-30501763206.000000,-28534942954.000000,14267918913.000000,14329553094.000000,,,,,,,,-61634181.000000,,,,,,,,,14267918913.000000,,,,,,,-14267024041.000000,260531271.000000,57925094613.000000,43918601843.000000
12M 2013,-26165321535.000000,,1737609756.000000,,,,,686249726.000000,,,,2423859482.000000,,-1270305173.000000,-7318875844.000000,-20000000000.000000,,,,-28589181017.000000,-26165321535.000000,18556999762.000000,18696819087.000000,,,,,,,,-139819325.000000,,,,,,,,,18556999762.000000,,,,,,,-7608321773.000000,987684212.000000,43918601843.000000,37297964282.000000
12M 2014,-33842719179.000000,,2956772682.000000,,,,,901401161.000000,,1000000000.000000,,4858173843.000000,,-1429009137.000000,-8263883885.000000,-29008000000.000000,,,,-38700893022.000000,-33842719179.000000,34785622139.000000,34792733639.000000,,,,,,,,-7111500.000000,,,,,,,,,34785622139.000000,,,,,,,942902960.000000,1490615.000000,37297964282.000000,38242357857.000000
12M 2015,-14702977628.000000,,2948522765.000000,,1182062320.000000,,45572929.000000,1302929009.000000,,,,5479087023.000000,,-1635203222.000000,-8554861429.000000,-9992000000.000000,,,,-20182064651.000000,-14702977628.000000,30288233000.000000,30589253500.000000,,,,,,,,-96395500.000000,,,,,-204625000.000000,,,,30288233000.000000,,,,,,,15585255372.000000,8346203.000000,37651707857.000000,53245309432.000000
12M 2016,-31323879522.000000,,2308634751.000000,,1217923835.000000,,11643590.000000,2017840237.000000,,,,5556042413.000000,,-1473635111.000000,-9403803240.000000,-26002483584.000000,,,,-36879921935.000000,-31323879522.000000,21379178500.000000,21539178500.000000,,,,,,,,-30000000.000000,,,,,-130000000.000000,,,,21379178500.000000,,,,,,,-9944701022.000000,-2770044.000000,53245309432.000000,43297838366.000000
12M 2017,-11424583096.000000,,2242604788.000000,388906499.000000,1179400887.000000,,8237955.000000,2270886537.000000,,,,6090036666.000000,,-524424454.000000,-16989879708.000000,-315600.000000,,,,-17514619762.000000,-11424583096.000000,24591659127.000000,24616204000.000000,,,,,,,,-24544873.000000,,,,,,,,,24591659127.000000,,,,,,,13167076031.000000,1037358.000000,43297838366.000000,56465951755.000000
12M 2018,-21474310486.000000,,2513427136.000000,,882715528.000000,,12138603.000000,2404300758.000000,,13370743900.000000,,19183325925.000000,,-2866186965.000000,-37067278425.000000,-724171021.000000,,,,-40657636411.000000,-21474310486.000000,23451689000.000000,22806189000.000000,,725200000.000000,,,,,,-79700000.000000,,,,,,,,,23451689000.000000,,,,,,,1977378514.000000,11910892.000000,56465951755.000000,58455241161.000000
12M 2019,-8740028775.000000,,2536577228.000000,,,,4697728.000000,2830933321.000000,,21001358279.000000,,26373566556.000000,,-4553493148.000000,-30560102183.000000,,,,,-35113595331.000000,-8740028775.000000,24592067538.000000,24616204000.000000,,,,,,,,-24136462.000000,,,,,,,,,24592067538.000000,,,,,,,15852038763.000000,-8627071.000000,58455241161.000000,74298652853.000000
