Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,167058012717.000000,-128922375475.000000,38135637242.000000,-26391897870.000000,-1708943721.000000,-24682954149.000000,-26391897870.000000,11743739372.000000,-8556945510.000000,,-9891421368.000000,1334475858.000000,-8556945510.000000,3186793862.000000,-1277926916.000000,-1468305044.000000,190378128.000000,-1277926916.000000,62965174.000000,1971832120.000000,3979966.000000,,1975812086.000000,1971832120.000000,794931865.000000,1176900255.000000,1971832120.000000,1975812086.000000,853991127.000000,1121820959.000000,1975812086.000000
12M 2020,329218080439.000000,-276289812526.000000,52928267913.000000,-29433473127.000000,-2583310216.000000,-26850162911.000000,-29433473127.000000,23494794786.000000,-7567928431.000000,,-10627780827.000000,3059852396.000000,-7567928431.000000,15926866355.000000,-3055951261.000000,-3523922024.000000,467970763.000000,-3055951261.000000,-1189875308.000000,11681039786.000000,56348872088.000000,,68029911874.000000,11681039786.000000,10539756720.000000,1141283066.000000,11681039786.000000,68029911874.000000,66901273378.000000,1128638496.000000,68029911874.000000
12M 2021,1454146317319.000000,-1189169487092.000000,264976830227.000000,-73136484127.000000,-32843559878.000000,-40292924249.000000,-73136484127.000000,191840346100.000000,-14371468641.000000,,-12399933257.000000,-1971535384.000000,-14371468641.000000,177468877459.000000,-38894850217.000000,-39293178760.000000,398328543.000000,-38894850217.000000,-3439247238.000000,135134780004.000000,1942420969.000000,,137077200973.000000,135134780004.000000,133663414137.000000,1471365867.000000,135134780004.000000,137077200973.000000,135556590755.000000,1520610218.000000,137077200973.000000
12M 2022,1491553148517.000000,-1246541190546.000000,245011957971.000000,-101358363238.000000,-49649902092.000000,-51708461146.000000,-101358363238.000000,143653594733.000000,-28709308296.000000,,-19992808340.000000,-8716499956.000000,-28709308296.000000,114944286437.000000,-25011732605.000000,-25288618431.000000,276885826.000000,-25011732605.000000,,89932553832.000000,-1303384891.000000,,88629168941.000000,89932553832.000000,87842470401.000000,2090083431.000000,89932553832.000000,88629168941.000000,86180244199.000000,2448924742.000000,88629168941.000000
12M 2023,1272200321269.000000,-1021946826730.000000,250253494539.000000,-98439291896.000000,-44080713340.000000,-54358578556.000000,-98439291896.000000,151814202643.000000,10440018667.000000,,-13730988658.000000,24171007325.000000,10440018667.000000,162254221310.000000,-35211291429.000000,-34072735817.000000,-1138555612.000000,-35211291429.000000,,127042929881.000000,-2882772684.000000,,124160157197.000000,127042929881.000000,124903779869.000000,2139150012.000000,127042929881.000000,124160157197.000000,122045989623.000000,2114167574.000000,124160157197.000000
12M 2024,1233328155585.000000,-1027691065487.000000,205637090098.000000,-119935479131.000000,-59413572206.000000,-60521906925.000000,-119935479131.000000,85701610967.000000,-12192190547.000000,434370916.000000,-13045693530.000000,419132067.000000,-12192190547.000000,73509420420.000000,-15246817524.000000,,,-15246817524.000000,,58262602896.000000,68130409.000000,,58330733305.000000,58262602896.000000,55863111502.000000,2399491394.000000,58262602896.000000,58330733305.000000,55905490518.000000,2425242787.000000,58330733305.000000
