Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Operasional,Pembayaran Kas Kepada Karyawan,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Pajak,Pengembalian (Penempatan) Uang Jaminan,Penerimaan Restitusi Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penjualan Aset Tetap,Penerimaan Bunga,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Takberwujud,Penambahan Investasi Deposito,Penambahan Investasi Saham,Penambahan Piutang Lain-Lain Pihak Berelasi,Penjualan Investasi Saham,Penambahan (Pengurangan) Aset Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Biaya Emisi Saham,Penerimaan Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Lembaga Keuangan,Penambahan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Dividen,Pembayaran Bunga,Penerimaan Dari Penambahan Kepemilikan Dari Non Pengendali,Penerimaan Dari Penawaran Umum Saham Perdana,Penerimaan (Pengeluaran) Kas Lainnya Dari Aktivitas Pendanaan,Setoran Modal Kepentingan Nonpengendali,Setoran Modal,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,37222727441.000000,174593275500.000000,-122078702884.000000,-14705956907.000000,-8627291163.000000,,,-794710172.000000,,8836113067.000000,37222727441.000000,-21840407048.000000,-21921206688.000000,53500000.000000,22219640.000000,,,,,,,5080000.000000,-21840407048.000000,-13483435105.000000,,119959780241.000000,-127239080549.000000,32300000000.000000,-17336647696.000000,-60144794.000000,41668070000.000000,-53560620000.000000,,-9214792307.000000,,,,,,,-13483435105.000000,1898885288.000000,14404916840.000000,16303802128.000000
12M 2020,64885417824.000000,338179526697.000000,-250109482373.000000,-7485488531.000000,-14683845866.000000,,,-3728924933.000000,,2713632830.000000,64885417824.000000,-7084723254.000000,-11304341430.000000,4156726545.000000,54274631.000000,,,,,,,8617000.000000,-7084723254.000000,-56961058597.000000,,207485958539.000000,-204637663574.000000,3400000000.000000,-27127647584.000000,-839425151.000000,38516338800.000000,-63130838800.000000,,-10627780827.000000,,,,,,,-56961058597.000000,839635973.000000,16303802128.000000,17143438101.000000
12M 2021,44544579398.000000,1340879597015.000000,-1216380829909.000000,-43147454704.000000,-25849900366.000000,,,-15279606982.000000,,4322774344.000000,44544579398.000000,-71730975255.000000,-53851848261.000000,213181818.000000,115256188.000000,-145500000.000000,,,-19578473051.000000,,1500355051.000000,16053000.000000,-71730975255.000000,28872041499.000000,-1425000000.000000,2031881559540.000000,-1966499780351.000000,66811181969.000000,-52824859135.000000,-1837883046.000000,34224854787.000000,-72189724787.000000,,-12176307478.000000,,,,,2908000000.000000,,28872041499.000000,1685645642.000000,17143438101.000000,18829083743.000000
12M 2022,-62529319542.000000,1488573125496.000000,-1352739376383.000000,-113940409088.000000,-24222679896.000000,,,-60199979671.000000,,,-62529319542.000000,-43170307974.000000,-34383866654.000000,2062628823.000000,1085634162.000000,,-5292000000.000000,-6710000000.000000,,,62275695.000000,5020000.000000,-43170307974.000000,185455825901.000000,-4490017405.000000,561414142478.000000,-489161142478.000000,12700000000.000000,-25192728054.000000,-1772345009.000000,634504167.000000,-4100000000.000000,,-11978297798.000000,,145617710000.000000,,1784000000.000000,,,185455825901.000000,79756198385.000000,18829083743.000000,98585282128.000000
12M 2023,262892590004.000000,1307164494164.000000,-945935373930.000000,-41923243322.000000,-33295711393.000000,,,-23117575515.000000,,,262892590004.000000,-61696064691.000000,-18043848050.000000,228187387.000000,893882472.000000,,,-44774286500.000000,,,,,-61696064691.000000,-240567647513.000000,,347400000000.000000,-480900000000.000000,16137500000.000000,-20141457537.000000,-1486299651.000000,380000000.000000,-634504167.000000,-87601897500.000000,-13730988658.000000,,,,10000000.000000,,,-240567647513.000000,-39371122200.000000,98585282128.000000,59214159928.000000
12M 2024,68150471784.000000,1252020851961.000000,-1074201713431.000000,-40485842007.000000,-41773144803.000000,,,-45993166446.000000,,18583486510.000000,68150471784.000000,-37933840045.000000,-39655601799.000000,1287390838.000000,434370916.000000,,,,,,,,-37933840045.000000,-35625421559.000000,,431987000000.000000,-371660779898.000000,,,-1531468623.000000,,-5452835008.000000,-75921644500.000000,-13045693530.000000,,,,,,,-35625421559.000000,-5408789820.000000,59214159928.000000,53805370108.000000
