Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2019,,,,,,,,,,,,,28.04,,1.04
12M 2020,25.38,150.01,41.16,134.23,14.38,,2.43,,2.57,,1.07,,32.29,,1.06
12M 2021,22.14,58.54,32.48,48.2,16.49,,6.23,,8.41,,2.82,,13.93,,1.26
12M 2022,42.03,96.51,65.95,72.59,8.68,7.8,3.78,2.77,7.52,7.28,1.67,1.33,4.98,4.98,1.54
12M 2023,49.13,132.84,94.8,87.17,7.43,9.4,2.75,2.74,6.28,6.33,1.25,1.32,4.4,4.4,1.77
12M 2024,41.11,138.75,101.6,78.26,8.88,9.11,2.63,2.37,5.94,5.71,1.25,2.37,4.44,4.44,1.56
