Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,399708012170.000000,-384954142502.000000,14753869668.000000,-13916486591.000000,-6192541662.000000,-7723944929.000000,-13916486591.000000,837383077.000000,-167461077.000000,430214.000000,-922442275.000000,754550984.000000,-167461077.000000,669922000.000000,-378377229.000000,291544771.000000,16189285.000000,307734056.000000,291544771.000000,291544771.000000,,291544771.000000,307734056.000000,307734056.000000,,307734056.000000
12M 2020,338741071082.000000,-324758669058.000000,13982402024.000000,-11032062265.000000,-1528753618.000000,-9503308647.000000,-11032062265.000000,2950339759.000000,-794368780.000000,3953945.000000,-1160502771.000000,362180046.000000,-794368780.000000,2155970979.000000,-579738607.000000,1576232372.000000,-14927940.000000,1561304432.000000,1576232372.000000,1576232372.000000,,1576232372.000000,1561304432.000000,1561304432.000000,,1561304432.000000
12M 2021,939209437028.000000,-907385689272.000000,31823747756.000000,-25054337242.000000,-8834000518.000000,-16220336724.000000,-25054337242.000000,6769410514.000000,643201337.000000,38717810.000000,-1163263195.000000,1767746722.000000,643201337.000000,7412611851.000000,-1840344242.000000,5572267609.000000,-416567514.000000,5155700095.000000,5572267609.000000,5572267609.000000,,5572267609.000000,5155700095.000000,5155700095.000000,,5155700095.000000
12M 2022,1222169265859.000000,-1169116416119.000000,53052849740.000000,-41326670935.000000,-15195165660.000000,-26131505275.000000,-41326670935.000000,11726178805.000000,3493128078.000000,366098069.000000,-1323164454.000000,4450194463.000000,3493128078.000000,15219306883.000000,-3333643289.000000,11885663594.000000,-598267396.000000,11287396198.000000,11885663594.000000,11885663594.000000,,11885663594.000000,11287396198.000000,11287396198.000000,,11287396198.000000
12M 2023,799216635841.000000,-755491730777.000000,43724905064.000000,-40757769918.000000,-9606015654.000000,-31151754264.000000,-40757769918.000000,2967135146.000000,6307799721.000000,656426574.000000,-456062054.000000,6107435201.000000,6307799721.000000,9274934867.000000,-2334609774.000000,6940325093.000000,43762333.000000,6984087426.000000,6940325093.000000,6940325093.000000,,6940325093.000000,6984087426.000000,6984087426.000000,,6984087426.000000
12M 2024,834431373367.000000,-797211369873.000000,37220003494.000000,-38032423464.000000,-5180949538.000000,-32851473926.000000,-38032423464.000000,-812419970.000000,5960464592.000000,9732097.000000,-2996641496.000000,8947373991.000000,5960464592.000000,5148044622.000000,-1552889497.000000,3595155125.000000,-155698004.000000,3439457121.000000,3595155125.000000,3595155125.000000,,3595155125.000000,3439457121.000000,3439457121.000000,,3439457121.000000
