Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,0.00 B,4859.08,0.00,0.00,1.31 B,0.74%,1.01%,4.93%,0.91
12M 2020,0.00 B,26270.54,0.00,0.00,3.66 B,3.22%,5.20%,8.56%,2.54
12M 2021,2.00 B,2.79,161.29,0.96,7.59 B,5.79%,7.12%,11.49%,5.82
12M 2022,2.00 B,5.94,20.54,0.20,12.96 B,10.89%,13.28%,13.23%,8.86
12M 2023,2.00 B,3.47,37.75,0.33,4.36 B,5.59%,7.28%,3.05%,6.51
12M 2024,2.00 B,1.80,31.67,0.14,2.51 B,1.85%,3.67%,-0.81%,-0.27
