Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2020,67344998210.000000,-57808611968.000000,9536386242.000000,-9279800108.000000,-6578967736.000000,-2700832372.000000,-9279800108.000000,256586134.000000,-95878669.000000,-95878669.000000,-95878669.000000,160707465.000000,-443201126.000000,-556043400.000000,112842274.000000,-443201126.000000,-282493661.000000,-19388590.000000,-301882251.000000,-282493661.000000,-282493661.000000,,-282493661.000000,-301882251.000000,-301882251.000000,,-301882251.000000
12M 2021,82031966448.000000,-70055164409.000000,11976802039.000000,-7810457779.000000,-5640632324.000000,-2169825455.000000,-7810457779.000000,4166344260.000000,-1007109827.000000,-1007109827.000000,-1007109827.000000,3159234433.000000,-559248369.000000,-564993220.000000,5744851.000000,-559248369.000000,2599986064.000000,50030747.000000,2650016811.000000,2599986064.000000,2599986064.000000,,2599986064.000000,2650016811.000000,2650016811.000000,,2650016811.000000
12M 2022,99431884760.000000,-85240576418.000000,14191308342.000000,-9261777289.000000,-6835431697.000000,-2426345592.000000,-9261777289.000000,4929531053.000000,-977992536.000000,-977992536.000000,-977992536.000000,3951538517.000000,-998774662.000000,-1065918000.000000,67143338.000000,-998774662.000000,2952763855.000000,6204925676.000000,9157689531.000000,2952763855.000000,2952763855.000000,,2952763855.000000,9157689531.000000,9157689531.000000,,9157689531.000000
12M 2023,106621242078.000000,-90205540616.000000,16415701462.000000,-12313583068.000000,-9774779234.000000,-2538803834.000000,-12313583068.000000,4102118394.000000,-978871621.000000,-978871621.000000,-978871621.000000,3123246773.000000,-871226554.000000,-1000541259.000000,129314705.000000,-871226554.000000,2252020219.000000,-86329157.000000,2165691062.000000,2252020219.000000,2252020219.000000,,2252020219.000000,2165691062.000000,2165691062.000000,,2165691062.000000
12M 2024,147652702130.000000,-123973878795.000000,23678823335.000000,-18039792886.000000,-11506055846.000000,-6533737040.000000,-18039792886.000000,5639030449.000000,258621860.000000,258621860.000000,258621860.000000,5897652309.000000,-1395813109.000000,-1607360413.000000,211547304.000000,-1395813109.000000,4501839200.000000,30460271.000000,4532299471.000000,4501839200.000000,4501839200.000000,,4501839200.000000,4532299471.000000,4532299471.000000,,4532299471.000000
