Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,,,0.00,0.00,,0.00%,0.00%,0.00%,
12M 2020,0.00 B,-141246.83,-0.00,0.00,1.74 B,-0.65%,-2.35%,3.30%,
12M 2021,0.00 B,1299993.03,0.00,0.00,5.03 B,6.39%,17.70%,26.10%,
12M 2022,0.80 B,3.69,0.00,0.00,5.84 B,4.06%,5.48%,13.68%,
12M 2023,1.07 B,2.09,39.23,0.83,5.12 B,2.08%,2.48%,5.30%,
12M 2024,1.07 B,4.19,30.55,0.93,6.78 B,3.71%,4.72%,5.60%,
