Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Bunga,Pembayaran Untuk Pemasok,Pembayaran Untuk Karyawan,Pembayaran Untuk Bunga,Pembayaran Untuk Pajak,Pembayaran Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Dari Penjualan Aset Tetap,Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Deposito,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Setoran Modal,Biaya Emisi Saham,Penerimaan Pinjaman Bank,Penerimaan Utang Sewa,Pembayaran Pihak Berelasi,Pembayaran Pinjaman Bank,Pembayaran Utang Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2020,-1168637405.000000,60766684697.000000,21226470.000000,-51498809594.000000,-3468125399.000000,-825330596.000000,-990768881.000000,-5173514102.000000,,-1168637405.000000,-1267353716.000000,,,-604132000.000000,,-663221716.000000,-1267353716.000000,1395876182.000000,,,5020345721.000000,347266000.000000,,-3665898540.000000,-305836999.000000,1395876182.000000,-1040114939.000000,3446748256.000000,2406633317.000000
12M 2021,2749255654.000000,86499944539.000000,4321229.000000,-73780061712.000000,-3205931017.000000,-800842731.000000,-423501545.000000,-5544673109.000000,,2749255654.000000,-36696819.000000,,,,,-36696819.000000,-36696819.000000,-2569970331.000000,,,8745956674.000000,,,-11184999996.000000,-130927009.000000,-2569970331.000000,142588504.000000,2406633317.000000,2549221821.000000
12M 2022,-19360163213.000000,97485676861.000000,34041261.000000,-104522191043.000000,-4064750088.000000,-601905538.000000,-588905709.000000,-7102128957.000000,,-19360163213.000000,-11052395139.000000,95495496.000000,,,-10025000000.000000,-1122890635.000000,-11052395139.000000,32232801539.000000,30000000000.000000,,11450000000.000000,,,-8862122061.000000,-355076400.000000,32232801539.000000,1820243187.000000,2549221821.000000,4369465008.000000
12M 2023,683663236.000000,101054415443.000000,535689322.000000,-90205540616.000000,-4437740385.000000,-730475559.000000,-1230755720.000000,-4301929249.000000,,683663236.000000,-30782546874.000000,182795817.000000,,,-28642500000.000000,-2322842691.000000,-30782546874.000000,32012847877.000000,38500000000.000000,-3719891667.000000,6974804502.000000,,,-9572002534.000000,-170062424.000000,32012847877.000000,2541327119.000000,4369465008.000000,6910792127.000000
12M 2024,6992117723.000000,141065410746.000000,975994418.000000,-117698866558.000000,-6499276607.000000,-454951795.000000,-1299828328.000000,-9096364153.000000,,6992117723.000000,-5154768688.000000,97000000.000000,,,5000000000.000000,-10251768688.000000,-5154768688.000000,-5921854021.000000,5457600.000000,,,,-3500000000.000000,-2091913137.000000,-335398484.000000,-5921854021.000000,-4084504986.000000,6910792127.000000,2826287141.000000
