Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada:,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada:,Penerimaan Kas Dari:,Pajak Penghasilan,Penghasilan Bunga,Total Penerimaan Kas Dari:,Pembayaran Kas Untuk:,Beban Bunga,Imbalan Kerja,Pajak Penghasilan,Lain-Lain,Total Pembayaran Kas Untuk:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Pencairan (Penempatan) Setara Kas Yang Dibatasi Penggunaannya,Pelepasan Investasi,Penempatan Deposito,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran (Penerimaan) Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Total Pembayaran (Penerimaan) Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Penerimaan (Pembayaran) Utang Bank,Pembayaran Utang Bank,Penambahan Utang Bank,Pembayaran Utang Leasing,Total Penerimaan (Pembayaran) Utang Bank,Penerimaan Liabilitas Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2011,5259260431.000000,166193880547.000000,,-149381845264.000000,-8057385645.000000,-157439230909.000000,,,12130211.000000,12130211.000000,,-4424710136.000000,,980401128.000000,-63210410.000000,-3507519418.000000,5259260431.000000,-4843045485.000000,85000000.000000,-4928045485.000000,,,,-4843045485.000000,-1944440361.000000,,,,,,,-1944440361.000000,,,-1944440361.000000,,-1944440361.000000,-1528225415.000000,,1881709453.000000,353484038.000000
12M 2012,9061055497.000000,294217190077.000000,,-269028588134.000000,-12096747968.000000,-281125336102.000000,,,50823994.000000,50823994.000000,,-3332105793.000000,,-57203530.000000,-692313149.000000,-4081622472.000000,9061055497.000000,-6576929720.000000,65545456.000000,-6642475176.000000,,,,-6576929720.000000,-1167223700.000000,,,,,,,-1167223700.000000,,,-1167223700.000000,,-1167223700.000000,1316902077.000000,,564112199.000000,1881014276.000000
12M 2013,11902803857.000000,331470363618.000000,,-296665202178.000000,-15343533965.000000,-312008736143.000000,,,35353229.000000,35353229.000000,,-4031191757.000000,,-1911507354.000000,-1651477736.000000,-7594176847.000000,11902803857.000000,-6815001876.000000,,-6815001876.000000,,,,-6815001876.000000,-10632851850.000000,,-8679752550.000000,,-8679752550.000000,,,-1953099300.000000,,,-1953099300.000000,,-10632851850.000000,-5545049869.000000,2337822636.000000,2525100943.000000,-682126290.000000
12M 2014,16206507639.000000,449639669316.000000,,-414723401176.000000,-16216201366.000000,-430939602542.000000,,1102741398.000000,65514000.000000,1168255398.000000,,-5069043480.000000,,-290196700.000000,1697425647.000000,-3661814533.000000,16206507639.000000,-7689208637.000000,,-7689208637.000000,,,,-7689208637.000000,-5554465208.000000,,-3745376248.000000,,-3745376248.000000,,,-1809088960.000000,,,-1809088960.000000,,-5554465208.000000,2962833794.000000,-326357014.000000,3908304289.000000,6544781069.000000
12M 2015,33709826377.000000,531337755538.000000,,-470717332377.000000,-20994704131.000000,-491712036508.000000,,1234188901.000000,45255531.000000,1279444432.000000,,-5390157684.000000,,-3160869926.000000,1355690525.000000,-7195337085.000000,33709826377.000000,-16852344125.000000,27500000.000000,-16879844125.000000,,,,-16852344125.000000,-33085437359.000000,,-1638928113.000000,,-1638928113.000000,,,-31446509246.000000,,,-31446509246.000000,,-33085437359.000000,-16227955107.000000,-656243654.000000,6826404849.000000,-10057793912.000000
12M 2016,4387397758.000000,595184150722.000000,,-550352054508.000000,-29359944138.000000,-579711998646.000000,,574984578.000000,43755196.000000,618739774.000000,,-5381445280.000000,-145280000.000000,-3992327320.000000,-2184441492.000000,-11703494092.000000,4387397758.000000,-10072124037.000000,49390000.000000,-10121514037.000000,,,,-10072124037.000000,-5087850498.000000,,9070683.000000,,9070683.000000,,,-5096921181.000000,,,-5096921181.000000,,-5087850498.000000,-10772576777.000000,-955221280.000000,5340326309.000000,-6387471748.000000
12M 2017,-29268493574.000000,648432835485.000000,,-630831650512.000000,-30710759765.000000,-661542410277.000000,,,28488649.000000,28488649.000000,,-8047425330.000000,-95691000.000000,-2890679020.000000,-5153612081.000000,-16187407431.000000,-29268493574.000000,217513428.000000,12017086795.000000,-11799573367.000000,,,,217513428.000000,40444495299.000000,-2676053880.000000,,,-2676053880.000000,,43120549179.000000,,,,43120549179.000000,,40444495299.000000,11393515153.000000,216611914.000000,6412109441.000000,18022236508.000000
12M 2018,15622628033.000000,660718251392.000000,,-592592930955.000000,-33264566395.000000,-625857497350.000000,,696217606.000000,339177272.000000,1035394878.000000,,-8913987723.000000,,-4962760234.000000,-6396772930.000000,-20273520887.000000,15622628033.000000,-38412825476.000000,117727273.000000,-9530552749.000000,,,-29000000000.000000,-38412825476.000000,8060975382.000000,-2771776732.000000,,,-2771776732.000000,,10832752114.000000,,,,10832752114.000000,,8060975382.000000,-14729222061.000000,,18022236508.000000,3293014447.000000
12M 2019,13591146145.000000,500410429162.000000,,-447966947547.000000,-31121920851.000000,-479088868398.000000,,6261031185.000000,778868079.000000,7039899264.000000,,-8451870734.000000,,-3122268243.000000,-3196174906.000000,-14770313883.000000,13591146145.000000,12825064262.000000,1057272728.000000,-5232208466.000000,,,17000000000.000000,12825064262.000000,-22693914226.000000,580196838.000000,,,580196838.000000,,,-30034111064.000000,6760000000.000000,,-23274111064.000000,,-22693914226.000000,3722296181.000000,,3293014447.000000,7015310628.000000
12M 2020,6554262072.000000,351948791297.000000,,-293628596203.000000,-31731553727.000000,-325360149930.000000,,,351119853.000000,351119853.000000,,-7380418156.000000,,,-13005080992.000000,-20385499148.000000,6554262072.000000,4729837450.000000,65000000.000000,-635162550.000000,,300000000.000000,5000000000.000000,4729837450.000000,-10090319479.000000,273342966.000000,,,273342966.000000,,,-10363662445.000000,,,-10363662445.000000,,-10090319479.000000,1193780043.000000,,7015310628.000000,8209090671.000000
