Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Investasi Jangka Panjang,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,564561099.000000,26577844069.000000,24830840918.000000,1747003151.000000,26577844069.000000,124675700.000000,,124675700.000000,124675700.000000,51684986371.000000,6311094107.000000,85263161346.000000,,,,7023698372.000000,40250928881.000000,29191458259.000000,76466085512.000000,161729246858.000000,,,25681969538.000000,,15952553128.000000,,15952553128.000000,,6409978916.000000,,6409978916.000000,1630878964.000000,22992130.000000,,1665566400.000000,,1665566400.000000,,25681969538.000000,99602701218.000000,,25950146917.000000,25950146917.000000,4399176.000000,,73599007600.000000,,73599007600.000000,49147525.000000,99602701218.000000,125284670756.000000,,185713550000.000000,18433570833.000000,-175660785838.000000,149408481.000000,7808832626.000000,36444576102.000000,161729246858.000000,1857135500.000000
12M 2012,,,2525100943.000000,30133212437.000000,28248564600.000000,1884647837.000000,30133212437.000000,205649000.000000,,205649000.000000,205649000.000000,60287397434.000000,8485444792.000000,101636804606.000000,,,,,99499116028.000000,21221923232.000000,120721039260.000000,222357843866.000000,,,27406181652.000000,,15003275800.000000,,15003275800.000000,,6683697188.000000,3000000000.000000,9683697188.000000,558879680.000000,23812984.000000,,2136516000.000000,,2136516000.000000,,27406181652.000000,110401247874.000000,,27850219859.000000,27850219859.000000,9026839407.000000,,72745053000.000000,,72745053000.000000,779135608.000000,110401247874.000000,137807429526.000000,,185713550000.000000,18433570833.000000,-166593743376.000000,149408481.000000,46847628402.000000,84550414340.000000,222357843866.000000,1857135500.000000
12M 2013,,,3908304289.000000,46233653292.000000,45450995992.000000,782657300.000000,46233653292.000000,120432148.000000,,120432148.000000,120432148.000000,65022129495.000000,10681029626.000000,125965548850.000000,,326548107.000000,,,126479705014.000000,2313243959.000000,129119497080.000000,255085045930.000000,,,115175735164.000000,,21747964568.000000,,21747964568.000000,,10694848125.000000,2234262641.000000,12929110766.000000,1007685729.000000,24897142.000000,,76780813200.000000,,76780813200.000000,2685263759.000000,115175735164.000000,35776569206.000000,,21152269444.000000,21152269444.000000,10928367051.000000,,2378720007.000000,,2378720007.000000,1317212704.000000,35776569206.000000,150952304370.000000,,185713550000.000000,18433570833.000000,-154857863579.000000,143888403.000000,54699595902.000000,104132741559.000000,255085045929.000000,1857135500.000000
12M 2014,,,6826404850.000000,42740951753.000000,41807326636.000000,933625117.000000,42740951753.000000,4293342472.000000,,4293342472.000000,4293342472.000000,73092914501.000000,10833123728.000000,137786737304.000000,,178089775.000000,,,130379795090.000000,2438101451.000000,132995986316.000000,270782723620.000000,,,90410930976.000000,,11658967086.000000,,11658967086.000000,,12446180977.000000,3000000000.000000,15446180977.000000,404563514.000000,12284500.000000,,56851369612.000000,,56851369612.000000,6037565287.000000,90410930976.000000,60514913934.000000,,22214394978.000000,22214394978.000000,15934125008.000000,,20413304163.000000,,20413304163.000000,1953089785.000000,60514913934.000000,150925844910.000000,,185713550000.000000,18433570833.000000,-142983566428.000000,143888403.000000,58549435902.000000,119856878710.000000,270782723620.000000,1857135500.000000
12M 2015,,,5340326309.000000,67098911498.000000,66237171125.000000,861740373.000000,67098911498.000000,5498166996.000000,,5498166996.000000,5498166996.000000,62291896837.000000,8990531940.000000,149219833580.000000,,,,,150770021221.000000,2262958943.000000,153032980164.000000,302252813744.000000,,,99754926767.000000,,28368230168.000000,,28368230168.000000,,18975861656.000000,3711550685.000000,22687412341.000000,890585098.000000,1108560783.000000,,46700138377.000000,,46700138377.000000,,99754926767.000000,59392583086.000000,,17291103697.000000,17291103697.000000,22688635641.000000,,16800000000.000000,,16800000000.000000,2612843748.000000,59392583086.000000,159147509853.000000,,185713550000.000000,18433570833.000000,,143888403.000000,-61185705345.000000,143105303891.000000,302252813744.000000,1857135500.000000
12M 2016,,,6412109441.000000,78128294886.000000,76334834174.000000,1793460712.000000,78128294886.000000,4170575347.000000,,4170575347.000000,4170575347.000000,72793825048.000000,14105237390.000000,175610042112.000000,,,,,150977307193.000000,2127382977.000000,153104690170.000000,328714732282.000000,,,122215578591.000000,,45327527430.000000,,45327527430.000000,,12114545388.000000,3028419545.000000,15142964933.000000,899104254.000000,102598822.000000,,55742987042.000000,,55742987042.000000,5000396110.000000,122215578591.000000,57597159072.000000,,18653453012.000000,18653453012.000000,21889249177.000000,,13800000000.000000,,13800000000.000000,3254456883.000000,57597159072.000000,179812737663.000000,,185713550000.000000,18433570833.000000,,143888403.000000,-55389014617.000000,148901994619.000000,328714732282.000000,1857135500.000000
12M 2017,,,18022236508.000000,75059849213.000000,75059849213.000000,,75059849213.000000,9395951618.000000,1157735904.000000,8238215714.000000,9395951618.000000,94031484953.000000,18042581307.000000,214552103599.000000,,,,,148865752032.000000,1980314474.000000,150846066506.000000,365398170105.000000,,,152205007314.000000,,21568042273.000000,2740320732.000000,24308363005.000000,,12426979159.000000,2966672832.000000,15393651991.000000,864124392.000000,1098001533.000000,,105763536221.000000,,105763536221.000000,4777330172.000000,152205007314.000000,52007950259.000000,,18481030906.000000,18481030906.000000,22453952638.000000,,6900000000.000000,,6900000000.000000,4172966715.000000,52007950259.000000,204212957573.000000,,185713550000.000000,18433570833.000000,,143888403.000000,-43105796704.000000,161185212532.000000,365398170105.000000,1857135500.000000
12M 2018,,,3293014447.000000,65914511554.000000,65914511554.000000,,65914511554.000000,8575248736.000000,853539804.000000,7721708932.000000,8575248736.000000,115267906574.000000,47109853591.000000,240160534902.000000,,,,,163023644666.000000,1813680678.000000,164837325344.000000,404997860246.000000,,,177077199876.000000,,36341178495.000000,,36341178495.000000,,10452211864.000000,,10452211864.000000,2818124276.000000,617122254.000000,,123496288335.000000,,123496288335.000000,3352274652.000000,177077199876.000000,45650055796.000000,,16425256864.000000,16425256864.000000,23975050283.000000,,,,,5249748649.000000,45650055796.000000,222727255672.000000,,185713550000.000000,18433570833.000000,,143888403.000000,-22020404662.000000,182270604574.000000,404997860246.000000,1857135500.000000
12M 2019,,,7015310628.000000,50016866330.000000,50016866330.000000,,50016866330.000000,8075053691.000000,273342966.000000,7801710725.000000,8075053691.000000,133058719135.000000,27116084341.000000,225282034125.000000,,,,,164383631882.000000,1813680678.000000,166197312560.000000,391479346685.000000,,,150660109710.000000,28354541397.000000,,,28354541397.000000,9926161735.000000,,,9926161735.000000,487228156.000000,510944822.000000,,100222177271.000000,,100222177271.000000,11159056329.000000,150660109710.000000,43782584296.000000,15490740973.000000,,15490740973.000000,23967029685.000000,,,,,4324813638.000000,43782584296.000000,194442694006.000000,,185713550000.000000,18433570833.000000,,158534438.000000,-7269002592.000000,197036652679.000000,391479346685.000000,1857135500.000000
12M 2020,,,8209090671.000000,55249492414.000000,,,55249492414.000000,5332139578.000000,,5332139578.000000,5332139578.000000,125610411087.000000,19305909410.000000,213707043160.000000,,,,,158787756254.000000,1262393947.000000,160050150201.000000,373757193361.000000,,,152254622239.000000,43574232260.000000,,,43574232260.000000,18098752412.000000,,,18098752412.000000,477568070.000000,245554671.000000,,89858514826.000000,,89858514826.000000,,152254622239.000000,28126766557.000000,,,,22838217407.000000,,,,,5288549150.000000,28126766557.000000,180381388796.000000,,185713550000.000000,18433570833.000000,,107790059.000000,-10879106327.000000,193375804565.000000,373757193361.000000,1857135500.000000
