Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,171816717235.000000,-143514469067.000000,28302248168.000000,-15429583300.000000,-10594224975.000000,-4835358325.000000,-15429583300.000000,12872664868.000000,-6135013759.000000,12130211.000000,-4424710136.000000,-514284395.000000,-36993582.000000,-1171155857.000000,-6135013759.000000,6737651109.000000,354984755.000000,,354984755.000000,,354984755.000000,7092635864.000000,,7092635864.000000,7092635864.000000,7092635864.000000,,7092635864.000000,7092635864.000000,7092635864.000000,,7092635864.000000
12M 2012,298017091152.000000,-253587237241.000000,44429853911.000000,-25826150066.000000,-15766622156.000000,-10059527910.000000,-25826150066.000000,18603703845.000000,-6503454705.000000,50823994.000000,-5239048050.000000,-169035905.000000,8213984.000000,-1154408728.000000,-6503454705.000000,12100249140.000000,-3033206678.000000,,-3033206678.000000,,-3033206678.000000,9067042462.000000,39038795776.000000,48105838238.000000,9067042462.000000,9067042462.000000,,9067042462.000000,48105838238.000000,48105838238.000000,,48105838238.000000
12M 2013,347540777717.000000,-296550618233.000000,50990159484.000000,-29569498913.000000,,,-29569498913.000000,21420660571.000000,-10406095708.000000,35353229.000000,-6089653431.000000,-3260605416.000000,,-1091190090.000000,-10406095708.000000,11014564863.000000,715794856.000000,,715794856.000000,,715794856.000000,11730359719.000000,7851967500.000000,19582327219.000000,11730359719.000000,11735879797.000000,-5520078.000000,11730359719.000000,19582327219.000000,19582327219.000000,,19582327219.000000
12M 2014,450591482420.000000,-395093872377.000000,55497610043.000000,-31703209500.000000,,,-31703209500.000000,23794400543.000000,-8197625435.000000,65514000.000000,-7298686051.000000,98813164.000000,,-1063266548.000000,-8197625435.000000,15596775108.000000,-3722477957.000000,,-3722477957.000000,,-3722477957.000000,11874297151.000000,3849840000.000000,15724137151.000000,11874297151.000000,11874297151.000000,,11874297151.000000,15724137151.000000,15724137151.000000,,15724137151.000000
12M 2015,557256374152.000000,-490984600855.000000,66271773297.000000,-40317271569.000000,-27075982302.000000,-13241289267.000000,-40317271569.000000,25954501728.000000,-4074430447.000000,5794696000.000000,-6897304521.000000,,,-2971821926.000000,-4074430447.000000,21880071281.000000,-8339471187.000000,-4820902250.000000,-3518568937.000000,,-8339471187.000000,13540600094.000000,9994172474.000000,23534772568.000000,13540600094.000000,13540600094.000000,,13540600094.000000,23534772568.000000,23534772568.000000,,23534772568.000000
12M 2016,603955752478.000000,-549739380718.000000,54216371760.000000,-36609006148.000000,-22128271594.000000,-14480734554.000000,-36609006148.000000,17607365612.000000,-9911537174.000000,43755196.000000,-6694970082.000000,,,-3260322288.000000,-9911537174.000000,7695828438.000000,-1944951329.000000,-2759609000.000000,814657671.000000,,-1944951329.000000,5750877109.000000,45813619.000000,5796690728.000000,5750877109.000000,5750877109.000000,,5750877109.000000,5796690728.000000,5796690728.000000,,5796690728.000000
12M 2017,647380916462.000000,-583071163206.000000,64309753256.000000,-42457958444.000000,-26519829340.000000,-15938129104.000000,-42457958444.000000,21851794812.000000,-12696392892.000000,1025115353.000000,-9792574539.000000,,,-3928933706.000000,-12696392892.000000,9155401920.000000,-2406676785.000000,-3686804250.000000,1280127465.000000,,-2406676785.000000,6748725135.000000,5534492778.000000,12283217913.000000,6748725135.000000,6748725135.000000,,6748725135.000000,12283217913.000000,12283217913.000000,,12283217913.000000
12M 2018,652519543510.000000,-576505010824.000000,76014532686.000000,-51971620258.000000,-32937736729.000000,-19033883529.000000,-51971620258.000000,24042912428.000000,-12570788184.000000,4797569816.000000,-10467752480.000000,,,-6900605520.000000,-12570788184.000000,11472124244.000000,-2829533184.000000,-2802032500.000000,-27500684.000000,,-2829533184.000000,8642591060.000000,12442800982.000000,21085392042.000000,8642591060.000000,8642591060.000000,,8642591060.000000,21085392042.000000,21085392042.000000,,21085392042.000000
12M 2019,476786004054.000000,-418291601489.000000,58494402565.000000,-40384690876.000000,-20762286922.000000,-19622403954.000000,-40384690876.000000,18109711689.000000,-7078801595.000000,778868079.000000,-9518100232.000000,,,1660430558.000000,-7078801595.000000,11030910094.000000,-2570202049.000000,-2574036000.000000,3833951.000000,,-2570202049.000000,8460708045.000000,6305340060.000000,14766048105.000000,8460708045.000000,8446062010.000000,14646035.000000,8460708045.000000,14766048105.000000,14751402070.000000,14646035.000000,14766048105.000000
12M 2020,365870902563.000000,-327060923380.000000,38809979183.000000,-37650435313.000000,-17482401009.000000,-20168034304.000000,-37650435313.000000,1159543870.000000,-8158130847.000000,351119853.000000,-8112815091.000000,,,-396435609.000000,-8158130847.000000,-6998586977.000000,1129005127.000000,,1129005127.000000,,1129005127.000000,-5869581850.000000,2208733736.000000,-3660848114.000000,-5869581850.000000,-5818837471.000000,-50744379.000000,-5869581850.000000,-3660848114.000000,-3610103735.000000,-50744379.000000,-3660848114.000000
12M 2021,532522855555.000000,-447268210316.000000,85254645239.000000,-59649455324.000000,-40184119620.000000,-19465335704.000000,-59649455324.000000,25605189915.000000,-7344639362.000000,248731967.000000,-6169322576.000000,,,-1424048753.000000,-7344639362.000000,18260550553.000000,-3688853414.000000,-3589717560.000000,-99135854.000000,,-3688853414.000000,14571697139.000000,3459124608.000000,18030821747.000000,14571697139.000000,14550513586.000000,21183553.000000,14571697139.000000,18030821747.000000,18009638194.000000,21183553.000000,18030821747.000000
12M 2022,552366215890.000000,-456203022870.000000,96163193020.000000,-66543241377.000000,-42655073832.000000,-23888167545.000000,-66543241377.000000,29619951643.000000,-3856159261.000000,148067679.000000,-5395569677.000000,,,1391342737.000000,-3856159261.000000,25763792382.000000,-4381583263.000000,-5861045520.000000,1479462257.000000,,-4381583263.000000,21382209119.000000,3494771272.000000,24876980391.000000,21382209119.000000,21363419060.000000,18790059.000000,21382209119.000000,24876980391.000000,24858190332.000000,18790059.000000,24876980391.000000
