Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan Bunga,Pembayaran Royalti,Pembayaran Pajak Penghasilan Badan,Penerimaan Pengembalian Pajak Pertambahan Nilai (,Pembayaran Penerimaan Negara Bukan Pajak (“Pnbp”) Dan Pendapatan Pemerintah Daerah,Penerimaan Restitusi Pajak,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Pajak Penjualan,"Penerimaan Lain-Lain, Neto",Pembayaran Lain-Lain,Penerimaaan Dari Pencairan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaanya,Pembayaran Denda Labuh Kapal Luar Biasa,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pembayaran Uang Muka Investasi,Pembelian Kepemilikan Pada Perusahaan Asosiasi,Pembelian Investasi Pada Efek Ekuitas,Hasil Penjualan Efek Yang Tersedia Untuk Dijual,Penerimaan Pembayaran Kembali Pinjaman Dari Pihak Ketiga,Penerimaan Pembayaran Kembali Pinjaman Dari Pihak Berelasi,Penerimaan Dividen Dari Investasi Pada Ventura Bersama,Arus Kas Keluar Untuk Uang Muka Proyek,Pemberian Pinjaman Pada Pihak Berelasi,Pemberian Pinjaman Pada Pihak Ketiga,Pelunasan Pinjaman Berelasi,Pembelian Aset Keuangan Tersedia Untuk Dijual,Penerimaan Biaya Di Muka Yang Berhubungan Dengan Pinjaman Ke Pihak Ketiga,Penerimaan Aset Keuangan Tersedia Untuk Dijual,Transfer Ke Kas Yang Dibatasi Penggunaannya,Penerimaan Dari Pencairan Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Penerimaan Piutang Lainlain,Penerimaan Dari Operasi Yang Dihentikan,Arus Kas (Keluar)/Masuk Bersih Dari Akuisisi Entitas Anak,Arus Kas Masuk Bersih Dari Akuisisi Entitas Anak,Arus Kas Keluar Bersih Dari Akuisisi Entitas Anak,Total Arus Kas (Keluar)/Masuk Bersih Dari Akuisisi Entitas Anak,Penambahan Properti Pertambangan,Penambahan Aset Tidak Berwujud,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Penambahan Aset Eksplorasi Dan Evaluasi,Pembayaran Beban Yang Ditangguhkan,Pembelian Kepentingan Non-Pengendali,Hasil Penjualan Perusahaan Asosiasi,Penerimaan Senior Notes,Pembayaran Atas Pembelian Senior Notes Dari Pasar Terbuka,Pembelian Tambahan Kepemilikan Pada Entitas Anak,Uang Muka Pembelian Saham,Penempatan Dana Pada Escrow Account,Penempatan Dana Pada Escrow Account (Belanja Modal),Arus Kas Keluar Bersih Dari Investasi Pada Ventura Bersama,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Beban Yang Berhubungan Dengan Pinjaman,Pembelian Kepentingan Non-Pengendali,Penerimaan Pembayaran Yang Ditangguhkan Dari Kepentingan Non-Pengendali,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Beban Keuangan,Pembayaran Penarikan Notes,Pelunasan Senior Notes,Pembayaran Pinjaman Ke Pihak Ketiga,Penerimaan Pinjaman Dari Pihak Ketiga,Transfer Dari Kas Dan Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Dividen :,Pembayaran Dividen Kepada Pemegang Saham Perusahaan,Pembayaran Dividen Kepada Kepentingan Non-Pengendali,Penerimaan Dari Penjualan Atas Investasi Kepada Entitas Anak,Akuisisi Kepentingan Non Pengendali,Pembelian Atas Penambahan Kepentingan Pada Entitas Anak,Penerimaan Dari Penerbitan Saham Anak Perusahaan Dari Pihak Minoritas,Penerimaan Dari Penerbitan Saham Baru,Penerimaan Setoran Modal Dari Kepentingan Non-Pengendali,Pembayaran Biaya Emisi Saham Entitas Anak,Pembayaran Untuk Pembelian Saham Treasuri,Penerimaan Uang Muka Setoran Modal Dari Kepentingan Non-Pengendali,Penerimaan Dari Penerbitan Notes Setelah Dikurangi Biaya Penerbitan,Pembayaran Utang Sewa Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penurunan Bersih Kas Yang Dihasilkan Atas Operasi Yang Dihentikan,Pengurangan Kas Dan Setara Kas Karena Kehilangan Pengendalian,Kas Dan Setara Kas Akhir Periode
12M 2008,1085050000000.000000,17468809000000.000000,-12055441000000.000000,-458178000000.000000,46309000000.000000,-1075532000000.000000,-1625751000000.000000,,,,-606757000000.000000,,38917000000.000000,,,-647326000000.000000,1085050000000.000000,-10989958000000.000000,-1463972000000.000000,6250000000.000000,,,,701492000000.000000,,,,,46061000000.000000,,,,,,,,,,-10299789000000.000000,,,-10299789000000.000000,,,,,,,20000000000.000000,,,,,,,,-10989958000000.000000,11285200000000.000000,,,,3438993000000.000000,-3456832000000.000000,-116752000000.000000,,,-471392000000.000000,245350000000.000000,,,,,,,,,11846596000000.000000,,,,,,-200763000000.000000,11285200000000.000000,1380292000000.000000,831840000000.000000,203721000000.000000,,,2415853000000.000000
12M 2009,7097275000000.000000,25865653000000.000000,-13353699000000.000000,-627951000000.000000,67295000000.000000,-1395926000000.000000,-2867312000000.000000,,,,-729260000000.000000,,138475000000.000000,,,,7097275000000.000000,-1207966000000.000000,-1106262000000.000000,6286000000.000000,,,,1088814000000.000000,,,,,,,,,,,,,,,-1017893000000.000000,,,-1017893000000.000000,,,-8079000000.000000,,,,,,,-170832000000.000000,,,,,-1207966000000.000000,3628873000000.000000,,,,2013300000000.000000,-3904703000000.000000,-109068000000.000000,-395000000000.000000,,,,,-761266000000.000000,,,,,,2318000000.000000,,,,,,7440270000000.000000,-656978000000.000000,3628873000000.000000,9518182000000.000000,2415853000000.000000,-659412000000.000000,,,11274623000000.000000
12M 2010,2589628000000.000000,25056231000000.000000,-14134714000000.000000,-740775000000.000000,33876000000.000000,-1496687000000.000000,-5039939000000.000000,,,,-1068719000000.000000,,99382000000.000000,,,-119027000000.000000,2589628000000.000000,-5963038000000.000000,-2250548000000.000000,34518000000.000000,-449544000000.000000,-3203195000000.000000,,,,,,,,,,,,,,,,,-352000000.000000,,,-352000000.000000,,,,,,,83000000.000000,,,-94000000000.000000,,,,,-5963038000000.000000,-2040352000000.000000,,,,363400000000.000000,-1180632000000.000000,,,,,,-2534000000.000000,-858823000000.000000,,,,,,,,,,,,,-361763000000.000000,-2040352000000.000000,-5413762000000.000000,11274623000000.000000,-400890000000.000000,,,5459971000000.000000
12M 2011,712367000.000000,3791489000.000000,-2195407000.000000,-110410000.000000,6210000.000000,-198333000.000000,-329933000.000000,,,,-106013000.000000,,-145447000.000000,,211000.000000,,712367000.000000,-1064458000.000000,-625022000.000000,5699000.000000,,-25887000.000000,-65708000.000000,,-36542000.000000,,,,-15000000.000000,,,,,,,,,,-301458000.000000,,,-301458000.000000,,,-540000.000000,,,,,,,,,,,,-1064458000.000000,304264000.000000,-44659000.000000,,,870000000.000000,-326410000.000000,,,,,,142000.000000,,-150911000.000000,,,,,600000.000000,,,,,,,-44498000.000000,304264000.000000,-47827000.000000,607271000.000000,-572000.000000,,,558872000.000000
12M 2012,432717000.000000,3709818000.000000,-2371050000.000000,-131694000.000000,7173000.000000,-201759000.000000,-445866000.000000,,,,-114879000.000000,,-19026000.000000,,,,432717000.000000,-509780000.000000,-490034000.000000,5723000.000000,,,,,,,,,-26474000.000000,,,,,,,,,,1345000.000000,,,1345000.000000,,,,-340000.000000,,,,,,,,,,,-509780000.000000,24665000.000000,-5451000.000000,-231000.000000,,495000000.000000,-162500000.000000,,,,-35745000.000000,,140000.000000,,-225501000.000000,-487000.000000,,,,,,,,,,,-40560000.000000,24665000.000000,-52398000.000000,558872000.000000,-6106000.000000,,,500368000.000000
12M 2013,721745000.000000,3439590000.000000,-2002640000.000000,-131974000.000000,10377000.000000,-235267000.000000,-247260000.000000,,,,-104597000.000000,,-6484000.000000,,,,721745000.000000,-183527000.000000,-136397000.000000,15087000.000000,-17426000.000000,,,,20000000.000000,,,,,,,,,,,,,,-20949000.000000,,,-20949000.000000,-43805000.000000,,,-37000.000000,,,,,,,,,,,-183527000.000000,-331500000.000000,-10556000.000000,,,380000000.000000,-594000000.000000,,,,,,-189000.000000,,-75487000.000000,-705000.000000,,,,,,444000.000000,,,,,-31007000.000000,-331500000.000000,206718000.000000,500368000.000000,-26182000.000000,,,680904000.000000
12M 2014,592106000.000000,3342921000.000000,-1988783000.000000,-131744000.000000,25260000.000000,-396338000.000000,-182635000.000000,,,88726000.000000,-164298000.000000,,-1003000.000000,,,,592106000.000000,-26013000.000000,-55226000.000000,5086000.000000,,-9750000.000000,,,16670000.000000,,,,,,40233000.000000,,,,,,,,,,,,-48054000.000000,,,-102000.000000,,,25130000.000000,,,,,,,,-26013000.000000,-496321000.000000,-22762000.000000,,,1156000000.000000,-729249000.000000,,,-800000000.000000,,15541000.000000,-176000.000000,,-75168000.000000,-1032000.000000,,,,,,219000.000000,,,,,-39694000.000000,-496321000.000000,69772000.000000,680904000.000000,-5428000.000000,,,745248000.000000
12M 2015,511594000.000000,2776552000.000000,-1713618000.000000,-129645000.000000,11391000.000000,-234959000.000000,-207055000.000000,,,50950000.000000,-45427000.000000,,3405000.000000,,,,511594000.000000,-118449000.000000,-69978000.000000,2712000.000000,,,,,,,,,,-20000000.000000,,,,,,,,,,,,,-31175000.000000,,,-8000.000000,,,,,,,,,,,-118449000.000000,-422813000.000000,-6874000.000000,,,320000000.000000,-625250000.000000,,,,,,-1160000.000000,,-75487000.000000,-2221000.000000,,,,,,,,,,,-31821000.000000,-422813000.000000,-29668000.000000,745248000.000000,-13128000.000000,,,702452000.000000
12M 2016,675523000.000000,2417173000.000000,-1194301000.000000,-134996000.000000,9092000.000000,-252577000.000000,-155474000.000000,,,17808000.000000,-43768000.000000,-26280000.000000,38846000.000000,,,,675523000.000000,-228384000.000000,-77839000.000000,560000.000000,,,,,,,,,,,,,,,,,,,,,-119120000.000000,-119120000.000000,-31985000.000000,,,,,,,,,,,,,,-228384000.000000,-72994000.000000,,,,25000000.000000,-144000000.000000,,,,,,-792000.000000,,-75487000.000000,-1038000.000000,,,,,,164308000.000000,,,,,-40985000.000000,-72994000.000000,374145000.000000,702452000.000000,351000.000000,,,1076948000.000000
12M 2017,853680000.000000,3271603000.000000,-1390939000.000000,-158206000.000000,14960000.000000,-335641000.000000,-515462000.000000,,,11363000.000000,-46804000.000000,-7372000.000000,10178000.000000,,,,853680000.000000,-433383000.000000,-155352000.000000,6069000.000000,,,,56095000.000000,,,,,,,,-309354000.000000,,,,,,,,,,,-30841000.000000,,,,,,,,,,,,,,-433383000.000000,-288661000.000000,,,,50784000.000000,-128825000.000000,,,,,,-5022000.000000,,-101075000.000000,-85469000.000000,2871000.000000,,-678000.000000,,,12234000.000000,,,,,-33481000.000000,-288661000.000000,131636000.000000,1076948000.000000,-1736000.000000,,,1206848000.000000
