Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Operasi Yang Dihentikan,Laba Pra Akuisisi,Pos Luar Biasa,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Laba Pra Akuisisi,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,18092502000000.000000,-13149270000000.000000,4943232000000.000000,-731374000000.000000,,-528316000000.000000,-203058000000.000000,,-731374000000.000000,4211858000000.000000,-1287154000000.000000,-616310000000.000000,47933000000.000000,,-3059000000.000000,95203000000.000000,-455357000000.000000,-355564000000.000000,-1287154000000.000000,2924704000000.000000,-1601976000000.000000,1322728000000.000000,,-126390000000.000000,-372741000000.000000,63601000000.000000,887198000000.000000,,,887198000000.000000,1322728000000.000000,63601000000.000000,-126390000000.000000,-372741000000.000000,887198000000.000000,,,,
12M 2009,26938020000000.000000,-15900123000000.000000,11037897000000.000000,-1109450000000.000000,,-637457000000.000000,-471993000000.000000,,-1109450000000.000000,9928447000000.000000,-1350066000000.000000,-915813000000.000000,68185000000.000000,-19000000.000000,-6650000000.000000,,100215000000.000000,-595984000000.000000,-1350066000000.000000,8578381000000.000000,-4119101000000.000000,4459280000000.000000,,-43469000000.000000,,-48559000000.000000,4367252000000.000000,,,4367252000000.000000,4459280000000.000000,-48559000000.000000,-43469000000.000000,,4367252000000.000000,,,,
12M 2010,24689333000000.000000,-16957291000000.000000,7732042000000.000000,-957764000000.000000,,-497646000000.000000,-460118000000.000000,,-957764000000.000000,6774278000000.000000,-1724360000000.000000,-1048252000000.000000,42377000000.000000,-13485000000.000000,-51235000000.000000,,-28286000000.000000,-625479000000.000000,-1724360000000.000000,5049918000000.000000,-2668668000000.000000,2381250000000.000000,,200000000.000000,-171544000000.000000,-2593000000.000000,2207313000000.000000,,,2207313000000.000000,2381250000000.000000,-2593000000.000000,200000000.000000,-171544000000.000000,2207313000000.000000,,,,
12M 2011,3987405000.000000,-2559012000.000000,1428393000.000000,-144822000.000000,,-66081000.000000,-78741000.000000,,-144822000.000000,1283571000.000000,-280960000.000000,-119758000.000000,6718000.000000,-15555000.000000,-2824000.000000,,1992000.000000,-151533000.000000,-280960000.000000,1002611000.000000,-450508000.000000,552103000.000000,,,,,552103000.000000,7397000.000000,559500000.000000,552103000.000000,550354000.000000,1749000.000000,,,552103000.000000,559500000.000000,557779000.000000,1721000.000000,559500000.000000
12M 2012,3722489000.000000,-2679867000.000000,1042622000.000000,-206238000.000000,-173067000.000000,,,-33171000.000000,-206238000.000000,836384000.000000,-122660000.000000,-118347000.000000,11119000.000000,-15432000.000000,,,,,-122660000.000000,713724000.000000,-330417000.000000,383307000.000000,,,,,383307000.000000,-1562000.000000,381745000.000000,383307000.000000,385347000.000000,-2040000.000000,,,383307000.000000,381745000.000000,383785000.000000,-2040000.000000,381745000.000000
12M 2013,3285142000.000000,-2545956000.000000,739186000.000000,-204901000.000000,-173089000.000000,,,-31812000.000000,-204901000.000000,534285000.000000,-115001000.000000,-116582000.000000,16139000.000000,-14558000.000000,,,,,-115001000.000000,419284000.000000,-190021000.000000,229263000.000000,,,,,229263000.000000,-3852000.000000,225411000.000000,229263000.000000,231231000.000000,-1968000.000000,,,229263000.000000,225411000.000000,226100000.000000,-689000.000000,225411000.000000
12M 2014,3325444000.000000,-2605444000.000000,720000000.000000,-226447000.000000,-159734000.000000,,,-66713000.000000,-226447000.000000,493553000.000000,-168193000.000000,-189717000.000000,25260000.000000,-3736000.000000,,,,,-168193000.000000,325360000.000000,-141820000.000000,183540000.000000,,,,,183540000.000000,-33017000.000000,150523000.000000,183540000.000000,178162000.000000,5378000.000000,,,183540000.000000,150523000.000000,147711000.000000,2812000.000000,150523000.000000
12M 2015,2684476000.000000,-2141176000.000000,543300000.000000,-211419000.000000,-133010000.000000,,,-78409000.000000,-211419000.000000,331881000.000000,-51908000.000000,-60762000.000000,11859000.000000,-3005000.000000,,,,,-51908000.000000,279973000.000000,-128970000.000000,151003000.000000,,,,,151003000.000000,25394000.000000,176397000.000000,151003000.000000,152440000.000000,-1437000.000000,,,151003000.000000,176397000.000000,178883000.000000,-2486000.000000,176397000.000000
12M 2016,2524239000.000000,-1838963000.000000,685276000.000000,-97658000.000000,-151175000.000000,,,53517000.000000,-97658000.000000,587618000.000000,-41098000.000000,-50006000.000000,9092000.000000,-184000.000000,,,,,-41098000.000000,546520000.000000,-205834000.000000,340686000.000000,,,,,340686000.000000,41084000.000000,381770000.000000,340686000.000000,334621000.000000,6065000.000000,,,340686000.000000,381770000.000000,374510000.000000,7260000.000000,381770000.000000
12M 2017,3258333000.000000,-2116831000.000000,1141502000.000000,-189677000.000000,-183651000.000000,,,-6026000.000000,-189677000.000000,951825000.000000,-22294000.000000,-52994000.000000,18733000.000000,11967000.000000,,,,,-22294000.000000,929531000.000000,-393093000.000000,536438000.000000,,,,,536438000.000000,-18307000.000000,518131000.000000,536438000.000000,483297000.000000,53141000.000000,,,536438000.000000,518131000.000000,465293000.000000,52838000.000000,518131000.000000
