Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Biaya Pengupasan Tanah Yang Ditangguhkan,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Eksplorasi Dan Evaluasi,Properti Pertambangan,Aset Tetap,Goodwill,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Pinjaman Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Beban Akrual,Utang Pajak,Others,Total Utang Pajak,Utang Royalti,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Liabilitas Derivatif,Utang Jangka Panjang Dari Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Senior Notes,Utang Lain-Lain,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Wesel Bayar,Senior Notes,Utang Lain Jangka Panjang,Pihak Ketiga,Others,Total Utang Lain Jangka Panjang,Obligasi Subordinasi,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,2415853000000.000000,2331886000000.000000,2331886000000.000000,,2331886000000.000000,18043000000.000000,,,18043000000.000000,304670000000.000000,2786347000000.000000,7856799000000.000000,,5593000000.000000,2243000000.000000,2243000000.000000,2243000000.000000,,97651000000.000000,,10470181000000.000000,5924184000000.000000,9128419000000.000000,,43824000000.000000,191276000000.000000,25863371000000.000000,33720170000000.000000,,,6721627000000.000000,876000000000.000000,,,2352129000000.000000,249386000000.000000,2601515000000.000000,265093000000.000000,1151214000000.000000,,1151214000000.000000,576500000000.000000,,818538000000.000000,334810000000.000000,51112000000.000000,,1204460000000.000000,,7051000000.000000,39794000000.000000,6721627000000.000000,12970919000000.000000,,8325942000000.000000,683651000000.000000,,,,,,,,157633000000.000000,,9167226000000.000000,3144306000000.000000,6339000000.000000,653048000000.000000,12970919000000.000000,19692546000000.000000,,3198596000000.000000,10732663000000.000000,422141000000.000000,,422141000000.000000,422141000000.000000,18379000000.000000,-344155000000.000000,14027624000000.000000,33720170000000.000000,31985962000.000000
12M 2009,,,11274623000000.000000,2882459000000.000000,2882459000000.000000,,2882459000000.000000,21160000000.000000,,,21160000000.000000,250450000000.000000,1408167000000.000000,15836859000000.000000,,4776000000.000000,,,,,81010000000.000000,,9791657000000.000000,7415677000000.000000,9091776000000.000000,,37587000000.000000,206066000000.000000,26628549000000.000000,42465408000000.000000,,,7996026000000.000000,188000000000.000000,,,2025321000000.000000,142783000000.000000,2168104000000.000000,302161000000.000000,2252058000000.000000,,2252058000000.000000,738044000000.000000,,1856039000000.000000,335803000000.000000,127163000000.000000,,2319005000000.000000,,28654000000.000000,,7996026000000.000000,16957448000000.000000,,5620345000000.000000,475755000000.000000,,7379848000000.000000,,,,,,40505000000.000000,,13516453000000.000000,2933399000000.000000,4700000000.000000,502896000000.000000,16957448000000.000000,24953474000000.000000,,3198596000000.000000,10732663000000.000000,4028127000000.000000,44360000000.000000,3983767000000.000000,4028127000000.000000,67043000000.000000,-514495000000.000000,17511934000000.000000,42465408000000.000000,31985962000.000000
12M 2010,,,5459971000000.000000,2476369000000.000000,2476369000000.000000,,2476369000000.000000,27966000000.000000,,,27966000000.000000,288732000000.000000,1947252000000.000000,10200290000000.000000,,3212904000000.000000,,,,,71408000000.000000,,9245886000000.000000,8810252000000.000000,8462275000000.000000,,44293000000.000000,553613000000.000000,30400631000000.000000,40600921000000.000000,,,5793531000000.000000,,,,2303985000000.000000,109144000000.000000,2413129000000.000000,737982000000.000000,135857000000.000000,,135857000000.000000,682473000000.000000,,1346980000000.000000,368641000000.000000,90810000000.000000,,1806431000000.000000,,17659000000.000000,,5793531000000.000000,16176838000000.000000,,5102587000000.000000,429406000000.000000,,7068256000000.000000,,,,,,55127000000.000000,,12655376000000.000000,2981363000000.000000,4495000000.000000,535604000000.000000,16176838000000.000000,21970369000000.000000,,3198596000000.000000,10732663000000.000000,5376617000000.000000,262723000000.000000,5113894000000.000000,5376617000000.000000,54111000000.000000,-731435000000.000000,18630552000000.000000,40600921000000.000000,31985962000.000000
12M 2011,,,558872000.000000,471342000.000000,471116000.000000,226000.000000,471342000.000000,13528000.000000,,,13528000.000000,52420000.000000,201363000.000000,1297525000.000000,,395783000.000000,,,,47911000.000000,10322000.000000,,1244650000.000000,1432299000.000000,1005506000.000000,,5544000.000000,219421000.000000,4361436000.000000,5658961000.000000,,,779201000.000000,,,,370941000.000000,17401000.000000,388342000.000000,39192000.000000,69591000.000000,,69591000.000000,132429000.000000,,102549000.000000,35695000.000000,4097000.000000,,142341000.000000,,7306000.000000,,779201000.000000,2437537000.000000,,1139480000.000000,39551000.000000,,787292000.000000,,,,,,1385000.000000,,1967708000.000000,435694000.000000,500000.000000,33635000.000000,2437537000.000000,3216738000.000000,,342940000.000000,1175281000.000000,942000000.000000,37731000.000000,904269000.000000,942000000.000000,6352000.000000,-24350000.000000,2442223000.000000,5658961000.000000,31985962000.000000
12M 2012,,,500368000.000000,474013000.000000,,,474013000.000000,11205000.000000,,,11205000.000000,64487000.000000,363802000.000000,1413875000.000000,,393647000.000000,,,,42808000.000000,,570000.000000,1927467000.000000,1769016000.000000,1022173000.000000,,8340000.000000,114360000.000000,5278381000.000000,6692256000.000000,,,899223000.000000,,,352675000.000000,,,352675000.000000,35539000.000000,40637000.000000,,40637000.000000,128392000.000000,,268408000.000000,31643000.000000,1979000.000000,,302030000.000000,,4765000.000000,35185000.000000,899223000.000000,2797979000.000000,,1298082000.000000,58819000.000000,,788530000.000000,,,,,,467000.000000,,2145898000.000000,601089000.000000,500000.000000,50492000.000000,2797979000.000000,3697202000.000000,,342940000.000000,1154494000.000000,1066661000.000000,,,1066661000.000000,436084000.000000,-5125000.000000,2995054000.000000,6692256000.000000,31985962000.000000
12M 2013,,,680904000.000000,309565000.000000,,,309565000.000000,1980000.000000,,,1980000.000000,102747000.000000,275683000.000000,1370879000.000000,,402021000.000000,,,,,,111000.000000,2186801000.000000,1705799000.000000,920296000.000000,,8694000.000000,139186000.000000,5362908000.000000,6733787000.000000,,,773679000.000000,,,326987000.000000,,,326987000.000000,44836000.000000,37468000.000000,,37468000.000000,117022000.000000,,155577000.000000,32289000.000000,,,187866000.000000,,19517000.000000,39983000.000000,773679000.000000,2765105000.000000,,1195541000.000000,47511000.000000,,789870000.000000,,,,,,,,2032922000.000000,648760000.000000,,83423000.000000,2765105000.000000,3538784000.000000,,342940000.000000,1154494000.000000,1217607000.000000,,,1217607000.000000,490218000.000000,-10256000.000000,3195003000.000000,6733787000.000000,31985962000.000000
12M 2014,,,745248000.000000,285560000.000000,,,285560000.000000,1606000.000000,,,1606000.000000,96743000.000000,142475000.000000,1271632000.000000,,395626000.000000,,,,,,213000.000000,2098603000.000000,1616603000.000000,903553000.000000,,4539000.000000,122879000.000000,5142016000.000000,6413648000.000000,,,774595000.000000,,,351145000.000000,,,351145000.000000,26887000.000000,47744000.000000,,47744000.000000,44786000.000000,,160522000.000000,32249000.000000,61864000.000000,,254635000.000000,,3790000.000000,45608000.000000,774595000.000000,2380905000.000000,,1613437000.000000,74322000.000000,,,,,,,,,,1687759000.000000,574855000.000000,,118291000.000000,2380905000.000000,3155500000.000000,,342940000.000000,1154494000.000000,1309707000.000000,,,1309707000.000000,491714000.000000,-40707000.000000,3258148000.000000,6413648000.000000,31985962000.000000
12M 2015,,,702452000.000000,195694000.000000,,,195694000.000000,2384000.000000,,,2384000.000000,72791000.000000,119198000.000000,1092519000.000000,,327460000.000000,,,,,,,2026965000.000000,1467111000.000000,903553000.000000,,4746000.000000,136275000.000000,4866110000.000000,5958629000.000000,,,454473000.000000,,,196419000.000000,,,196419000.000000,28380000.000000,13069000.000000,,13069000.000000,43372000.000000,,93574000.000000,29307000.000000,8147000.000000,,131028000.000000,,5443000.000000,36762000.000000,454473000.000000,2151113000.000000,,1383481000.000000,45443000.000000,,,,,582305000.000000,582305000.000000,,51344000.000000,,2062573000.000000,,,88540000.000000,2151113000.000000,2605586000.000000,,342940000.000000,1154494000.000000,1387009000.000000,,,1387009000.000000,487155000.000000,-18555000.000000,3353043000.000000,5958629000.000000,31985962000.000000
12M 2016,,,1076948000.000000,300689000.000000,,,300689000.000000,4399000.000000,,,4399000.000000,73417000.000000,137262000.000000,1592715000.000000,,46675000.000000,,,,,,,2436565000.000000,1544187000.000000,793610000.000000,,3766000.000000,104739000.000000,4929542000.000000,6522257000.000000,,,644555000.000000,,,207794000.000000,,,207794000.000000,28969000.000000,118981000.000000,,118981000.000000,42041000.000000,,122850000.000000,30876000.000000,,,153726000.000000,,20566000.000000,72478000.000000,644555000.000000,2091820000.000000,,1241198000.000000,39224000.000000,,,,,,,,49527000.000000,,1329949000.000000,653364000.000000,,108507000.000000,2091820000.000000,2736375000.000000,,342940000.000000,1154494000.000000,1627609000.000000,,,1627609000.000000,639424000.000000,21415000.000000,3785882000.000000,6522257000.000000,31985962000.000000
12M 2017,,,1206848000.000000,314718000.000000,,,314718000.000000,6729000.000000,,,6729000.000000,85466000.000000,365401000.000000,1979162000.000000,,45810000.000000,,,,,,,2355258000.000000,1506553000.000000,793610000.000000,,8766000.000000,124988000.000000,4834985000.000000,6814147000.000000,,,773302000.000000,,,279163000.000000,,,279163000.000000,37396000.000000,56713000.000000,,56713000.000000,31269000.000000,,201160000.000000,35571000.000000,,,236731000.000000,,17509000.000000,114521000.000000,773302000.000000,1949218000.000000,,1090830000.000000,49594000.000000,,,,,,,,,64925000.000000,1205349000.000000,612253000.000000,,131616000.000000,1949218000.000000,2722520000.000000,,342940000.000000,1154494000.000000,1966721000.000000,,,1966721000.000000,623357000.000000,4115000.000000,4091627000.000000,6814147000.000000,31985962000.000000
