Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,170630269813.000000,-101717290857.000000,68912978956.000000,-75374024529.000000,-6461045573.000000,-28600595217.000000,,-135323661.000000,-59566068.000000,-28405705488.000000,-28600595217.000000,-35061640790.000000,7479640965.000000,-27581999825.000000,-27581999825.000000,162762570.000000,-27419237255.000000,-27581999825.000000,-27488110268.000000,-93889557.000000,-27581999825.000000,-27419237255.000000,-27320717899.000000,-98519356.000000,-27419237255.000000
12M 2018,193640184708.000000,-107139484090.000000,86500700618.000000,-82264868936.000000,4235831682.000000,-28561987689.000000,,-474220728.000000,-47438015.000000,-28040328946.000000,-28561987689.000000,-24326156007.000000,5325805128.000000,-19000350879.000000,-19000350879.000000,1450643728.000000,-17549707151.000000,-19000350879.000000,-18855675394.000000,-144675485.000000,-19000350879.000000,-17549707151.000000,-17416709336.000000,-132997815.000000,-17549707151.000000
12M 2019,187523116084.000000,-104345740516.000000,83177375568.000000,-79775118200.000000,3402257368.000000,-22798312165.000000,,95793499.000000,-231423809.000000,-22662681855.000000,-22798312165.000000,-19396054797.000000,4238693616.000000,-15157361181.000000,-15157361181.000000,-137652517.000000,-15295013698.000000,-15157361181.000000,-15081351881.000000,-76009300.000000,-15157361181.000000,-15295013698.000000,-15223380113.000000,-71633585.000000,-15295013698.000000
12M 2020,33958241996.000000,-60448080942.000000,-26489838946.000000,-39129607551.000000,-65619446497.000000,-36976681819.000000,,-40703843834.000000,,3727162015.000000,-36976681819.000000,-102596128316.000000,19685569635.000000,-82910558681.000000,-82910558681.000000,3472744357.000000,-79437814324.000000,-82910558681.000000,-82395651302.000000,-514907379.000000,-82910558681.000000,-79437814324.000000,-78955754734.000000,-482059590.000000,-79437814324.000000
12M 2021,19386073054.000000,-38327664580.000000,-18941591526.000000,-27127935560.000000,-46069527086.000000,-40425996852.000000,,-42043252865.000000,,1617256013.000000,-40425996852.000000,-86495523938.000000,11408824830.000000,-75086699108.000000,-75086699108.000000,389971428.000000,-74696727680.000000,-75086699108.000000,-74801458012.000000,-285241096.000000,-75086699108.000000,-74696727680.000000,-74413142904.000000,-283584776.000000,-74696727680.000000
12M 2022,126226524149.000000,-80849925823.000000,45376598326.000000,-61136655826.000000,-15760057500.000000,-29265701408.000000,15978222.000000,-29879210726.000000,,597531096.000000,-29265701408.000000,-45025758908.000000,3626195444.000000,-41399563464.000000,-41399563464.000000,470151996.000000,-40929411468.000000,-41399563464.000000,-40932743086.000000,-466820378.000000,-41399563464.000000,-40929411468.000000,-40471401307.000000,-458010161.000000,-40929411468.000000
12M 2023,224564188357.000000,-113147892237.000000,111416296120.000000,-82313018155.000000,29103277965.000000,-15000180600.000000,55258902.000000,-15622507878.000000,,567068376.000000,-15000180600.000000,14103097365.000000,-7828288579.000000,6274808786.000000,6274808786.000000,699390111.000000,6974198897.000000,6274808786.000000,6688849702.000000,-414040916.000000,6274808786.000000,6974198897.000000,7389250775.000000,-415051878.000000,6974198897.000000
12M 2024,230633180518.000000,-111056687503.000000,119576493015.000000,-88931345441.000000,30645147574.000000,-16032892284.000000,,-16285940892.000000,,253048608.000000,-16032892284.000000,14612255290.000000,-7877488809.000000,6734766481.000000,6734766481.000000,279480212.000000,7014246693.000000,6734766480.000000,7051343501.000000,-316577021.000000,6734766480.000000,7014246692.000000,7331095951.000000,-316849259.000000,7014246692.000000
