Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pemasok Dan Beban Operasi,Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Bunga,Pembayaran Beban Usaha,Penerimaan Dari Aktivitas Operasi Lainnya,Pembayaran Untuk Aktivitas Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Lain-Lain,Pelepasan Aset Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Pinjaman Bank,Penerimaan Utang Bank,Penerimaan (Pembayaran) Utang Pihak Berelasi,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Pihak Berelasi,Penambahan Modal Disetor,Pembayaran Biaya Emisi Saham,Penerimaan Modal Saham Dan Agio Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,34935112667.000000,173049090795.000000,,-34002584735.000000,-51508076586.000000,-85510661321.000000,-17369743187.000000,-39450985934.000000,4626877691.000000,-409465377.000000,34935112667.000000,-2563042518.000000,-2549042518.000000,-14000000.000000,,-2563042518.000000,-27608271203.000000,-33815742379.000000,,6207471176.000000,,,6207471176.000000,,,,-27608271203.000000,4763798946.000000,14772240301.000000,19536039247.000000
12M 2018,19376660141.000000,195783214783.000000,,-37346075008.000000,-57750435550.000000,-95096510558.000000,-40583406905.000000,-45188855623.000000,5737995090.000000,-1275776646.000000,19376660141.000000,-3835523653.000000,-3830673653.000000,-4850000.000000,,-3835523653.000000,-7543818401.000000,-10786950029.000000,,3243131628.000000,,,3243131628.000000,,,,-7543818401.000000,7997318087.000000,19536039249.000000,27533357336.000000
12M 2019,581621021.000000,183086068710.000000,,-33880944974.000000,-59462559626.000000,-93343504600.000000,-52068702938.000000,-43698391713.000000,9461814582.000000,-2855663020.000000,581621021.000000,-110143962626.000000,-110078580026.000000,-65382600.000000,,-110143962626.000000,97316534810.000000,,10868578523.000000,-2472043713.000000,,,-2472043713.000000,52000000000.000000,,36920000000.000000,97316534810.000000,-12245806795.000000,27533357337.000000,15287550542.000000
12M 2020,-15529798144.000000,39418874145.000000,,-3985222989.000000,-28040130793.000000,-32025353782.000000,-19166106339.000000,-10818680607.000000,7061468439.000000,,-15529798144.000000,-1148686280.000000,-1148686280.000000,,,-1148686280.000000,2918074416.000000,-17068578523.000000,,19986652939.000000,,,19986652939.000000,,,,2918074416.000000,-13760410008.000000,15287550542.000000,1527140534.000000
12M 2021,-8989081268.000000,19539910250.000000,,-4763737129.000000,-12334777059.000000,-17098514188.000000,-1755581955.000000,-13162183615.000000,3487288240.000000,,-8989081268.000000,-34089000.000000,-34089000.000000,,,-34089000.000000,9962636853.000000,,,9962636853.000000,,,9962636853.000000,,,,9962636853.000000,939466585.000000,1527140534.000000,2466607119.000000
12M 2022,18200697421.000000,121133470799.000000,,-24212614492.000000,-35797096887.000000,-60009711379.000000,,-41900544739.000000,-1022517260.000000,,18200697421.000000,-19151000.000000,-19151000.000000,,,-19151000.000000,-7262956286.000000,,,-7262956286.000000,,,-7262956286.000000,,,,-7262956286.000000,10918590135.000000,2466607119.000000,13385197254.000000
12M 2023,47246549768.000000,226784108264.000000,,-58662787879.000000,-57468245629.000000,-116131033508.000000,-8201801360.000000,-53110269316.000000,-2094454312.000000,,47246549768.000000,-47024000.000000,-47024000.000000,,,-47024000.000000,-40748963991.000000,-100834000000.000000,,60085036009.000000,,,60085036009.000000,,,,-40748963991.000000,6450561777.000000,13385197254.000000,19835759031.000000
12M 2024,55329865018.000000,231072872285.000000,,-103477251182.000000,-57340964314.000000,-160818215496.000000,-16289031071.000000,-23757034365.000000,25121273665.000000,,55329865018.000000,-3408231509.000000,-3408231509.000000,,,-3408231509.000000,-46374459665.000000,-8334000000.000000,,,14172316842.000000,-52212776507.000000,-38040459665.000000,,,,-46374459665.000000,5547173844.000000,19835759031.000000,25382932875.000000
