Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Restitusi,Penerimaan (Pembayaran) Hubungan Berelasi,Pembayaran Ke Pemasok,Pembayaran Ke Pegawai,Penerimaan (Pembayaran) Operasional Lainnya,Pembayaran Administrasi Bank,Penerimaan (Pembayaran) Pajak Penghasilan,Pendapatan Sewa - Bersih,Penerimaan (Pembayaran) Piutang Lain-Lain,Penghasilan Dan Beban Lainnya Bersih,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pekerjaan Dalam Proses,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Pada Pihak Ketiga,Penerimaan Pihak Berelasi,Utang Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2013,89950751.000000,93384400980.000000,,,-89151440258.000000,-1254028657.000000,-3000000000.000000,-21951672.000000,-238749138.000000,,,371719496.000000,,89950751.000000,-48695000.000000,,-48695000.000000,,-48695000.000000,,,,,,41255751.000000,985674843.000000,,1026930594.000000
12M 2014,9380945088.000000,90062601301.000000,,,-81250248056.000000,-1511547176.000000,3000000000.000000,-17197715.000000,-966039750.000000,,,63376484.000000,,9380945088.000000,-3580486494.000000,,-3580486494.000000,,-3580486494.000000,,,,,,5800458594.000000,1026930594.000000,,6827389188.000000
12M 2015,8409440671.000000,141213012742.000000,,,-133770462885.000000,-787134346.000000,,-18642125.000000,1702939391.000000,,,69727894.000000,,8409440671.000000,-700315910.000000,,-700315910.000000,,-700315910.000000,,,,,,7709124761.000000,6827389188.000000,,14536513949.000000
12M 2016,-4777645440.000000,251449287890.000000,,,-233670862792.000000,-15644228802.000000,-4504108453.000000,-27624363.000000,-719587365.000000,,,-1660521555.000000,,-4777645440.000000,-441297000.000000,,-441297000.000000,,-441297000.000000,,,,,,-5218942440.000000,14536513948.000000,,9317571508.000000
12M 2017,1047654105.000000,22058854957.000000,,,-24825888297.000000,-3492338459.000000,-4666365164.000000,-3075468.000000,-2615752432.000000,,,14592218968.000000,,1047654105.000000,,,,,,,,,,,1047654105.000000,9317571509.000000,,10365225614.000000
12M 2018,247544593.000000,10057494688.000000,,,-8210217754.000000,,-6338119967.000000,-2285576.000000,3453879462.000000,,,1286793740.000000,,247544593.000000,-393875000.000000,,-393875000.000000,,-393875000.000000,,,,,,-146330407.000000,10365225614.000000,,10218895207.000000
12M 2019,9987146498.000000,13926047240.000000,,,-5154194880.000000,,-7217059161.000000,-2320500.000000,155324390.000000,,,8279349409.000000,,9987146498.000000,-191350000.000000,,-191350000.000000,,-191350000.000000,-7910000000.000000,,,-7910000000.000000,-7910000000.000000,1885796498.000000,10218895207.000000,,12104691705.000000
12M 2020,187536360.000000,10203340000.000000,,,-15642611101.000000,,-3825689328.000000,-2422200.000000,59266771.000000,,,9395652218.000000,,187536360.000000,-1639933600.000000,,-1639933600.000000,,-1639933600.000000,-1831687286.000000,,-1831687286.000000,,-1831687286.000000,-3284084526.000000,12104691705.000000,,8820607179.000000
12M 2021,7608238826.000000,10549325657.000000,,,-7296413155.000000,,-5251284012.000000,-2633600.000000,,8836643614.000000,,772600322.000000,,7608238826.000000,-592201635.000000,,-592201635.000000,,-592201635.000000,-2022308168.000000,,-2022308168.000000,,-2022308168.000000,4993729023.000000,8820607179.000000,,13814336202.000000
12M 2022,3247593106.000000,4841137714.000000,,,-10922269370.000000,,-3696623708.000000,-3510500.000000,,9711867085.000000,568549758.000000,2748442127.000000,,3247593106.000000,-46850000.000000,,-46850000.000000,,-46850000.000000,-6873076300.000000,,,-6873076300.000000,-6873076300.000000,-3672333194.000000,13814336202.000000,,10142003008.000000
12M 2023,-3686420149.000000,6250000000.000000,,,-6398402243.000000,,-5701918758.000000,-2993800.000000,,10635617093.000000,-8775000000.000000,306277559.000000,,-3686420149.000000,-250346000.000000,,-250346000.000000,,-250346000.000000,,,,,,-3936766149.000000,10142003008.000000,,6205236859.000000
12M 2024,3787879887.000000,1424465084.000000,,,-6598139574.000000,,-8824957180.000000,-2989800.000000,,11808511221.000000,5812805951.000000,168184185.000000,,3787879887.000000,-215541000.000000,,-215541000.000000,,-215541000.000000,,,,,,3572338887.000000,6205236859.000000,,9777575746.000000
