Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,91708035390.000000,-93291857468.000000,-1583822078.000000,-6734743162.000000,-40998273.000000,-6693744889.000000,-6734743162.000000,-8318565240.000000,349767824.000000,33189642.000000,197215917.000000,-21951672.000000,141313937.000000,349767824.000000,-7968797416.000000,,,,,-7968797416.000000,,-7968797416.000000,-7968797416.000000,-7968797416.000000,,-7968797416.000000,-7968797416.000000,-7968797416.000000,,-7968797416.000000
12M 2014,86480258028.000000,-88449900430.000000,-1969642402.000000,-7708426988.000000,-24530064.000000,-7683896924.000000,-7708426988.000000,-9678069390.000000,46178769.000000,79784274.000000,-7758809.000000,-17197715.000000,-8648981.000000,46178769.000000,-9631890621.000000,,,,,-9631890621.000000,,-9631890621.000000,-9631890621.000000,-9631890621.000000,,-9631890621.000000,-9631890621.000000,-9631890621.000000,,-9631890621.000000
12M 2015,143408228411.000000,-158946817044.000000,-15538588633.000000,-7654325916.000000,-20999000.000000,-7633326916.000000,-7654325916.000000,-23192914549.000000,96256769.000000,65272878.000000,32336061.000000,-18642125.000000,17289955.000000,96256769.000000,-23096657780.000000,,,,,-23096657780.000000,,-23096657780.000000,-23096657780.000000,-23096657780.000000,,-23096657780.000000,-23096657780.000000,-23096657780.000000,,-23096657780.000000
12M 2016,256234745701.000000,-250825197548.000000,5409548153.000000,-6616584228.000000,-169629252.000000,-6446954976.000000,-6616584228.000000,-1207036075.000000,-1688145918.000000,110588203.000000,-1771109758.000000,-27624363.000000,,-1688145918.000000,-2895181993.000000,,,,,-2895181993.000000,5521735.000000,-2889660258.000000,-2895181993.000000,-2895181993.000000,,-2895181993.000000,-2889660258.000000,-2889660258.000000,,-2889660258.000000
12M 2017,11819781048.000000,-11689712569.000000,130068479.000000,-8031143924.000000,-59713606.000000,-7971430318.000000,-8031143924.000000,-7901075445.000000,3975816556.000000,378817558.000000,-38984990.000000,-3075468.000000,3639059456.000000,3975816556.000000,-3925258889.000000,,,,,-3925258889.000000,-92607751.000000,-4017866640.000000,-3925258889.000000,-3925258889.000000,,-3925258889.000000,-4017866640.000000,-4017866640.000000,,-4017866640.000000
12M 2018,156504840.000000,-111736475.000000,44768365.000000,-9468006464.000000,-16077004.000000,-9451929460.000000,-9468006464.000000,-9423238099.000000,-39164908921.000000,462997717.000000,35910523.000000,-2285576.000000,-39661531585.000000,-39164908921.000000,-48588147020.000000,,,,,-48588147020.000000,,-48588147020.000000,-48588147020.000000,-48588147020.000000,,-48588147020.000000,-48588147020.000000,-48588147020.000000,,-48588147020.000000
12M 2019,59940000.000000,-40507230.000000,19432770.000000,-9624602666.000000,-15502466.000000,-9609100200.000000,-9624602666.000000,-9605169896.000000,8213871904.000000,610835075.000000,-18269685.000000,-2320500.000000,7623627014.000000,8213871904.000000,-1391297992.000000,,,,,-1391297992.000000,22168937.000000,-1369129055.000000,-1391297992.000000,-1391297992.000000,,-1391297992.000000,-1369129055.000000,-1369129055.000000,,-1369129055.000000
12M 2020,,,,-9141985620.000000,,-9141985620.000000,-9141985620.000000,-9141985620.000000,8074973861.000000,500355654.000000,6426000.000000,-2422200.000000,7570614407.000000,8074973861.000000,-1067011759.000000,,,,,-1067011759.000000,-65571727.000000,-1132583486.000000,-1067011759.000000,-1067011759.000000,,-1067011759.000000,-1132583486.000000,-1132583486.000000,,-1132583486.000000
12M 2021,1463340582.000000,-1439432384.000000,23908198.000000,-10435967451.000000,,-10435967451.000000,-10435967451.000000,-10412059253.000000,10358330029.000000,320112322.000000,5166000.000000,-2633600.000000,10035685307.000000,10358330029.000000,-53729224.000000,,,,,-53729224.000000,-13432750.000000,-67161974.000000,-53729224.000000,-53729224.000000,,-53729224.000000,-67161974.000000,-67161974.000000,,-67161974.000000
12M 2022,,,,-9616947837.000000,,-9616947837.000000,-9616947837.000000,-9616947837.000000,12808616203.000000,303077127.000000,46052685.000000,-3510500.000000,12462996891.000000,12808616203.000000,3191668366.000000,,,,,3191668366.000000,-34016800.000000,3157651566.000000,3191668366.000000,3191668366.000000,,3191668366.000000,3157651566.000000,3157651566.000000,,3157651566.000000
12M 2023,,,,-11570159859.000000,,-11570159859.000000,-11570159859.000000,-11570159859.000000,11486346168.000000,306277559.000000,-9922500.000000,-2993800.000000,11192984909.000000,11486346168.000000,-83813691.000000,,,,,-83813691.000000,-24789435.000000,-108603126.000000,-83813691.000000,-83813691.000000,,-83813691.000000,-108603126.000000,-108603126.000000,,-108603126.000000
12M 2024,,,,-13889031205.000000,,-13889031205.000000,-13889031205.000000,-13889031205.000000,9650518980.000000,168184185.000000,23499000.000000,-2989800.000000,9461825595.000000,9650518980.000000,-4238512225.000000,,,,,-4238512225.000000,1802025.000000,-4236710200.000000,-4238512225.000000,-4238512225.000000,,-4238512225.000000,-4236710200.000000,-4236710200.000000,,-4236710200.000000
