Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2013,,,,,,,,,,,,,0.93,0.93,11.49
12M 2014,348.6,161.47,105.88,404.19,1.05,1.0,2.26,1.63,2.11,2.03,0.31,0.29,0.96,0.96,2.52
12M 2015,208.45,84.52,82.58,210.39,1.75,1.87,4.32,7.13,3.33,3.31,0.5,0.54,2.18,2.18,2.44
12M 2016,111.98,29.59,45.97,95.6,3.26,3.28,12.34,7.65,5.79,5.77,0.95,0.89,4.59,4.59,1.91
12M 2017,2343.28,541.82,903.81,1981.29,0.16,0.16,0.67,0.82,0.26,0.26,0.04,0.05,0.21,0.21,2.26
12M 2018,153487.34,46559.17,73012.04,127034.47,,,0.01,0.01,,,,,,,2.75
12M 2019,328395.34,127806.15,191380.5,264820.99,,,,,,,,,,,2.42
12M 2020,,,,,,,,,,,,,,,2.94
12M 2021,9084.32,2368.59,2454.83,8998.08,0.04,0.05,0.15,0.15,0.05,0.05,0.01,0.01,0.04,0.04,2.93
12M 2022,,,,,,,,,,,,,,,3.44
12M 2023,,,,,,,,,,,,,,,2.92
12M 2024,,,,,,,,,,,,,,,3.17
