Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kepada Pemasok, Karyawan Dan Operasional Lainnya - Bersih",Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Lain-Lain,Restitusi (Pembayaran) Pajak Penghasilan - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penarikan (Penempatan) Investasi Jangka Pendek,Perolehan Aset Tetap,Peningkatan Uang Muka Pembelian,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Uang Muka Untuk Perolehan Aset Tetap,Pembayaran Uang Muka Pengembangan Usaha,Peningkatan Piutang Lain-Lain,Perolehan Penyertaan Saham,Hasil Divestasi Saham,Pembayaran Untuk Perolehan Entitas Anak,Penerimaan Piutang Lain-Lain Hasil Divestasi Saham,Penurunan (Peningkatan) Aset Lancar Lainnya,Perolehan Investasi Tersedia Untuk Dijual,Penerimaan Kembali Uang Muka Pembelian Aset Tetap,Pembayaran Bunga Obligasi,Penerimaan Kembali Uang Muka Pengembangan Usaha,Penerimaan Atas Penjualan Aset Keuangan,Penempatan Aset Keuangan Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Utang Bank Dan Lembaga Keuangan,Penerimaan,Pembayaran,Total Penerimaan (Pembayaran) Utang Bank Dan Lembaga Keuangan,Perolehan Utang Lain-Lain,Pembayaran Utang Lain-Lain,Penerimaan Dari Utang,Peningkatan (Penurunan) Utang Pihak Berelasi,Penerimaan Piutang Lain-Lain,Penurunan (Peningkatan) Piutang Pihak Berelasi,Peningkatan Pada Rekening Bank Yang Dibatasi Penggunaanya,Perolehan Surat Utang,Penerbitan Saham Opsi,Hasil Pelaksanaan Waran,Pembayaran Emisi Saham,Pembayaran Utang Obligasi,Peningkatan Utang Obligasi,Pembayaran Utang Sewa Pembiayaan,Pembayaran Biaya Transaksi Pinjaman,Aset Lancar Lainnya,Tambahan Modal Disetor,Peningkatan Uang Muka,Pembayaran Beban Keuangan,Hasil Penawaran Umum Terbatas Ii,Pembayaran Kewajiban Lancar Lainnya,Pembayaran Beban Pendanaan Dan Lainnya,Pengalihan Unit Usaha Transportasi Surabaya,Setoran Modal Dari Kepentingan Non Pengendali,Pembayaran Biaya Transaksi Penerbitan Obligasi,Biaya Dan Denda Atas Pelunasan Utang Lebih Awal,Pembayaran Transaksi Jual Dan Sewa Balik Pembiayaan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Penurunan (Peningkatan) Bank Yang Dibatasi Penggunaannya - Bersih,Pengaruh Divestasi,Kas Dan Setara Kas Akhir Periode
12M 2008,499644293675.000000,1216605379989.000000,-724943024878.000000,,,7981938564.000000,499644293675.000000,-5532784678973.000000,-18421173297.000000,-122965426345.000000,,3372031600.000000,,,,,-5394770110931.000000,,,,,,,,,,,,-5532784678973.000000,5211968732356.000000,,4412117163020.000000,,4412117163020.000000,,,,140787720346.000000,,11592045488.000000,,,1551274466.000000,32425047000.000000,-5449854015.000000,-9781000635.000000,178060687500.000000,-24191510039.000000,-31621712317.000000,,,,-252963871169.000000,875326248000.000000,,,,,,-115883505289.000000,,5211968732356.000000,178828347058.000000,78202448262.000000,83531761373.000000,234972999659.000000,265075120835.000000,840610677187.000000
12M 2009,993927689267.000000,2717885020248.000000,-1548523522044.000000,,,-175433808937.000000,993927689267.000000,-378063250396.000000,17747613600.000000,-358477798481.000000,,19512098901.000000,,,,,-2541881416.000000,,,,,,-54303283000.000000,,,,,,-378063250396.000000,-607814914856.000000,,,-326221348923.000000,-326221348923.000000,,,,65825841420.000000,,-202673480.000000,,,607200000.000000,419735640.000000,-2951433255.000000,,600000000000.000000,-2655609155.000000,-384344011564.000000,-130802926226.000000,,,-424296495327.000000,,3500000000.000000,,,,-6693193986.000000,,,-607814914856.000000,8049524015.000000,840610677187.000000,-123457610824.000000,-57832682200.000000,245524266.000000,667615432444.000000
12M 2010,980384956292.000000,2231845655078.000000,-1304390867289.000000,,,52930168503.000000,980384956292.000000,-251296105096.000000,-181863964929.000000,-184119438898.000000,,1900680680.000000,,,,,-829500000.000000,,,,,,,,,,113616118051.000000,,-251296105096.000000,-937324509354.000000,,539630725207.000000,,539630725207.000000,,,,45375424516.000000,,5328899499.000000,,,,13253255.000000,,-722076933043.000000,,-3563979683.000000,-19997015327.000000,,,,,,,-782034883778.000000,,,,,,-937324509354.000000,-208235658158.000000,667615432444.000000,-20993373899.000000,97455885561.000000,,535842285948.000000
12M 2011,457082297303.000000,2257074348994.000000,-1802935674927.000000,,,2943623236.000000,457082297303.000000,-548936395437.000000,-67123751722.000000,-315166782932.000000,,65493180750.000000,,-26223050964.000000,-5255505213.000000,,,362720000000.000000,,,,,,,,,-563380485356.000000,,-548936395437.000000,-327746144520.000000,,,-27406005826.000000,-27406005826.000000,,,,7338413773.000000,,-6019517341.000000,,,,30400.000000,,,,-4026814194.000000,-71177894872.000000,,,,-232079356460.000000,,,,,5625000000.000000,,,,-327746144520.000000,-419600242654.000000,535842285948.000000,19928112480.000000,-31712065520.000000,-89115242242.000000,15342848012.000000
12M 2012,32361646310.000000,250444221980.000000,-214711598777.000000,,,-3370976893.000000,32361646310.000000,-7906610023.000000,67157608000.000000,-27377986327.000000,,9899718106.000000,1386340971.000000,-30696315840.000000,-157924609.000000,,-4900000000.000000,2300000000.000000,,,,-58587750000.000000,30533389790.000000,,2536309886.000000,,,,-7906610023.000000,-25364416295.000000,,7000000000.000000,-20093446152.000000,-13093446152.000000,,,,-1999242355.000000,,-2434413899.000000,,,,,,,,-3262687931.000000,,,,,-4574625958.000000,,,,,,,,,-25364416295.000000,-909380008.000000,15342848012.000000,744631215.000000,,-5161540.000000,15172937679.000000
12M 2013,11167588577.000000,169880987914.000000,-157587677540.000000,,,-1125721797.000000,11167588577.000000,-42398525941.000000,,-51593008441.000000,,2319482500.000000,,,,,,6875000000.000000,,,,,,,,,,,-42398525941.000000,25969388511.000000,,48706186717.000000,-19404928497.000000,29301258220.000000,,,,-252425000.000000,,8107284899.000000,,,,,,,,-1866772684.000000,,,,,-9719956924.000000,,,,,400000000.000000,,,,25969388511.000000,-5261548853.000000,15172937679.000000,2701307587.000000,,-68898408.000000,12543798005.000000
12M 2014,44480698699.000000,152954202649.000000,-107256837750.000000,,,-1216666200.000000,44480698699.000000,-72697133343.000000,,-89893788309.000000,,3079654966.000000,,,,,,14117000000.000000,,,,,,,,,,,-72697133343.000000,21987769561.000000,,60219090305.000000,-22073184798.000000,38145905507.000000,434823112.000000,,,-65004400.000000,,3441763107.000000,,,,,,,,-8839611353.000000,,,,,-13764106412.000000,,,,,2634000000.000000,,,,21987769561.000000,-6228665083.000000,12543798005.000000,124478932.000000,,-12493910.000000,6427117944.000000
12M 2015,207502626.000000,123576124353.000000,-122265930509.000000,,,-1102691218.000000,207502626.000000,33036176925.000000,,-10016757476.000000,,16635250000.000000,,,,,,,,26417684401.000000,,,,,,,,,33036176925.000000,-30917383688.000000,,11583012613.000000,-24877587250.000000,-13294574637.000000,8377667922.000000,-7865662843.000000,,-730308511.000000,,7860.000000,,,,,,,,-6974538438.000000,,,,,-15429975041.000000,,,,,,,,5000000000.000000,-30917383688.000000,2326295863.000000,6427117944.000000,64514260.000000,,-5709960.000000,8812218107.000000
12M 2016,19074568732.000000,113564034873.000000,-92385677207.000000,,,-2103788934.000000,19074568732.000000,597060412.000000,,-2638666861.000000,,2375227273.000000,,,,,,,,860500000.000000,,,,,,,,,597060412.000000,-22649341914.000000,,84390057215.000000,-83858444880.000000,531612335.000000,8400200184.000000,-4846572074.000000,,-92443064.000000,,,,,,,,,,-12498415015.000000,,,202500000.000000,,-14346224280.000000,,,,,,,,,-22649341914.000000,-2977712770.000000,8812218107.000000,-6178924.000000,,,5828326413.000000
12M 2017,27795714676.000000,128835539506.000000,-99514057176.000000,,,-1525767654.000000,27795714676.000000,-10241993823.000000,,-15485608574.000000,,4500806864.000000,,,,,,,,742807887.000000,,,,,,,,,-10241993823.000000,-19282216967.000000,,9136767500.000000,-12273333710.000000,-3136566210.000000,4805444032.000000,-8101410536.000000,,855981646.000000,,,,,,,,,,-1039542267.000000,,,54560000.000000,,-12720683632.000000,,,,,,,,,-19282216967.000000,-1728496114.000000,5828326413.000000,2602413.000000,,,4102432712.000000
