Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Final,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Keuntungan (Rugi) Atas Transaksi Derivatif,Bagian Atas Hasil Bersih Pengendalian Bersama Entitas,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1196766028087.000000,-864479555934.000000,332286472153.000000,-58463094772.000000,-58463094772.000000,,,-58463094772.000000,273823377381.000000,-803264344264.000000,,,-35240185380.000000,-373615810967.000000,-176756600295.000000,,-217651747622.000000,-803264344264.000000,-529440966883.000000,46449503324.000000,-482991463559.000000,18038343273.000000,-464953120286.000000,,,-464953120286.000000,-482991463559.000000,18038343273.000000,-464953120286.000000,,,,
12M 2009,2714464693551.000000,-1974275058971.000000,740189634580.000000,-180339812140.000000,-180339812140.000000,,,-180339812140.000000,559849822440.000000,-3541534036137.000000,,,-219193362046.000000,-1316507137648.000000,212024322822.000000,,-2217857859265.000000,-3541534036137.000000,-2981684213697.000000,203044525237.000000,-2778639688460.000000,51925972825.000000,-2726713715635.000000,,,-2726713715635.000000,-2778639688460.000000,51925972825.000000,-2726713715635.000000,,,,
12M 2010,2243138889725.000000,-1732003573980.000000,511135315745.000000,-135820923286.000000,-135820923286.000000,,,-135820923286.000000,375314392459.000000,-2486376329083.000000,,,-41153097754.000000,-1370329972108.000000,-10878276332.000000,,-1064014982889.000000,-2486376329083.000000,-2111061936624.000000,-30438626016.000000,-2141500562640.000000,31079324434.000000,-2110421238206.000000,,,-2110421238206.000000,-2141500562640.000000,31079324434.000000,-2110421238206.000000,,,,
12M 2011,2134693492070.000000,-1790371960033.000000,344321532037.000000,-207423390523.000000,-207423390523.000000,,,-207423390523.000000,136898141514.000000,3599229551154.000000,93740737225.000000,,4435524018.000000,-1522570790775.000000,,,5023624080686.000000,3599229551154.000000,3736127692668.000000,141039722434.000000,3877167415102.000000,,3877167415102.000000,-353977814657.000000,3523189600445.000000,3877167415102.000000,3952936985930.000000,-75769570828.000000,3877167415102.000000,3523189600445.000000,3598959171273.000000,-75769570828.000000,3523189600445.000000
12M 2012,245497159520.000000,-212132013974.000000,33365145546.000000,-29437375603.000000,-29437375603.000000,,,-29437375603.000000,3927769943.000000,7313928672.000000,6746357931.000000,1631838114.000000,-797657730.000000,-4843980168.000000,,,4577370525.000000,7313928672.000000,11241698615.000000,-1291828385.000000,9949870230.000000,,9949870230.000000,2338583545.000000,12288453775.000000,9949870230.000000,10735503971.000000,-785633741.000000,9949870230.000000,12288453775.000000,13074087516.000000,-785633741.000000,12288453775.000000
12M 2013,170309748043.000000,-140948873223.000000,29360874820.000000,-22142490337.000000,-22142490337.000000,,,-22142490337.000000,7218384483.000000,-7673420149.000000,1071758795.000000,58453184.000000,-1592185356.000000,-7200908072.000000,,,-10538700.000000,-7673420149.000000,-455035666.000000,-1262138402.000000,-1717174068.000000,,-1717174068.000000,55247565077.000000,53530391009.000000,-1717174068.000000,-1308097018.000000,-409077050.000000,-1717174068.000000,53530391009.000000,53939468059.000000,-409077050.000000,53530391009.000000
12M 2014,141408786463.000000,-112694213653.000000,28714572810.000000,-21141734873.000000,-21141734873.000000,,,-21141734873.000000,7572837937.000000,-51053139318.000000,789870062.000000,30093089.000000,-1773719635.000000,-13625106412.000000,,,-36474276422.000000,-51053139318.000000,-43480301381.000000,-1397174359.000000,-44877475740.000000,,-44877475740.000000,22059285205.000000,-22818190535.000000,-44877475740.000000,-44649410819.000000,-228064921.000000,-44877475740.000000,-22818190535.000000,-22590125614.000000,-228064921.000000,-22818190535.000000
12M 2015,146900087426.000000,-114449917582.000000,32450169844.000000,-20365196111.000000,-20365196111.000000,,,-20365196111.000000,12084973733.000000,-27398019460.000000,-2840457732.000000,335822024.000000,-11018532656.000000,-15429975041.000000,,,1555123945.000000,-27398019460.000000,-15313045727.000000,1303853726.000000,-14009192001.000000,,-14009192001.000000,-4903473963.000000,-18912665964.000000,-14009192001.000000,-13436709371.000000,-572482630.000000,-14009192001.000000,-18912665964.000000,-18340183334.000000,-572482630.000000,-18912665964.000000
12M 2016,114571589749.000000,-101346782049.000000,13224807700.000000,-20063550481.000000,-19614285431.000000,,-449265050.000000,-20063550481.000000,-6838742781.000000,-29116095170.000000,2522826672.000000,13938446.000000,2018542601.000000,-13794134238.000000,,,-19877268651.000000,-29116095170.000000,-35954837951.000000,-2481762355.000000,-38436600306.000000,,-38436600306.000000,-34773286756.000000,-73209887062.000000,-38436600306.000000,-37599787140.000000,-836813166.000000,-38436600306.000000,-73209887062.000000,-72373073896.000000,-836813166.000000,-73209887062.000000
12M 2017,121473498122.000000,-99758478056.000000,21715020066.000000,-12661526287.000000,-12192204357.000000,,-469321930.000000,-12661526287.000000,9053493779.000000,-30861903135.000000,74837430.000000,8411425.000000,-654373670.000000,-12429365752.000000,,,-17861412568.000000,-30861903135.000000,-21808409356.000000,1756915569.000000,-20051493787.000000,,-20051493787.000000,2092501036.000000,-17958992751.000000,-20051493787.000000,-18882381791.000000,-1169111996.000000,-20051493787.000000,-17958992751.000000,-16789880755.000000,-1169111996.000000,-17958992751.000000
