Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Properti Investasi,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Wesel Bayar,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2016,,,73781192748.000000,98875236460.000000,140601539006.000000,12236194229.000000,325494162443.000000,,1262352850.000000,,,1262352850.000000,4806770851.000000,546284875130.000000,1225754082.000000,43829103.000000,2555277500.000000,556178859516.000000,881673021959.000000,,,111360300869.000000,20000000000.000000,,4856563996.000000,75969283141.000000,80825847137.000000,344281642.000000,,,344281642.000000,2949728194.000000,2367967136.000000,,,,,4872476760.000000,111360300869.000000,18417236260.000000,,,,,,18417236260.000000,18417236260.000000,129777537129.000000,,135343500000.000000,,240058363354.000000,2400000000.000000,237658363354.000000,240058363354.000000,,376493621476.000000,751895484830.000000,881673021959.000000,1353435000.000000
12M 2017,,,37579943948.000000,137601719759.000000,168469096531.000000,7604876369.000000,351255636607.000000,,1085575050.000000,,,1085575050.000000,6076117595.000000,557421928580.000000,1009444538.000000,37086147.000000,4355200000.000000,569985351910.000000,921240988517.000000,,,127673269661.000000,20000000000.000000,,5932485674.000000,96342554287.000000,102275039961.000000,326881169.000000,,,326881169.000000,2308091174.000000,2763257357.000000,,,,,,127673269661.000000,27402887073.000000,,,,,,27402887073.000000,27402887073.000000,155076156734.000000,,135343500000.000000,,254327710307.000000,2500000000.000000,251827710307.000000,254327710307.000000,,376493621476.000000,766164831783.000000,921240988517.000000,1353435000.000000
12M 2018,,,37845309428.000000,159373373450.000000,206351835455.000000,2418205568.000000,405988723901.000000,,1186870500.000000,,,1186870500.000000,4584859434.000000,570873765937.000000,793134994.000000,520142223.000000,650275000.000000,578609048088.000000,984597771989.000000,,,151341881953.000000,20000000000.000000,,3500546990.000000,117561580304.000000,121062127294.000000,367763490.000000,,,367763490.000000,2004957435.000000,7907033734.000000,,,,,,151341881953.000000,24876903230.000000,,,,,,24876903230.000000,24876903230.000000,176218785183.000000,,135343500000.000000,,296541865330.000000,2600000000.000000,293941865330.000000,296541865330.000000,,376493621476.000000,808378986806.000000,984597771989.000000,1353435000.000000
12M 2019,,,33237581429.000000,196694953828.000000,236575038516.000000,2369533871.000000,468877107644.000000,,1667867323.000000,,,1667867323.000000,9945348520.000000,840773505144.000000,576825450.000000,502199195.000000,6740197163.000000,860205942795.000000,1329083050439.000000,,,173578114300.000000,31820850843.000000,,,132168861536.000000,132168861536.000000,461806807.000000,,,461806807.000000,5142952174.000000,3050309607.000000,,,933333333.000000,933333333.000000,,173578114300.000000,147213677218.000000,,,,,99000000000.000000,48213677218.000000,147213677218.000000,320791791518.000000,,135343500000.000000,-30065408439.000000,309343568400.000000,2700000000.000000,306643568400.000000,309343568400.000000,27601903724.000000,566067695236.000000,1008291258921.000000,1329083050439.000000,1353435000.000000
12M 2020,,,55386586098.000000,210768032644.000000,219656022775.000000,4473438743.000000,490284080260.000000,,1054941449.000000,,,1054941449.000000,10461578165.000000,965782828798.000000,360515906.000000,473056095.000000,6055515493.000000,984188435906.000000,1474472516166.000000,,,263432699854.000000,99794850784.000000,,,142513376657.000000,142513376657.000000,1280297756.000000,,,1280297756.000000,5396122631.000000,6114718693.000000,,,8333333333.000000,8333333333.000000,,263432699854.000000,190854500084.000000,,31666666667.000000,,31666666667.000000,99000000000.000000,60187833417.000000,190854500084.000000,454287199938.000000,,135343500000.000000,-30065408439.000000,320525304268.000000,2800000000.000000,317725304268.000000,320525304268.000000,28314225163.000000,566067695236.000000,1020185316228.000000,1474472516166.000000,1353435000.000000
12M 2021,,,26777787660.000000,218242175938.000000,269689497108.000000,6579083157.000000,521288543863.000000,,894413750.000000,,,894413750.000000,9313868555.000000,1006930999941.000000,144206362.000000,491820763.000000,30866083610.000000,1048641392981.000000,1569929936844.000000,,,266457069558.000000,63843437708.000000,,,180317100997.000000,180317100997.000000,734691243.000000,,,734691243.000000,6670008255.000000,3740608906.000000,,420842857.000000,10730379592.000000,11151222449.000000,,266457069558.000000,255788818962.000000,,106447185301.000000,880504443.000000,107327689744.000000,99000000000.000000,49461129218.000000,255788818962.000000,522245888520.000000,,135343500000.000000,-30065408439.000000,346208407868.000000,2900000000.000000,343308407868.000000,346208407868.000000,30129853659.000000,566067695236.000000,1047684048324.000000,1569929936844.000000,1353435000.000000
12M 2022,,,18699401624.000000,279729777263.000000,311287516529.000000,5038981557.000000,614755676973.000000,,1395886781.000000,861397285.000000,534489496.000000,1395886781.000000,6331116080.000000,1145732465164.000000,22356770987.000000,459955636.000000,6248920524.000000,1182525115172.000000,1797280792145.000000,,,365102738589.000000,124834324035.000000,,1790928936.000000,207276738567.000000,209067667503.000000,,1014130583.000000,1440000000.000000,2454130583.000000,5606561254.000000,3530222209.000000,,532995067.000000,19076837938.000000,19609833005.000000,,365102738589.000000,245772262267.000000,,111081312113.000000,480351158.000000,111561663271.000000,99000000000.000000,35210598996.000000,245772262267.000000,610875000856.000000,,135343500000.000000,-30065408439.000000,389479986622.000000,3000000000.000000,386479986622.000000,389479986622.000000,37347914409.000000,654299798697.000000,1186405791289.000000,1797280792145.000000,1353435000.000000
12M 2023,,,16648102881.000000,300441601065.000000,208927070627.000000,6261192822.000000,532277967395.000000,,4087656223.000000,937697023.000000,3149959200.000000,4087656223.000000,8169531815.000000,1146160068795.000000,21618284931.000000,567889283.000000,20986054933.000000,1201589485980.000000,1733867453375.000000,,,263777306382.000000,53895239242.000000,,2325148317.000000,159987633194.000000,162312781511.000000,,1637264433.000000,1440000000.000000,3077264433.000000,5868764161.000000,7351091862.000000,,717845799.000000,30554319374.000000,31272165173.000000,,263777306382.000000,252739533345.000000,,111788476461.000000,331446469.000000,112119922930.000000,99000000000.000000,41619610415.000000,252739533345.000000,516516839727.000000,,135343500000.000000,-30065408439.000000,420075925176.000000,3100000000.000000,416975925176.000000,420075925176.000000,37696798214.000000,654299798697.000000,1217350613648.000000,1733867453375.000000,1353435000.000000
12M 2024,,,30781039406.000000,311149928665.000000,239977611743.000000,6403840975.000000,588312420789.000000,,1872788897.000000,1363268897.000000,509520000.000000,1872788897.000000,6897307766.000000,1199652204034.000000,25553716076.000000,529427324.000000,13066116172.000000,1247571560269.000000,1835883981058.000000,,,344192140180.000000,78599505230.000000,,2306107299.000000,220685476507.000000,222991583806.000000,,2315174461.000000,,2315174461.000000,7206211579.000000,3382818199.000000,,349268338.000000,29347578567.000000,29696846905.000000,,344192140180.000000,259715321943.000000,,126527717781.000000,106323982.000000,126634041763.000000,99000000000.000000,34081280180.000000,259715321943.000000,603907462123.000000,,135343500000.000000,-30065408439.000000,434320097944.000000,3200000000.000000,431120097944.000000,434320097944.000000,38078530733.000000,654299798697.000000,1231976518935.000000,1835883981058.000000,1353435000.000000
