Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,"Pembayaran Untuk Gaji, Tunjangan Dan Imbalan Pasca Kerja",Pembayaran Untuk Beban Operasional,Penerimaan Dari Pendapatan Keuangan,Penerimaan Lebih Bayar Pajak Penghasilan Badan,Pembayaran Pajak Penghasilan Badan,Pembayaran Biaya Keuangan,Pembayaran Pajak Atas Revaluasi Aset Tetap,Penerimaan Dari Kegiatan Operasi Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Pengembalian Aset Dalam Penyelesaian,Pengurangan Piutang Lain-Lain,Pembayaran Untuk Kombinasi Bisnis Entitas Sepengendali,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Pengembalian Uang Muka Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Piutang Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Wesel Bayar Kepada Pihak Berelasi,Pembayaran Dividen Kas,Penempatan Deposito Berjangka Yang Dibatasi Penggunaannya,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,18474420606.000000,551692735186.000000,-391582643754.000000,-60185571381.000000,-78051960506.000000,5036298520.000000,,-9809110259.000000,-228472221.000000,-359122469.000000,1962267490.000000,18474420606.000000,-60563419205.000000,,439998000.000000,,987727273.000000,-59989666978.000000,-1825127500.000000,,,-176350000.000000,-60563419205.000000,10607590072.000000,,-4060305000.000000,,,20000000000.000000,,,,-5332104928.000000,10607590072.000000,-31481408527.000000,105439927774.000000,-177326499.000000,73781192748.000000
12M 2017,804193508.000000,607108279630.000000,-447433382305.000000,-74399139889.000000,-79738926822.000000,2505689746.000000,2550789128.000000,-9365983573.000000,-2410686235.000000,,1987553828.000000,804193508.000000,-27763834442.000000,,335962600.000000,,,-18561964442.000000,-9387082600.000000,,,-150750000.000000,-27763834442.000000,-9296929782.000000,,-4060305000.000000,,,,,,,-5236624782.000000,-9296929782.000000,-36256570716.000000,73781192748.000000,55321916.000000,37579943948.000000
12M 2018,29787392473.000000,718508419921.000000,-502816778648.000000,-89058512997.000000,-86667397462.000000,750425799.000000,,-11424979966.000000,-2406083330.000000,,2902299156.000000,29787392473.000000,-25939976422.000000,,415177400.000000,,63636364.000000,-17517877734.000000,-7888913420.000000,,-489799032.000000,-522200000.000000,-25939976422.000000,-4060305000.000000,,-4060305000.000000,,,,,,,,-4060305000.000000,-212888949.000000,37579943948.000000,478254429.000000,37845309428.000000
12M 2019,27401453041.000000,918955138173.000000,-626503791369.000000,-138412402325.000000,-103688318097.000000,612618355.000000,-20270528875.000000,,-8680690083.000000,,5389427262.000000,27401453041.000000,-77085908772.000000,,414250000.000000,-38500000000.000000,936363638.000000,-30218808310.000000,-8936444115.000000,,,-781269985.000000,-77085908772.000000,35633145760.000000,38500000000.000000,-8120610000.000000,,,7120422427.000000,,,-1866666667.000000,,35633145760.000000,-14051309971.000000,47586198549.000000,-297307149.000000,33237581429.000000
12M 2020,64823265195.000000,1013733892463.000000,-678198667351.000000,-147393796202.000000,-107586960548.000000,353476043.000000,-6667758094.000000,,-15152979422.000000,,5736058306.000000,64823265195.000000,-149845516949.000000,,833550000.000000,,164545456.000000,-145066747786.000000,-5556240493.000000,,,-220624126.000000,-149845516949.000000,107040666608.000000,,,,,67973999941.000000,,40000000000.000000,-933333333.000000,,107040666608.000000,22018414854.000000,33237581429.000000,130589815.000000,55386586098.000000
12M 2021,24146878930.000000,1039938102823.000000,-726390678696.000000,-139366942594.000000,-127727746631.000000,326803567.000000,-10449158148.000000,,-19407705372.000000,,7224203981.000000,24146878930.000000,-92606773170.000000,,227650000.000000,,2498282990.000000,-46526508673.000000,-48691167417.000000,,-47907768.000000,-67122302.000000,-92606773170.000000,39776714021.000000,,,-1610000000.000000,-376112700.000000,27048586924.000000,-63000000000.000000,86351898000.000000,-8637658203.000000,,39776714021.000000,-28683180219.000000,55386586098.000000,74381781.000000,26777787660.000000
12M 2022,-9549425914.000000,1256405791126.000000,-930389496007.000000,-159962223169.000000,-145496902932.000000,146702536.000000,-14077514071.000000,,-24835761362.000000,,8659977965.000000,-9549425914.000000,-73009149179.000000,,264750000.000000,,5704257836.000000,-52059242731.000000,-26787180749.000000,100000000.000000,,-231733535.000000,-73009149179.000000,73557615902.000000,,,,-449106075.000000,150834160642.000000,-89843274315.000000,25876000000.000000,-12860164350.000000,,73557615902.000000,-9000959191.000000,26777787660.000000,922573155.000000,18699401624.000000
12M 2023,116556475561.000000,1242093292374.000000,-808467564006.000000,-160643405804.000000,-135247191530.000000,825468713.000000,-10690917870.000000,,-21889866430.000000,,10576660114.000000,116556475561.000000,-52423613487.000000,,203000000.000000,,1886636938.000000,-36701874821.000000,-17351466529.000000,,-142825000.000000,-317084075.000000,-52423613487.000000,-66077759372.000000,,-6767175000.000000,,-718013957.000000,53685418444.000000,-124624503237.000000,31981000000.000000,-19634485622.000000,,-66077759372.000000,-1944897298.000000,18699401624.000000,-106401445.000000,16648102881.000000
12M 2024,73766257613.000000,1332445384513.000000,-877223933572.000000,-179819222629.000000,-176905744521.000000,333042214.000000,-14964102831.000000,,-22559189411.000000,,12460023850.000000,73766257613.000000,-86735316632.000000,,527250000.000000,,2636936938.000000,-83832671352.000000,-5121858000.000000,,,-944974218.000000,-86735316632.000000,26849779730.000000,,-10827480000.000000,,-764797299.000000,147564850405.000000,-122860584417.000000,45045333334.000000,-31307542293.000000,,26849779730.000000,13880720711.000000,16648102881.000000,252215814.000000,30781039406.000000
