Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,841838000000.000000,44000000000.000000,237283000000.000000,2940000000.000000,10176000000.000000,,,10176000000.000000,475377000000.000000,86332000000.000000,1697946000000.000000,,888340000000.000000,,,417773000000.000000,1306113000000.000000,3004059000000.000000,,,571928000000.000000,501115000000.000000,,,501115000000.000000,21637000000.000000,25580000000.000000,23596000000.000000,,571928000000.000000,104643000000.000000,7858000000.000000,96785000000.000000,104643000000.000000,676571000000.000000,,353200000000.000000,91004000000.000000,1906143000000.000000,45000000000.000000,1861143000000.000000,1906143000000.000000,-22859000000.000000,2327488000000.000000,3004059000000.000000,7064000000.000000
12M 2009,,,655450000000.000000,147100000000.000000,202977000000.000000,2253000000.000000,17987000000.000000,,,17987000000.000000,640758000000.000000,92408000000.000000,1758933000000.000000,,944419000000.000000,,,505858000000.000000,1450277000000.000000,3209210000000.000000,,,626179000000.000000,568527000000.000000,,,568527000000.000000,17868000000.000000,23578000000.000000,16206000000.000000,,626179000000.000000,110413000000.000000,8495000000.000000,101918000000.000000,110413000000.000000,736592000000.000000,,353200000000.000000,91004000000.000000,2021922000000.000000,50000000000.000000,1971922000000.000000,2021922000000.000000,6492000000.000000,2472618000000.000000,3209210000000.000000,7064000000.000000
12M 2010,,,796184000000.000000,54821000000.000000,234938000000.000000,2415000000.000000,17745000000.000000,,,17745000000.000000,729977000000.000000,104285000000.000000,1940365000000.000000,,1162065000000.000000,,,383552000000.000000,1545617000000.000000,3485982000000.000000,,,680772000000.000000,603190000000.000000,,,603190000000.000000,21002000000.000000,35948000000.000000,20632000000.000000,,680772000000.000000,124774000000.000000,7436000000.000000,117338000000.000000,124774000000.000000,805546000000.000000,,354800000000.000000,117570000000.000000,2200074000000.000000,55000000000.000000,2145074000000.000000,2200074000000.000000,7992000000.000000,2680436000000.000000,3485982000000.000000,7096000000.000000
12M 2011,,,927030000000.000000,119700000000.000000,228831000000.000000,4227000000.000000,14567000000.000000,,,14567000000.000000,715843000000.000000,123056000000.000000,2133254000000.000000,,1145447000000.000000,,,480342000000.000000,1625789000000.000000,3759043000000.000000,,,780468000000.000000,691049000000.000000,,,691049000000.000000,18106000000.000000,44077000000.000000,27236000000.000000,,780468000000.000000,137178000000.000000,1613000000.000000,135565000000.000000,137178000000.000000,917646000000.000000,,354800000000.000000,117570000000.000000,2364782000000.000000,60000000000.000000,2304782000000.000000,2364782000000.000000,4245000000.000000,2841397000000.000000,3759043000000.000000,7096000000.000000
12M 2012,,,1169416000000.000000,152264000000.000000,1692000000.000000,2115000000.000000,8342000000.000000,,,8342000000.000000,763117000000.000000,222345000000.000000,2319291000000.000000,,1201874000000.000000,5641000000.000000,,546559000000.000000,1754074000000.000000,4073365000000.000000,,,871554000000.000000,723184000000.000000,,,723184000000.000000,50955000000.000000,63726000000.000000,33689000000.000000,,871554000000.000000,159926000000.000000,,159926000000.000000,159926000000.000000,1031480000000.000000,,354800000000.000000,117570000000.000000,2575630000000.000000,65000000000.000000,2510630000000.000000,2575630000000.000000,-6115000000.000000,3041885000000.000000,4073365000000.000000,7096000000.000000
12M 2013,,,869000000000.000000,403089000000.000000,1097000000.000000,2319000000.000000,17945000000.000000,,,17945000000.000000,872064000000.000000,209070000000.000000,2374584000000.000000,,1445497000000.000000,10279000000.000000,,548196000000.000000,2003972000000.000000,4378556000000.000000,,,963367000000.000000,874054000000.000000,,,874054000000.000000,20731000000.000000,34380000000.000000,34202000000.000000,,963367000000.000000,198018000000.000000,,198018000000.000000,198018000000.000000,1161385000000.000000,,354800000000.000000,117570000000.000000,2753285000000.000000,70000000000.000000,2683285000000.000000,2753285000000.000000,-8484000000.000000,3217171000000.000000,4378556000000.000000,7096000000.000000
12M 2014,,,625373000000.000000,1026105000000.000000,36387000000.000000,2590000000.000000,20716000000.000000,,,20716000000.000000,808569000000.000000,175204000000.000000,2694944000000.000000,,1375402000000.000000,15459000000.000000,,468862000000.000000,1859723000000.000000,4554667000000.000000,,,967544000000.000000,874411000000.000000,,,874411000000.000000,14659000000.000000,31760000000.000000,46714000000.000000,,967544000000.000000,227676000000.000000,,227676000000.000000,227676000000.000000,1195220000000.000000,,354800000000.000000,117570000000.000000,2895480000000.000000,75000000000.000000,2820480000000.000000,2895480000000.000000,-8403000000.000000,3359447000000.000000,4554667000000.000000,7096000000.000000
12M 2015,,,844253000000.000000,984004000000.000000,483000000.000000,3652000000.000000,29960000000.000000,6470000000.000000,23490000000.000000,29960000000.000000,823909000000.000000,144911000000.000000,2831172000000.000000,,1333227000000.000000,33457000000.000000,,377048000000.000000,1743732000000.000000,4574904000000.000000,,,960890000000.000000,885960000000.000000,,,885960000000.000000,13598000000.000000,32283000000.000000,29049000000.000000,,960890000000.000000,280210000000.000000,,280210000000.000000,280210000000.000000,1241100000000.000000,,354800000000.000000,117570000000.000000,3045099000000.000000,70000000000.000000,2975099000000.000000,3045099000000.000000,-183665000000.000000,3333804000000.000000,4574904000000.000000,7096000000.000000
12M 2016,,,603750000000.000000,1156855000000.000000,68148000000.000000,12025000000.000000,39701000000.000000,5295000000.000000,34406000000.000000,39701000000.000000,834400000000.000000,115936000000.000000,2830815000000.000000,,1279282000000.000000,45437000000.000000,,491475000000.000000,1816194000000.000000,4647009000000.000000,,,1008981000000.000000,897748000000.000000,,,897748000000.000000,6442000000.000000,61718000000.000000,43073000000.000000,,1008981000000.000000,300629000000.000000,,300629000000.000000,300629000000.000000,1309610000000.000000,,354800000000.000000,132494000000.000000,3247049000000.000000,70000000000.000000,3177049000000.000000,3247049000000.000000,-396944000000.000000,3337399000000.000000,4647009000000.000000,7096000000.000000
12M 2017,,,751901000000.000000,1279068000000.000000,127509000000.000000,10046000000.000000,47076000000.000000,16807000000.000000,30269000000.000000,47076000000.000000,740993000000.000000,136903000000.000000,3093496000000.000000,,1235256000000.000000,58537000000.000000,14669000000.000000,489964000000.000000,1798426000000.000000,4891922000000.000000,,,1048640000000.000000,949543000000.000000,,,949543000000.000000,6878000000.000000,48691000000.000000,43528000000.000000,,1048640000000.000000,348937000000.000000,,348937000000.000000,348937000000.000000,1397577000000.000000,,354800000000.000000,132494000000.000000,3411608000000.000000,70000000000.000000,3341608000000.000000,3411608000000.000000,-404557000000.000000,3494345000000.000000,4891922000000.000000,7096000000.000000
