Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.52,329.49,1.52,329.49,,,,(842 B),"1,126 B"
12M 2009,1.77,350.03,1.77,350.03,,,,(655 B),"1,133 B"
12M 2010,2.25,377.74,2.25,377.74,,,,(796 B),"1,260 B"
12M 2011,1.80,400.42,1.80,400.42,,,,(927 B),"1,353 B"
12M 2012,2.85,428.68,2.85,428.68,,,,"(1,169 B)","1,448 B"
12M 2013,2.34,453.38,2.34,453.38,,,,(869 B),"1,411 B"
12M 2014,1.67,473.43,1.67,473.43,,,,(625 B),"1,727 B"
12M 2015,1.37,469.81,1.37,469.81,,,,(844 B),"1,870 B"
12M 2016,2.54,470.32,2.54,470.32,,,,(604 B),"1,822 B"
12M 2017,2.44,492.44,2.45,490.37,,,,(752 B),"2,045 B"
12M 2018,2.63,539.38,2.64,537.66,,,,"(1,951 B)","2,464 B"
12M 2019,1.81,587.50,1.82,586.05,,,,"(2,208 B)","2,882 B"
12M 2020,1.48,524.06,1.48,523.31,,,,"(1,554 B)","2,275 B"
12M 2021,1.29,506.88,1.29,506.49,,,,"(1,582 B)","2,340 B"
12M 2022,1.08,525.43,1.09,525.24,,,,"(2,178 B)","2,484 B"
12M 2023,1.02,504.15,1.02,504.15,,,,"(1,199 B)","2,382 B"
12M 2024,0.73,504.05,0.73,504.05,,,,"(1,034 B)","2,351 B"
