Period,Total Pendapatan,Penjualan,Others,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4407554000000.000000,,4407554000000.000000,4407554000000.000000,-2883585000000.000000,1523969000000.000000,-1063732000000.000000,-1107366000000.000000,,,-1107366000000.000000,,38575000000.000000,5059000000.000000,-1063732000000.000000,460237000000.000000,60936000000.000000,60936000000.000000,,,60936000000.000000,521173000000.000000,-91426000000.000000,-99069000000.000000,7643000000.000000,-91426000000.000000,429747000000.000000,,,429747000000.000000,429747000000.000000,,429747000000.000000,,,,
12M 2009,4310395000000.000000,,4310395000000.000000,4310395000000.000000,-2839025000000.000000,1471370000000.000000,-1131501000000.000000,-1104825000000.000000,,,-1104825000000.000000,,-38646000000.000000,11970000000.000000,-1131501000000.000000,339869000000.000000,64254000000.000000,64254000000.000000,,,64254000000.000000,404123000000.000000,-69360000000.000000,-72577000000.000000,3217000000.000000,-69360000000.000000,334763000000.000000,,,334763000000.000000,334763000000.000000,,334763000000.000000,,,,
12M 2010,4775168000000.000000,,4775168000000.000000,4775168000000.000000,-3116277000000.000000,1658891000000.000000,-1293769000000.000000,-1288061000000.000000,,,-1288061000000.000000,,-11069000000.000000,5361000000.000000,-1293769000000.000000,365122000000.000000,46705000000.000000,46705000000.000000,,,46705000000.000000,411827000000.000000,-57075000000.000000,-60129000000.000000,3054000000.000000,-57075000000.000000,354752000000.000000,,,354752000000.000000,354752000000.000000,,354752000000.000000,,,,
12M 2011,5086158000000.000000,,5086158000000.000000,5086158000000.000000,-3315084000000.000000,1771074000000.000000,-1393492000000.000000,-1407014000000.000000,,,-1407014000000.000000,,,13522000000.000000,-1393492000000.000000,377582000000.000000,56673000000.000000,56673000000.000000,,,56673000000.000000,434255000000.000000,-56667000000.000000,-61505000000.000000,4838000000.000000,-56667000000.000000,377588000000.000000,-3747000000.000000,373841000000.000000,377588000000.000000,377588000000.000000,,377588000000.000000,373841000000.000000,373841000000.000000,,373841000000.000000
12M 2012,5699709000000.000000,,5699709000000.000000,5699709000000.000000,-3724637000000.000000,1975072000000.000000,-1528655000000.000000,,-377556000000.000000,-1179852000000.000000,-1557408000000.000000,,,28753000000.000000,-1528655000000.000000,446417000000.000000,48435000000.000000,48435000000.000000,,,48435000000.000000,494852000000.000000,-71124000000.000000,,,-71124000000.000000,423728000000.000000,-10360000000.000000,413368000000.000000,423728000000.000000,423728000000.000000,,423728000000.000000,413368000000.000000,413368000000.000000,,413368000000.000000
12M 2013,6000818000000.000000,,6000818000000.000000,6000818000000.000000,-3860568000000.000000,2140250000000.000000,-1737238000000.000000,,-403265000000.000000,-1338250000000.000000,-1741515000000.000000,,,4277000000.000000,-1737238000000.000000,403012000000.000000,54686000000.000000,54686000000.000000,,,54686000000.000000,457698000000.000000,-67163000000.000000,,,-67163000000.000000,390535000000.000000,-2369000000.000000,388166000000.000000,390535000000.000000,390535000000.000000,,390535000000.000000,388166000000.000000,388166000000.000000,,388166000000.000000
12M 2014,5861348000000.000000,,5861348000000.000000,5861348000000.000000,-3813511000000.000000,2047837000000.000000,-1749425000000.000000,,-399364000000.000000,-1354967000000.000000,-1754331000000.000000,,,4906000000.000000,-1749425000000.000000,298412000000.000000,89712000000.000000,89712000000.000000,,,89712000000.000000,388124000000.000000,-33049000000.000000,,,-33049000000.000000,355075000000.000000,81000000.000000,355156000000.000000,355075000000.000000,355075000000.000000,,355075000000.000000,355156000000.000000,355156000000.000000,,355156000000.000000
12M 2015,5533004000000.000000,,5533004000000.000000,5533004000000.000000,-3537000000000.000000,1996004000000.000000,-1745310000000.000000,,-385212000000.000000,-1377266000000.000000,-1762478000000.000000,,,17168000000.000000,-1745310000000.000000,250694000000.000000,113926000000.000000,141645000000.000000,,-27719000000.000000,113926000000.000000,364620000000.000000,-28566000000.000000,,,-28566000000.000000,336054000000.000000,-492000000.000000,335562000000.000000,336054000000.000000,336054000000.000000,,336054000000.000000,335562000000.000000,335562000000.000000,,335562000000.000000
12M 2016,5857037000000.000000,,5857037000000.000000,5857037000000.000000,-3654539000000.000000,2202498000000.000000,-1834344000000.000000,,-408190000000.000000,-1436917000000.000000,-1845107000000.000000,,,10763000000.000000,-1834344000000.000000,368154000000.000000,96911000000.000000,119834000000.000000,,-22923000000.000000,96911000000.000000,465065000000.000000,-56586000000.000000,,,-56586000000.000000,408479000000.000000,-9264000000.000000,399215000000.000000,408479000000.000000,408479000000.000000,,408479000000.000000,399215000000.000000,399215000000.000000,,399215000000.000000
12M 2017,5622728000000.000000,,5622728000000.000000,5622728000000.000000,-3410434000000.000000,2212294000000.000000,-1835510000000.000000,,-379456000000.000000,-1476485000000.000000,-1855941000000.000000,,,20431000000.000000,-1835510000000.000000,376784000000.000000,89808000000.000000,109525000000.000000,,-19717000000.000000,89808000000.000000,466592000000.000000,-60012000000.000000,,,-60012000000.000000,406580000000.000000,-7613000000.000000,398967000000.000000,406580000000.000000,406580000000.000000,,406580000000.000000,398967000000.000000,398967000000.000000,,398967000000.000000
