Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Penjualan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Gaji Dan Tunjangan Karyawan,Pembayaran Pajak Penghasilan,Penerimaan Pengembalian Pajak,Penerimaan (Pembayaran) Kas Dari:,Penghasilan Bunga,Kegiatan Usaha Lainnya,Total Penerimaan (Pembayaran) Kas Dari:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Pendek,Hasil Penjualan,Penempatan,Total Investasi Jangka Pendek,Hasil Penjualan Aset Tetap,Penambahan Sewa Jangka Panjang,Perolehan Aset Tetap,Penarikan (Penempatan) Deposito Berjangka - Neto,Hasil Penjualan Investasi Jangka Pendek,Penambahan Uang Jaminan,Penambahan Aset Hak Guna,Penempatan Investasi Jangka Pendek,Perolehan Saham Treasuri,Penambahan Aset Takberwujud,Pembayaran Untuk Penambahan Aset Tidak Lancar Lainnya,Uang Muka Untuk Perolehan Aset Tetap,Pengembalian Uang Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas,Pembayaran Utang Pembiayaan Konsumen,Hasil Pelaksanaan Opsi Saham Karyawan,Pembelian Kembali Saham Yang Dikeluarkan Oleh Perusahaan,Saham Treasuri,Pembayaran Sewa Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,602088000000.000000,5514131000000.000000,-4872958000000.000000,,-112893000000.000000,,,67307000000.000000,6501000000.000000,73808000000.000000,602088000000.000000,-254261000000.000000,,524344000000.000000,-481097000000.000000,43247000000.000000,1624000000.000000,-160783000000.000000,-315595000000.000000,181500000000.000000,,-1079000000.000000,,,,,,,-3175000000.000000,-254261000000.000000,-218984000000.000000,,-218984000000.000000,,,,,,-218984000000.000000,128843000000.000000,19795000000.000000,693200000000.000000,841838000000.000000
12M 2009,484494000000.000000,5461717000000.000000,-4982895000000.000000,,-73728000000.000000,,,67145000000.000000,12255000000.000000,79400000000.000000,484494000000.000000,-423587000000.000000,,278029000000.000000,-213683000000.000000,64346000000.000000,568000000.000000,-69210000000.000000,-213202000000.000000,-103100000000.000000,,-1916000000.000000,,,,,,,-101073000000.000000,-423587000000.000000,-218984000000.000000,,-218984000000.000000,,,,,,-218984000000.000000,-158077000000.000000,-28311000000.000000,841838000000.000000,655450000000.000000
12M 2010,560402000000.000000,6066639000000.000000,-5077334000000.000000,-433421000000.000000,-51127000000.000000,,,44366000000.000000,11279000000.000000,55645000000.000000,560402000000.000000,-263729000000.000000,,147596000000.000000,-166144000000.000000,-18548000000.000000,1478000000.000000,-81637000000.000000,-254109000000.000000,92279000000.000000,,-1927000000.000000,,,,,,,-1265000000.000000,-263729000000.000000,-152440000000.000000,,-176600000000.000000,,24160000000.000000,,,,-152440000000.000000,144233000000.000000,-3499000000.000000,655450000000.000000,796184000000.000000
12M 2011,792111000000.000000,6589278000000.000000,-5373023000000.000000,-442391000000.000000,-52467000000.000000,,,56686000000.000000,14028000000.000000,70714000000.000000,792111000000.000000,-448660000000.000000,,203518000000.000000,-193728000000.000000,9790000000.000000,2496000000.000000,-230841000000.000000,-163023000000.000000,-64879000000.000000,,-2203000000.000000,,,,,,,,-448660000000.000000,-212880000000.000000,,-212880000000.000000,,,,,,-212880000000.000000,130571000000.000000,275000000.000000,796184000000.000000,927030000000.000000
12M 2012,824036000000.000000,7469463000000.000000,-6186191000000.000000,-470818000000.000000,-65895000000.000000,,,52817000000.000000,24660000000.000000,77477000000.000000,824036000000.000000,-368770000000.000000,,268833000000.000000,-40000000000.000000,228833000000.000000,2713000000.000000,-339194000000.000000,-227703000000.000000,-32564000000.000000,,-855000000.000000,,,,,,,,-368770000000.000000,-212880000000.000000,,-212880000000.000000,,,,,,-212880000000.000000,242386000000.000000,,927030000000.000000,1169416000000.000000
12M 2013,831284000000.000000,7963835000000.000000,-6470240000000.000000,-586360000000.000000,-88335000000.000000,,,52663000000.000000,-40279000000.000000,12384000000.000000,831284000000.000000,-918820000000.000000,,,,,3352000000.000000,-249189000000.000000,-421664000000.000000,-250825000000.000000,,-494000000.000000,,,,,,,,-918820000000.000000,-212880000000.000000,,-212880000000.000000,,,,,,-212880000000.000000,-300416000000.000000,,1169416000000.000000,869000000000.000000
12M 2014,922656000000.000000,7925361000000.000000,-6463904000000.000000,-570223000000.000000,-56007000000.000000,,,87100000000.000000,329000000.000000,87429000000.000000,922656000000.000000,-953403000000.000000,,,,,,-168464000000.000000,-126809000000.000000,-623016000000.000000,,-134000000.000000,,-34980000000.000000,,,,,,-953403000000.000000,-212880000000.000000,,-212880000000.000000,,,,,,-212880000000.000000,-243627000000.000000,,869000000000.000000,625373000000.000000
12M 2015,658169000000.000000,7805695000000.000000,-6650420000000.000000,-583353000000.000000,-36091000000.000000,,,115467000000.000000,6871000000.000000,122338000000.000000,658169000000.000000,-111851000000.000000,,35585000000.000000,,35585000000.000000,316000000.000000,-44079000000.000000,-145442000000.000000,42101000000.000000,,-332000000.000000,,,,,,,,-111851000000.000000,-327438000000.000000,,-191592000000.000000,,,-135846000000.000000,,,-327438000000.000000,218880000000.000000,,625373000000.000000,844253000000.000000
12M 2016,757048000000.000000,8228775000000.000000,-6928997000000.000000,-601254000000.000000,-34894000000.000000,,,97947000000.000000,-4529000000.000000,93418000000.000000,757048000000.000000,-587007000000.000000,,,,,330000000.000000,-224821000000.000000,-120422000000.000000,-172852000000.000000,,-882000000.000000,,-68360000000.000000,,,,,,-587007000000.000000,-410544000000.000000,,-206529000000.000000,,,-204015000000.000000,,,-410544000000.000000,-240503000000.000000,,844253000000.000000,603750000000.000000
12M 2017,851579000000.000000,8153381000000.000000,-6680906000000.000000,-638880000000.000000,-89588000000.000000,,,89095000000.000000,18477000000.000000,107572000000.000000,851579000000.000000,-461407000000.000000,,,,,992000000.000000,-129499000000.000000,-140144000000.000000,-122212000000.000000,,-2435000000.000000,,-53979000000.000000,-14130000000.000000,,,,,-461407000000.000000,-242021000000.000000,,-242021000000.000000,,,,,,-242021000000.000000,148151000000.000000,,603750000000.000000,751901000000.000000
